user_id,item_list
0,7908 13005 14168 413 24573 17300 9772 23649 13884 13653
1,12119 6198 12561 21578 16814 4549 8097 13833 23204 20567
2,14353 1353 11936 2368 18003 9835 5923 23766 22146 24
3,519 13592 17510 12157 17174 6253 4750 9462 13194 19841
4,5191 13864 12587 3162 17336 7704 6397 18390 18867 1671
5,17819 25285 10040 21812 22288 10271 20473 17096 19288 12424
6,16758 25930 11295 3569 21470 3041 6640 17590 11881 4649
7,17332 4314 13840 8104 20620 11300 10025 15619 2448 7238
8,1014 18148 13345 11991 2045 4086 2993 23857 14509 12933
9,3699 1376 15782 8890 5741 3742 8211 5045 23174 17092
10,12906 14968 24567 4413 21303 3556 1302 4462 3168 23147
11,6817 16175 4661 3284 9010 11295 25687 25676 3220 16320
12,7322 14382 11438 9054 21469 10021 14020 12676 5226 5038
13,18028 25743 4657 23339 10278 2026 3067 21966 263 14993
14,20644 555 18499 23426 3641 22680 11169 6062 3506 12453
15,1306 23488 22756 3582 3463 21611 113 3722 10347 12490
16,25585 23647 1968 10842 15755 13649 19551 12258 22611 13754
17,9301 15150 23150 2282 22626 24577 18191 16727 25035 14142
18,23697 19190 76 12316 24064 7448 12374 10847 20333 13609
19,6327 9811 4660 10895 992 9203 2426 24316 2993 8650
20,12467 6868 4463 19606 13820 19776 20492 20223 7627 23012
21,18788 24366 23778 3875 7942 600 19198 7613 4077 3943
22,6616 17899 13494 1668 15330 3560 20163 21282 8369 25281
23,21806 22680 13045 25675 2094 1005 10247 18886 11594 19657
24,13797 16101 4882 8957 12309 25739 24768 4052 351 5060
25,12385 1457 21387 17075 7882 7071 17294 10848 21328 11909
26,13696 9085 16583 14393 25697 24756 2538 22974 14243 24862
27,15535 16188 17069 1993 17075 17678 2430 10054 15159 23753
28,7920 19424 15620 8673 4179 8416 21523 9220 4161 24357
29,16774 16538 9213 4167 7657 7641 15925 17069 19730 19405
30,9368 15875 17718 17762 11676 4101 17144 3508 16028 21945
31,15489 1002 24519 988 17993 13332 6200 24878 23362 2639
32,0 17322 17321 17320 17319 17318 17317 17316 17315 17314
33,17409 21077 13493 20174 7758 3168 13748 9872 12942 15759
