user_id,item_list
0,0 12061 17322 17321 6340 9851 17320 13400 9050 8267
1,19089 23600 19709 12409 20095 16630 2665 17723 19480 8894
2,0 17322 17321 17320 17319 17318 17317 17959 17316 20323
3,0 17320 17321 3942 24075 19572 24093 17319 5412 17322
4,10997 10979 9243 1611 1747 4927 18692 24472 19843 3891
5,8097 7494 4257 7013 14706 12214 1240 8322 19709 24577
6,25044 23906 24383 13102 14356 4824 3656 1848 18173 3397
7,4209 22862 5092 23155 11159 3377 9018 14266 913 341
8,23154 25407 6878 10594 2426 1583 6734 5044 10834 22121
9,10132 9609 8877 5416 14038 22629 23799 0 13615 21048
10,3556 11361 660 22923 13280 4191 23026 25868 9934 10151
11,22956 7856 12788 8296 22606 5998 3220 1517 2154 16264
12,1592 2281 2016 20211 2823 24546 19007 10554 3804 11384
13,25407 20969 11533 6446 23154 12601 22121 0 1770 17322
14,18500 11848 244 681 11169 25407 22617 22554 7012 21099
15,25766 12643 17130 12230 24546 7839 19281 6 21624 5076
16,7913 0 4502 17322 17321 886 8400 17320 921 21416
17,9438 19089 17723 13118 5942 17257 19480 25675 20146 3037
18,18793 5032 3037 12048 15559 15778 20300 7267 22385 15182
19,9555 2426 15691 23154 25407 10834 10981 7095 1583 6734
20,15234 25957 8606 15398 5078 23465 24785 25446 11871 5852
21,18788 3875 18901 13597 7942 23778 16803 7196 18510 6298
22,3689 10005 6616 10513 11597 10235 9824 2404 17899 23206
23,16496 11293 988 17836 6200 16150 16577 23251 9443 6454
24,11730 20108 19709 19480 19910 0 4209 14291 14895 16179
25,7115 823 983 10640 18574 17257 12844 4066 194 2665
26,23056 433 21552 18692 10530 4927 1825 8524 13707 24298
27,6208 17820 5562 57 5044 18419 15903 23628 14684 24484
28,6551 17043 19898 18998 13424 25481 4411 13206 23020 13112
29,14684 5078 19874 25957 17668 21428 24355 18512 4502 21697
30,8544 21552 24621 11384 3835 5717 4966 22511 8920 1258
31,13226 2001 23651 17013 13593 17317 19340 10162 22226 484
32,1573 10640 18574 11130 290 7115 20656 9620 14684 10081
