user_id,item_list
0,0 17322 17321 17320 17319 17318 17317 5161 17316 6961
1,19089 23600 16630 12409 19709 7494 20095 20146 8894 17723
2,0 17321 17322 17320 17319 17318 17317 17316 17315 575
3,17322 0 17321 5412 11679 18374 17320 12473 17820 17578
4,9243 10997 1447 4927 14271 11076 14715 11796 24472 3380
5,8097 7494 19089 19874 4502 12214 8322 23600 2459 14706
6,23906 25044 4824 24383 14356 3656 25759 2426 19166 7917
7,4209 5479 14682 20148 23568 3377 913 8258 1358 1467
8,23154 25407 1583 2426 10594 6734 15691 11834 6878 15499
9,9591 10132 6265 13308 14291 20897 22788 23608 25358 19049
10,3556 11361 23361 3070 21278 23265 660 22034 9934 5091
11,9438 7856 22956 5284 3220 15013 6015 25407 2154 5833
12,2281 1592 2823 20211 10380 19114 0 1142 4884 25491
13,25407 20969 0 17322 17321 2236 23154 6446 17320 12601
14,11169 18499 22286 8529 11848 17007 25407 7115 18500 24170
15,25766 24546 12230 17130 17323 1745 13433 16124 1853 4025
16,0 17322 17321 17320 8400 12684 17319 17318 886 7913
17,9438 19089 20146 5942 25675 17723 12061 19480 24075 10269
18,18793 5032 15778 12048 3037 20300 7267 9769 9662 740
19,15691 2426 9555 23154 10834 10981 0 12818 17322 17321
20,15234 13616 23465 24355 13863 24785 5078 25446 359 13303
21,16803 3875 18901 23778 18788 13597 7942 6298 13138 4821
22,3689 10005 2404 11597 6616 23206 1668 10235 22582 17899
23,16496 11293 21608 17836 6200 988 11122 6454 16150 7002
24,14291 0 17322 24078 17321 19709 17320 17319 19480 5728
25,823 7115 983 12844 10766 9446 10640 19600 504 2665
26,21975 18692 5717 3188 19781 12426 867 8842 23056 23711
27,5044 17820 24355 57 8064 14684 24484 3572 15903 8304
28,6551 0 17321 17322 10450 17320 17319 17318 23056 22784
29,14684 5078 17668 25957 4502 19874 24355 8667 21428 10418
30,8544 21552 3835 9243 24621 5717 14715 20496 11384 2996
31,2001 13226 23651 484 22226 23468 17317 0 19340 17322
32,18574 1573 9620 983 290 0 24958 17322 11130 17321
33,10269 25675 9438 5942 12061 9851 10786 22554 14152 17321
34,23324 1803 9520 1959 21677 17400 8593 14104 5283 13433
35,0 17322 17321 17320 17319 17318 9620 17317 3701 11297
36,2426 25407 6734 1583 15691 23154 9555 23141 22848 11533
37,2932 18456 8439 19524 19480 7902 3934 23481 20915 7819
