user_id,item_list
0,445 9050 24970 11310 649 15708 15114 8267 4497 11765
1,19089 23600 12409 16630 19709 19480 8894 20095 3165 8431
2,991 5396 4842 9549 11548 16249 13251 2824 6242 14792
3,12473 22487 20905 5412 18569 17820 24093 24075 3942 6649
4,9243 10997 1611 4927 13427 10979 18692 15327 6108 11076
5,8097 4257 7494 7013 12214 25407 14706 19709 1240 11535
6,25044 24383 23906 4824 17252 24994 14356 1282 10745 4774
7,4209 17305 9018 1358 23155 23267 22862 11159 21582 3377
8,25407 2426 23154 1583 6734 10594 6878 10834 13711 15691
9,8877 10132 9609 5146 18814 24279 3891 3523 4437 11905
10,3556 19792 23026 23361 22923 660 11384 3070 24896 12375
11,22956 7856 3220 12788 9438 8296 4588 14959 13107 9690
12,2823 1592 2281 20211 24546 10380 19007 8593 9526 10554
13,20969 25407 11533 23154 19468 6446 12601 2236 10594 17229
14,25407 11848 18499 20644 5469 13887 7012 18859 18500 22554
15,24546 12643 17130 25766 7839 12230 6 19281 8805 16124
16,7913 4502 17305 14158 17514 12684 8400 21416 921 886
17,19089 9438 5942 17723 20146 25675 16630 8894 23600 13118
18,18793 5032 12048 15778 7267 9769 20300 4936 22385 9662
19,2426 15691 9555 23154 10834 10594 12818 1583 6734 16928
20,15234 25957 5078 23465 13616 15398 7450 9018 18399 814
21,3875 18788 23778 16803 18901 13138 6298 2646 24366 1868
22,6616 11597 3689 10005 17899 10235 7331 23206 2404 9487
23,16496 11293 17836 6200 988 16577 6454 23562 14835 17143
24,19480 14291 20108 19709 11730 8704 19089 19910 14978 19524
25,7115 823 12844 7494 983 9637 2665 20146 12409 22121
26,4927 18692 10530 18380 21975 23056 13707 18293 5717 11452
27,5044 17820 3572 57 8158 5562 24484 24355 17462 6208
28,6551 23056 23127 9243 19898 13206 22588 13424 17043 18998
29,25957 17668 5078 21428 14684 19874 4502 15562 18512 4888
30,8544 21552 24621 5717 11384 9243 9339 4966 4502 4927
31,2001 13226 23651 16793 10162 23468 6446 17013 22226 19340
32,1573 23154 9620 18574 7115 10640 11130 22010 6878 2643
33,10269 9438 25675 5942 22554 12061 23799 14313 13424 15034
