user_id,item_list
0,0 17322 17321 17320 17319 17318 17317 17316 17315 17314
1,19089 23600 12409 16630 20095 19709 3165 8431 8894 19480
2,4842 6242 575 14792 20323 22230 11548 9549 5396 2824
3,12473 22487 20905 5412 18569 17820 24093 24075 3942 6649
4,10997 9243 1611 14271 18632 4927 433 18692 9578 9295
5,8097 7013 12214 14706 8322 11535 7494 8089 11527 4257
6,25044 24383 4824 23906 17252 10745 1282 14354 4774 14020
7,4209 17305 9018 1358 23267 22862 23155 11159 21582 1467
8,25407 13711 23154 10594 6878 2426 823 15691 6734 25138
9,10132 9609 11905 1943 11029 3891 20897 3523 18814 24279
10,3556 19792 23361 23026 660 22923 5091 17557 20168 13426
11,22956 7856 3220 12788 8296 20146 18573 2501 15155 21182
12,2823 1592 2281 20211 24546 10380 9526 8593 9277 19291
13,20969 6446 14356 11924 16535 9992 25407 16906 12601 19468
14,25407 11848 18499 20644 5469 13887 7012 18859 18500 22554
15,12643 24546 25766 17130 7839 12230 8805 6 19281 1205
16,7913 4502 17305 12684 17514 921 21416 886 8400 18693
17,5942 17723 19089 13118 12061 9438 180 20146 19480 23481
18,18793 5032 12048 7267 15778 20300 9769 22385 22548 9662
19,9555 7095 2426 23154 15691 10981 10834 6734 13711 19468
20,15234 13616 15398 23465 9018 18399 814 13303 18419 25957
21,3875 18788 23778 16803 18901 13138 6298 2646 24366 1868
22,11597 6616 3689 10005 17899 10235 7331 23206 14583 16347
23,16496 988 17836 11293 6200 16577 14835 6454 23562 15457
24,19480 14291 14895 6239 11730 13555 4209 22617 8704 16179
25,12844 7115 983 823 194 4066 18574 9446 10640 10766
26,23056 13707 18293 18692 20496 11792 19781 14271 9412 3835
27,8158 5044 57 5562 17820 14609 21527 15903 8064 24484
28,6551 23056 13424 17043 18998 4411 21327 23020 1393 615
29,11855 21428 5078 15562 18512 25013 5193 8667 7030 4382
30,8544 24621 21552 9243 3835 1258 25662 11384 8564 14715
31,2001 13226 23651 16793 17013 22226 10162 11121 13593 13081
32,1573 18574 5966 9620 7115 10640 20087 24958 6878 10081
33,5942 9438 25675 10269 13424 22554 681 17668 3942 18082
34,1803 1959 14104 17400 23324 25766 19007 4738 7283 14413
35,9620 823 7355 12719 23430 9863 12844 3921 24577 7742
36,25407 2426 1583 15691 22848 23141 6734 9701 18392 624
37,19480 10528 5562 8439 13224 19922 10009 525 19524 8158
38,1863 8560 4940 13628 1947 19822 14605 18080 1960 17820
39,2178 7321 15187 21872 16648 6139 24524 3908 16381 15666
40,10834 12923 22445 5942 8990 6342 8097 18317 7063 7736
41,17305 8544 17322 16218 3228 9591 13080 14023 9018 21213
42,13663 20553 6612 11091 24209 22500 20544 14720 2761 13870
43,3469 21153 610 780 5466 3835 20230 1252 7507 25314
44,17470 8475 24839 23324 5093 1205 25209 3214 9520 12230
45,11658 7063 11687 12466 8431 18984 18930 22406 19525 2665
46,19114 11067 18190 21975 6088 23536 11792 4620 15459 22359
47,18852 21912 4032 4738 19326 1700 7993 7839 6369 14289
48,5284 24985 13552 14684 19874 4781 12268 13433 10418 10626
49,5787 12585 25253 18549 0 17321 17320 17319 17318 17317
50,9555 2426 1583 12818 10834 10594 23141 5044 6734 8097
51,16195 12061 7964 14731 13661 25675 24653 1819 5543 15790
52,20553 24355 8268 2665 20375 364 13194 1633 14279 15562
53,18499 8529 14354 14396 5784 5763 23398 4147 23426 18404
54,25675 3803 9438 23424 9680 22788 15245 20818 7202 11900
55,15562 3058 16218 10910 10601 7870 13081 17801 2638 4809
56,13764 14593 3348 4779 20401 18351 10384 20661 6506 16270
57,24791 2436 25656 11378 2390 75 6049 12421 16413 12922
58,16577 5930 11197 625 12601 12943 23996 306 22731 5003
59,8841 8531 11223 19668 9005 10803 20301 23950 21793 12026
60,6096 13810 17759 175 2237 762 377 12087 3658 3527
61,8826 6446 24189 17346 9129 16195 9190 870 19254 7115
62,16394 11527 12214 8097 5952 19948 3775 8675 20508 7350
63,3456 13231 13424 14488 21051 7940 8709 16941 13502 10931
64,17723 23741 14401 12347 339 12886 1628 2427 24300 16703
65,25013 25255 16850 19525 3840 14951 24147 8081 2182 4156
66,24075 2720 6076 2533 7650 12983 19480 14012 7494 17858
67,9822 18574 5966 18462 91 6212 13018 19796 9615 22057
68,2333 6088 18190 23711 19114 11792 4620 5717 9029 3983
69,7583 10919 2317 25932 6530 23620 18419 21277 7539 8630
70,4390 22121 14356 10653 12254 10162 16802 8990 3812 16793
71,1959 20857 19007 20308 18778 17400 6443 1816 14684 17668
72,1863 2996 19094 22645 24340 21552 21859 8920 15906 9337
73,18419 17804 10073 18591 25046 22128 17070 11089 22750 19874
74,24546 11710 14104 25209 21505 644 762 11623 11107 23285
75,20108 19910 8704 7639 1863 12968 11072 22511 9339 21552
76,17877 15903 16577 15196 25407 8097 5760 23895 11748 25585
77,25387 19332 7117 15379 15377 7494 7540 12187 2356 2972
78,19418 6196 21376 12393 14607 16767 21552 4779 1767 6281
79,5284 5942 10269 13433 341 24985 22554 9438 24546 1888
80,4257 6699 24092 17480 25832 4093 16659 12035 21516 14626
81,9851 25068 21552 10786 20711 23799 22617 9591 17844 23164
82,24075 19502 10785 12110 10959 1535 8311 24472 8304 9851
83,9555 2426 1583 10594 16928 23154 10834 13711 23141 5044
84,20496 25693 20148 10191 10009 4209 24410 9851 4620 6599
85,11533 5952 3580 4878 25596 19468 8990 3737 25631 8097
86,6446 8955 19498 11951 15161 16779 4588 7564 16712 3141
87,2001 6446 16577 16793 5044 14356 22121 13081 15691 23468
88,9851 9438 10269 8811 18293 22554 19401 7202 3803 21552
89,11785 9782 3646 25373 24579 10014 5474 11297 5497 10526
