,hparams,epochs,score
90,"{'no_components': 28, 'learning_schedule': 'adagrad', 'learning_rate': 0.017007859236041627, 'loss': 'warp', 'item_alpha': 2.383697475812827e-08, 'user_alpha': 4.487336788822043e-09}",89.0,0.8815307021141052
51,"{'no_components': 53, 'learning_schedule': 'adagrad', 'learning_rate': 0.011347835254714075, 'loss': 'warp', 'item_alpha': 2.3284731417877315e-09, 'user_alpha': 1.55883209578155e-08}",58.0,0.8807661533355713
91,"{'no_components': 36, 'learning_schedule': 'adagrad', 'learning_rate': 0.009978808127997339, 'loss': 'warp', 'item_alpha': 6.948588926424108e-10, 'user_alpha': 2.0018915244637556e-08}",84.0,0.8788791298866272
58,"{'no_components': 48, 'learning_schedule': 'adadelta', 'learning_rate': 0.0035478728183108, 'loss': 'warp', 'item_alpha': 7.56200624807608e-09, 'user_alpha': 5.363902896142255e-09}",16.0,0.8773629665374756
80,"{'no_components': 45, 'learning_schedule': 'adagrad', 'learning_rate': 0.012818218884583671, 'loss': 'warp', 'item_alpha': 1.1517234718713392e-08, 'user_alpha': 7.12352065270102e-09}",47.0,0.8773366808891296
76,"{'no_components': 21, 'learning_schedule': 'adagrad', 'learning_rate': 0.019005247837024408, 'loss': 'warp', 'item_alpha': 1.5456409451565802e-08, 'user_alpha': 2.5631528059575804e-08}",51.0,0.877230167388916
7,"{'no_components': 60, 'learning_schedule': 'adagrad', 'learning_rate': 0.020519458981930208, 'loss': 'warp', 'item_alpha': 2.892515827517424e-08, 'user_alpha': 7.081836274742441e-09}",72.0,0.8770244121551514
83,"{'no_components': 40, 'learning_schedule': 'adagrad', 'learning_rate': 0.02366216204752629, 'loss': 'warp', 'item_alpha': 2.8014147646228387e-08, 'user_alpha': 1.5766894992760047e-09}",54.0,0.8768925070762634
70,"{'no_components': 18, 'learning_schedule': 'adagrad', 'learning_rate': 0.024094735554419135, 'loss': 'warp', 'item_alpha': 4.635279061370407e-09, 'user_alpha': 3.5527880020351644e-09}",84.0,0.876671552658081
31,"{'no_components': 49, 'learning_schedule': 'adagrad', 'learning_rate': 0.022897887808276108, 'loss': 'warp', 'item_alpha': 8.23757380103038e-10, 'user_alpha': 8.37726748851392e-09}",63.0,0.8760693669319153
12,"{'no_components': 62, 'learning_schedule': 'adadelta', 'learning_rate': 0.028302980853463822, 'loss': 'warp', 'item_alpha': 1.9374611243407846e-08, 'user_alpha': 5.127407298738244e-09}",15.0,0.8751965165138245
36,"{'no_components': 44, 'learning_schedule': 'adadelta', 'learning_rate': 0.12870277615944514, 'loss': 'warp', 'item_alpha': 1.6597866221093963e-09, 'user_alpha': 3.2797087243968915e-09}",13.0,0.8749901652336121
44,"{'no_components': 35, 'learning_schedule': 'adadelta', 'learning_rate': 0.020911228289025474, 'loss': 'warp', 'item_alpha': 1.4629949265201645e-09, 'user_alpha': 1.1357306567980034e-08}",19.0,0.8749613165855408
64,"{'no_components': 39, 'learning_schedule': 'adadelta', 'learning_rate': 0.01504844122188962, 'loss': 'warp', 'item_alpha': 2.679628589932391e-08, 'user_alpha': 2.731684695516816e-08}",14.0,0.8747628331184387
