user_id,item_list
0,1447 4927 13219 12543 9851 15830 5161 637 25878 5085
1,19089 23600 12409 20095 19709 16630 19480 3165 8894 8431
2,6662 2824 4842 3164 18790 1876 16901 991 575 5396
3,22487 12473 20905 3942 24093 5412 18569 17820 11679 6649
4,9243 1611 4927 11384 11796 18692 11067 14271 9578 22730
5,8097 7494 25407 12214 19709 17819 7013 8322 4257 11535
6,25044 24383 23906 4824 1282 10745 17252 14356 24994 16443
7,4209 16257 22862 19189 341 1358 21582 11159 23267 23155
8,25407 1583 23154 15691 2426 6734 10594 10834 6878 13711
9,10132 9609 19792 8877 23600 19089 20666 13944 11905 25358
10,3556 12906 11361 22923 23361 23026 3070 18751 19792 6354
11,22956 7856 3220 12788 8296 11726 16264 20001 12890 23403
12,2823 2281 1592 20211 24546 10380 19114 8593 9526 23711
13,20969 25407 23154 9992 1770 11924 6446 6734 11533 19468
14,18499 18500 11848 18859 20644 13887 16999 20918 7115 244
15,24546 25766 17130 12643 12230 1745 12903 7839 11702 13433
16,4502 7913 8400 17514 12684 886 921 21416 19874 17305
17,19089 9438 17723 20146 25675 5942 19480 8894 12061 23600
18,18793 5032 12048 7267 15778 20300 9769 22385 18649 22548
19,2426 9555 15691 23154 10834 1583 10594 12818 7095 6734
20,5078 15234 25957 13616 23465 15398 5925 24785 8606 19876
21,3875 18901 23778 18788 16803 13138 6298 2646 24366 21139
22,11597 6616 10005 17899 3689 10235 23206 7331 1668 14583
23,16496 6200 17836 988 11293 16577 6454 14835 23562 15457
24,14291 19480 11730 19089 14895 20108 19709 16630 19910 13310
25,7115 12844 983 823 10640 25674 18574 9446 23430 8131
26,5717 867 21975 11792 23056 19781 18692 13707 11067 10530
27,5044 8158 57 17820 5562 24484 3572 14609 8064 15903
28,13424 6551 23127 4411 23020 615 21327 1393 23056 8544
29,14684 19874 5078 25957 17668 4502 24355 21428 16688 8667
30,8544 21552 11384 24621 9243 3835 4966 1863 5717 8920
31,2001 13226 23651 16793 6446 23468 13593 19340 13081 10162
32,1573 9620 18574 23154 7115 10640 983 290 2643 5966
33,10269 25675 9438 5942 22554 12061 9851 10786 25260 2426
34,1959 23324 1803 9520 21677 24546 3477 5446 14413 21624
35,9620 23430 823 22023 24948 8914 6709 10590 9782 13514
36,25407 2426 15691 6734 1583 23141 9701 22848 16906 17156
37,24075 19480 10528 8439 10182 3165 21932 5562 2932 10009
38,1863 8560 12061 24075 21062 2996 14385 180 4940 13628
39,2178 7321 21872 16871 5497 2220 16648 6139 20820 24524
40,24075 25407 22554 5044 8097 15691 9438 10834 20095 20146
41,8524 14023 17322 11317 19189 8544 7639 24410 16083 11408
42,6612 20553 7494 13663 20544 20095 16630 16626 722 24209
43,3469 610 780 4320 3835 16957 5466 7507 21153 25491
44,17470 5093 8475 25209 23324 1205 24839 9438 14678 7836
45,19089 7494 11658 19525 8894 17723 24128 2665 8431 25873
46,23536 13541 6088 4620 15459 18190 19114 23711 11792 12061
47,18852 21912 4032 4738 19326 19281 6369 1700 7993 16124
48,24985 13552 14684 5284 19874 4781 13433 10626 24355 12268
49,5787 12585 25253 18549 0 17321 17320 17319 17318 17317
50,2426 9555 10594 1583 10834 6734 12818 23141 18392 5044
51,24075 25675 7494 10269 22554 12061 5942 9851 7964 23799
52,24355 2919 20375 8268 4502 2072 22056 14684 25009 20553
53,14396 8529 18499 4147 23398 14354 3497 19166 6164 18404
54,25675 3803 7202 18293 19401 15564 19564 10786 20439 22554
55,15562 3058 13138 9243 10601 16218 10910 19854 1868 25182
56,3348 12742 13764 20933 2910 20401 10384 4638 11741 4083
57,24791 6049 2436 25656 2390 11378 75 12421 16413 12922
58,16577 5930 11197 625 12601 12943 306 23996 17994 22324
59,8841 10803 8531 9005 19668 11223 6544 23042 12026 20301
60,3527 762 6096 12454 2237 175 16843 13810 19007 12087
61,6446 8826 14378 24948 7115 18499 12552 16932 6397 22081
62,16394 12214 12759 11527 10311 8675 19948 12321 8097 20508
63,13231 3456 13424 14488 8654 8709 21051 7940 5905 13789
64,23741 2427 20458 17723 339 14401 1628 12347 12886 25877
65,16850 2182 25255 3840 8587 16416 18959 8081 7552 11873
66,24075 19089 19480 2533 12061 10269 8431 10786 9851 7494
67,22057 19796 9822 18574 5966 6212 18462 91 7329 17451
68,2333 18190 6088 5717 23711 11792 4620 19114 3983 9029
69,7583 25932 2317 15124 10919 4541 3264 12214 12759 23086
70,4390 8990 25407 22121 14356 3812 10162 10653 15691 5044
71,14684 17668 1621 20857 19007 1959 21085 17400 18778 6443
72,1863 2996 24075 21552 22645 13541 19094 8920 25675 4940
73,4502 18419 19874 16394 14684 15915 10073 18139 22128 24355
74,24546 14104 22622 8687 9520 11710 11576 14035 17130 1745
75,8251 20108 9339 19910 8704 11730 11072 22511 7639 21552
76,25407 17877 2426 9555 10834 15691 23154 1583 8249 9701
77,24075 25387 7117 15377 15379 25675 7494 5942 18980 14684
78,5717 2868 6088 15327 18190 9029 20431 15459 19114 772
79,10269 9438 25675 22554 12061 9851 10786 5942 5284 13433
80,4257 19303 551 11546 24230 4314 7883 14626 24092 16659
81,24075 12061 9851 22554 10786 5942 23711 10269 5717 25068
82,24075 19502 10785 1535 8311 23427 24472 14915 12110 5686
83,2426 9555 23154 10594 10834 1583 16928 23141 13711 6734
84,20496 4620 9851 23711 24410 2333 12061 23127 10191 20148
85,3580 11533 5952 25596 13503 8984 4366 4878 2478 13953
86,6446 16779 15161 8955 11951 12601 8249 15196 7564 4588
87,2001 6446 16577 23468 19852 16793 5044 23651 2888 679
88,9851 9438 10269 22554 8811 18293 23711 19401 7202 25071
89,11785 17866 14193 301 8164 7816 8037 14835 4683 9496
90,4620 5717 19089 19480 18190 6088 921 13541 2333 3337
91,25044 18949 11848 16758 15468 8529 24383 4824 19315 13020
92,19480 20146 12409 16630 7494 19709 2665 20095 23481 17723
93,10269 25675 9438 12061 9851 22554 10786 5942 13018 25407
94,13030 10788 14373 21854 20750 18545 23127 24561 11451 22602
95,14413 9526 8593 24546 2281 2216 10380 20211 11339 21264
96,8529 3812 5218 17229 19468 2995 20281 17717 5044 17920
97,12554 4502 19874 24355 18419 20308 20553 18512 17668 19429
98,19874 24355 4502 17668 20308 5581 15234 4257 7883 10418
99,20308 19089 14684 19007 24355 7839 1745 18512 19480 20146
100,4766 24481 6760 5464 19839 20290 18886 24355 1258 6500
101,25407 2426 8097 16772 22554 5044 11649 19468 6446 16577
102,13057 22484 19596 6952 19495 24355 22357 16395 15152 20695
103,19781 867 8544 19704 11796 11067 17065 5717 3348 6547
104,19874 14684 24355 19480 20553 23534 19089 12409 20308 19709
105,22750 18293 22554 25675 15790 7202 25046 18804 19620 5380
106,23711 22356 12061 10786 8811 9851 23299 3668 275 24075
107,1863 21552 8560 22645 18122 4940 20711 13541 1947 2840
108,22121 18544 19089 23189 18317 25101 14356 10537 24747 9438
109,484 13226 7363 20688 10162 22121 5044 16793 15691 14356
110,15196 5150 17546 8432 1095 15234 9511 15642 17517 19973
111,24546 1205 5589 2005 7839 13343 1959 2237 11931 12230
112,10269 14330 16268 2526 20320 16191 16790 598 25950 10028
113,23723 10328 16987 15563 5574 24655 13424 9241 1928 3550
114,14100 11260 22040 25092 8316 18227 8699 18054 2426 13017
115,24075 22554 9438 19792 13615 13831 10786 25779 12061 18293
116,5044 11820 14356 15196 15903 20146 15691 964 19750 13118
117,1250 25331 15821 25863 17803 8773 831 3900 14974 18752
118,23086 12162 25484 2835 10311 11527 19823 8675 16246 25834
119,4502 19874 18419 14104 1714 10073 21085 341 10418 8251
120,18987 24481 1258 21035 10996 9934 24355 11979 3556 2040
121,25675 25693 12851 18576 18995 13441 25858 5942 561 16195
122,14626 17130 18656 15739 14412 23004 2570 19655 8675 25819
123,21061 25407 4147 681 13294 13887 8337 1869 3630 19769
124,2333 5717 13541 23536 23711 18190 4620 2868 22646 15327
125,4257 17668 14684 19874 23221 21948 828 7753 25 9516
126,14437 2581 22140 22825 13733 21011 1652 25346 18355 2521
127,22881 10085 132 20158 2007 18329 6728 23531 25552 22821
128,9851 10269 25675 9438 10786 23711 1863 18293 8811 5717
129,861 18708 14045 25693 1454 19792 7944 13099 21437 24128
130,24546 25766 8805 7818 13433 16124 14104 12230 18343 3527
131,25138 22548 9851 4099 21653 18176 12734 5020 7124 308
132,341 21567 20719 5284 7109 1816 6443 9657 11701 7030
133,21631 23155 22862 11159 6770 22880 11536 5415 14266 22965
134,21042 3497 22121 13294 16577 22731 23651 14328 5930 19194
135,16447 25440 72 23333 24746 23799 14302 18288 24839 9529
136,13433 19480 11550 17915 19709 24909 10573 13495 17236 23481
137,20963 16726 3579 23405 15733 13373 12953 8339 7053 10782
138,15592 25028 4796 20737 882 6588 22523 7892 5489 13541
139,9347 10391 21064 4463 7012 2426 2491 22286 18837 22102
140,13433 21153 9940 17180 24546 158 9045 19709 21602 2056
141,5078 17637 14684 6652 20308 4502 3916 14386 17400 5284
142,19480 20146 10269 9851 16630 25675 23600 13118 8894 20095
143,177 2939 11584 9708 8334 15187 11814 1980 8262 16753
144,19089 12409 7494 20146 17723 16630 19709 19480 2665 20095
145,9591 25675 18119 18122 22845 4100 25693 22554 364 9345
146,24075 25675 5942 22554 12061 10786 13118 19089 8538 18293
147,3497 5930 5469 14141 588 25133 11848 19769 19089 21061
148,23154 10594 25407 2426 1583 9322 5607 10834 6878 18392
149,21552 10786 12061 23666 25675 21653 10269 21583 12056 773
150,17723 19089 20146 23600 7494 20095 19709 16630 8431 24128
151,19480 19089 23481 3169 525 11687 2932 10979 9664 25648
152,12214 7175 7635 8828 13902 18263 16537 1830 21619 3261
153,13609 9195 18412 20210 15182 20447 15783 16263 427 5919
154,17320 9859 14640 18839 25463 19961 15374 16327 9145 6699
155,24075 5717 4620 3599 9438 12365 13118 23457 13363 10269
156,25407 15691 10594 23154 9555 2426 1583 10834 6734 17156
157,18317 11499 9475 21260 10537 6076 68 21629 627 22056
158,15196 5150 17517 17546 3261 9511 18367 7144 15234 19973
159,20919 18687 22151 23844 7030 16871 3037 13954 4447 15064
160,12601 22731 21355 4871 3913 2375 11197 6047 679 22121
161,24850 16051 11983 24146 18804 19935 15790 2678 8577 10421
162,18293 22128 3473 22750 21552 12875 21342 15915 25046 20363
163,11832 14684 14641 25197 5581 21277 18394 10418 4940 8395
164,25407 20146 8322 15691 4878 11535 5952 17819 12214 9555
165,5717 21552 4620 12061 7639 8704 20108 11072 4209 11792
166,11792 12273 24349 19922 17179 20167 14978 24410 525 15906
167,6878 2426 10834 18392 22848 17209 13711 13136 10908 4980
168,0 17322 17321 17320 17319 17318 17317 17316 17315 17314
169,25407 15691 2426 7494 23154 10834 10594 19089 5044 1583
170,5952 22801 4366 13663 20863 16402 24750 17951 15976 2384
171,25675 4512 24075 22554 10786 23424 7202 22359 12923 9851
172,19781 11792 11731 10514 24908 867 9243 11384 13707 11796
173,17209 2426 9733 13136 13711 25407 12050 16854 20863 18452
174,25407 13928 10594 22010 18392 6073 3264 19480 2492 18452
175,5756 8430 2507 7632 20626 23530 25957 25517 16667 6612
176,12061 5717 23127 2333 21854 9284 23711 13541 4620 9315
177,25407 10594 6734 9555 1583 10834 15691 21920 19089 18392
178,22657 8251 6599 7639 2759 13555 4620 21866 6782 11072
179,8304 24484 16218 15764 20894 15343 15125 24093 12119 20356
180,20074 23832 2579 3423 3556 25693 21498 18987 4787 14876
181,19480 19089 10269 8251 19709 14895 25675 9438 20108 525
182,15903 17517 5150 17877 19750 18367 14554 19973 3261 9041
183,23600 7494 19709 23481 17723 12409 20146 20095 18984 17760
184,15749 16394 9683 14684 4502 6691 15234 10491 10073 4629
185,6363 3185 5673 5250 14573 12235 9464 15396 24972 19665
186,16394 7553 24577 7583 7013 17877 7742 21373 8089 8322
187,10747 19518 7243 23879 2825 21139 17586 12271 25170 13763
188,11748 10747 8649 24577 9017 17877 1095 23895 3901 17247
189,25407 16772 5044 8097 15691 10834 2426 9555 17229 23141
190,23154 10594 5108 10834 9555 25171 5 25407 24994 8316
191,13690 6282 9167 6242 11613 8373 5052 9950 1663 1224
192,15764 24093 8304 17820 5412 24109 3997 4803 18122 57
193,484 3656 17013 11848 12601 19468 18404 3921 18305 3812
194,13348 18259 24566 1538 6686 11367 5263 18207 23089 21473
195,10020 7030 6239 22140 14437 19761 20057 24147 21011 16703
196,681 24383 19985 3497 4147 22564 8826 8131 4048 5387
197,5150 15903 22075 17586 16266 592 7426 4118 16489 7568
198,22646 23536 6088 2868 2333 12061 2090 15459 18190 9591
199,6446 8249 22121 9041 8990 11121 12601 23991 7133 5385
200,7494 13415 17723 20146 19089 19525 19666 7341 20083 11802
201,20146 19089 19480 16630 23600 17723 19709 17257 14291 23481
202,868 24586 4341 17407 25575 9614 24164 5626 8517 8902
203,13686 4289 4444 8987 14253 1097 9112 25409 14406 9679
204,12061 24075 25675 9851 9438 8560 22554 9591 23711 1863
205,2333 23536 18190 5717 21854 11792 6088 23711 4620 9029
206,2333 10786 4620 11987 921 12061 23666 19781 17858 25693
207,6239 8158 23628 19480 25740 14609 7174 15006 19089 6760
208,25698 13415 388 6865 11802 5491 20083 11540 19908 18995
209,19874 4502 24355 17668 18419 4257 10418 20553 5581 15234
210,25034 17908 7016 6760 12953 24333 8339 15948 22100 2798
211,6380 6901 15655 14100 9934 7836 2448 1341 13026 9438
212,19089 4728 2448 7720 3070 7836 21437 19792 153 3234
213,11876 21085 1050 16862 6250 17525 18463 8395 8538 4987
214,24075 5942 9438 10269 773 25675 17723 23799 10220 15564
215,7709 8667 8676 25663 22500 13207 7017 1442 3650 11137
216,23398 6510 14396 7012 16758 17252 10885 18949 13020 16443
217,3348 3469 562 11716 17162 11987 11741 9497 16112 10979
218,15196 10766 21493 19010 5150 17546 12142 13797 15234 9511
219,8709 497 18793 9769 13424 9662 9716 15559 12048 22548
220,24075 9438 22554 10269 12061 18293 9851 15564 10786 13118
221,19826 11459 13733 4284 801 3840 8352 7939 6325 18414
222,14684 4502 20308 18419 10418 5581 7494 17668 7883 4257
223,7639 15387 7233 19436 2894 18523 19480 11076 1185 12590
224,2485 19340 3788 15795 22949 15645 2001 10162 2679 23468
225,25407 16772 8990 9555 1583 2426 4878 24143 15691 1436
226,16399 2839 13019 24861 14044 24329 4756 12755 14070 13622
227,15363 4502 19874 14684 11832 7883 11737 15124 14534 19970
228,21973 2426 4296 18574 25924 8097 7539 4203 1573 1816
229,8100 8079 4384 20613 20637 891 1778 16177 17248 18245
230,6097 21373 22217 12759 25834 7946 19823 13795 25260 23133
231,24075 22554 9438 18293 10786 12061 7494 10269 9851 5942
232,3164 5717 18684 22152 18790 14951 19255 18872 21281 20706
233,195 5862 10569 25938 13625 9859 14666 11497 10414 21024
234,16577 11197 12601 5930 12943 306 625 16906 22731 25133
235,21042 23659 25416 16577 22731 14328 16942 13619 19551 25585
236,6088 15459 13541 22646 22359 12061 2333 14418 23536 22003
237,14838 91 8959 21473 19063 22981 23647 11896 14383 17884
238,5497 16871 21872 6139 20820 18330 5475 16897 15394 7114
239,10513 21802 6616 11597 15330 13756 20911 15905 18799 3689
240,21920 10730 588 11991 20308 25596 19822 9300 18671 11083
241,11369 6121 10996 11925 10002 19123 10396 4766 3782 21780
242,1397 10592 7487 17680 25675 9060 15275 17860 18499 1188
243,11832 9018 10249 6952 23020 1393 615 4411 16362 14395
244,25675 24075 5078 9438 14684 4502 18293 10269 10786 20308
245,23536 5487 9284 18190 1785 7885 5717 3835 4620 999
246,2426 1583 10594 6734 7991 5044 12818 18392 17156 10981
247,23004 4502 24230 12214 18293 24216 15915 1366 22750 10073
248,281 1771 15929 13522 656 7728 0 17323 17322 17321
249,19089 7494 17723 20146 12409 16630 18984 8894 11658 8431
250,12719 5152 23335 11067 9159 19653 22224 14382 1758 3497
251,6320 3613 9190 8529 18501 19526 17717 15271 11480 20281
252,24546 2281 10347 16124 25766 19007 9526 12777 6096 24075
253,9438 24075 19089 341 13552 5284 16011 23481 6419 4115
254,9438 25675 25407 12061 5942 22554 9851 10786 19089 23799
255,3667 14006 21757 4559 6127 3181 25486 23838 12937 12845
256,10108 14462 13290 7484 7861 19960 13072 19087 24437 17638
257,2426 14684 4502 9555 23154 10834 10594 12818 7883 1583
258,23600 16630 7494 19480 20146 12409 19709 23481 20095 24075
259,17637 2459 8395 14386 3916 10073 20553 6652 5078 22864
260,25407 6734 9555 10834 18392 1583 12050 6878 10792 24075
261,11855 16301 7030 3037 18687 3281 15914 979 7809 9293
262,19792 7932 8492 13831 468 16018 6222 21495 14080 11430
263,14396 11645 18949 19857 25711 13020 7312 8446 13649 16227
