user_id,item_list
0,1447 25878 12543 13219 20869 649 5085 5161 4927 20761
1,19089 23600 12409 20095 19709 16630 3165 19480 8431 8894
2,11548 9549 20323 575 4842 2824 17336 14792 16249 22230
3,22487 12473 20905 3942 6649 19572 14446 11679 24093 5412
4,9243 1611 19843 14271 9295 9578 4927 18692 10997 11796
5,8097 4257 25407 14706 12214 7013 7494 8322 15691 1240
6,25044 24383 23906 4824 10745 4774 1282 1246 1288 14020
7,4209 23155 1358 22862 21582 11159 23267 20955 16257 1169
8,25407 2426 1583 6734 23154 15691 6878 10594 10834 19056
9,10132 9609 20666 11029 14038 11905 25358 3523 5416 19792
10,3556 12906 23361 22923 23919 12375 16921 11361 15195 5091
11,22956 7856 3220 12788 20876 20334 6015 17482 12951 17797
12,2823 2281 1592 20211 24546 10380 19291 9277 12492 9526
13,20969 11924 11533 1770 9992 4213 25407 6446 23154 16535
14,18500 18499 16999 20644 20918 244 11848 18859 13169 19103
15,24546 25766 17130 12643 12903 6 7839 8805 13433 19281
16,886 21416 7913 17514 8400 12684 4502 921 17305 20223
17,19089 9438 17723 20146 19480 25675 5942 16630 12409 8894
18,18793 5032 12048 7267 20300 15778 22385 18649 9769 7448
19,2426 9555 15691 23154 10834 12818 1583 7095 10594 10981
20,23465 15398 13616 24785 8606 25957 5852 5078 19876 5925
21,3875 16803 18788 23778 18901 13138 6298 24366 2646 21139
22,11597 6616 17899 10005 3689 1418 9824 1668 14583 9487
23,988 17836 11293 6200 16496 23562 6454 14835 16577 15457
24,14291 19480 11730 16120 24078 11117 18904 14804 14895 5778
25,7115 983 12844 10640 823 25674 8131 18684 18574 23430
26,23711 23056 21975 867 19781 20496 9029 13707 18692 2437
27,57 5044 8158 5562 17820 19357 16188 14609 3572 3711
28,4411 6551 13424 23020 615 21327 1393 19221 23127 23056
29,14684 5078 25957 16688 19874 5193 21428 5765 16100 3755
30,8544 21552 24621 11384 9243 3835 4966 22511 6812 19781
31,2001 13226 23651 16793 13593 23468 19340 13081 13314 11569
32,1573 9620 18574 10640 290 983 7115 9789 2643 23154
33,10269 25675 9438 12061 22554 5942 4475 9851 23780 14152
34,1803 23324 1959 9520 21677 3477 22997 17323 14413 17808
35,9620 13514 3742 16366 24579 9086 11784 25373 3646 24445
36,25407 2426 15691 1583 6734 22848 23141 9701 16928 18392
37,10528 19480 8439 24075 23725 10182 17474 2932 14163 271
38,1863 8560 21062 13628 6088 4940 14385 19822 12061 1960
39,6139 2178 21872 7321 16648 2220 20820 24524 21326 16871
40,24075 25407 5044 8097 22554 15691 20146 8894 10834 22445
41,8524 11408 8544 24410 14023 17322 11317 1017 19189 14266
42,20553 6612 20544 722 4502 13663 16626 7494 19874 11533
43,610 3469 7507 780 5466 21468 4320 16957 21153 25491
44,5093 17470 8475 6085 14678 3214 5876 19886 15856 9177
45,19089 17723 11658 19525 24128 7494 8894 23244 8431 12409
46,23536 11792 13541 6088 23711 4620 18190 15459 19114 9029
47,18852 21912 4032 19326 4738 6369 1700 19281 7993 14289
48,24985 13552 5284 4781 19874 13433 14684 10626 12268 7913
49,18549 5787 25253 12585 0 17321 17320 17319 17318 17317
50,2426 9555 10594 1583 10834 12818 6734 23141 18392 13711
51,24075 25675 22554 7494 561 5942 10848 17923 19401 7964
52,2919 20375 13194 2072 14767 9291 9211 25009 8268 22056
53,8529 14396 19166 4147 5763 20622 18499 14086 18721 6014
54,3803 25675 7202 20439 19401 18293 19564 15564 22554 12061
55,15562 3058 10910 675 4064 10601 3093 1868 14236 25182
56,20401 12742 10384 11741 20933 3348 13764 4083 2910 6506
57,25656 2390 75 24791 6049 11378 2436 12922 16413 12421
58,5930 11197 625 16577 17994 22324 306 23996 12601 12943
59,8841 9005 23950 19668 11223 10803 8531 23042 12026 6544
60,3527 6096 175 2237 10638 16843 762 12454 9379 3214
61,8826 14378 6446 16932 6397 9364 19254 23974 9333 22081
62,16394 11527 12214 5952 8675 10311 19948 12759 3775 20863
63,13231 3456 8654 21051 7940 13424 14488 5905 13729 10931
64,23741 20458 14401 339 12886 2427 25877 17723 12347 12104
65,16850 2182 16416 3840 4156 8081 18959 11873 17148 8587
66,19089 2533 24075 10269 19480 2720 8431 17858 9851 12061
67,22057 19796 9822 4457 91 9615 18574 18462 10480 5966
68,2333 18190 6088 23711 5717 4620 11792 3983 9284 2090
69,25932 2317 7583 10919 15124 8971 12509 2645 3264 20925
70,4390 8990 12254 14356 10162 16802 10653 16793 3812 22121
71,1621 21033 21085 2940 14684 20857 1959 8086 22033 16205
72,1863 2996 22645 21552 24075 13541 8920 19094 24340 23536
73,4502 18419 15915 22128 18139 16394 10073 19874 22750 25046
74,24546 11710 14104 23285 11107 11576 762 18343 644 21505
75,20108 8251 9339 19910 11072 8704 22511 7639 11730 15830
76,17877 25407 2426 16577 10834 15196 15691 15903 9555 23154
77,25387 15377 15379 7117 7540 4081 12187 4272 1955 9959
78,2868 5717 15327 6088 20431 19114 18190 9029 2333 3337
79,10269 9438 25675 5284 22554 12061 5942 9851 13433 24985
80,11546 6361 15541 4257 15847 23053 5427 3035 12035 17480
81,24075 9851 12061 22554 25068 10786 10269 11792 5942 23711
82,19502 10785 8311 12110 1535 14915 24075 23427 10959 5686
83,2426 9555 23154 10594 16928 10834 1583 23141 13711 16906
84,20496 9851 4620 24410 23711 10191 20148 9029 7639 10009
85,3580 11533 5952 13953 13503 8984 4366 2478 25596 6708
86,6446 16779 15161 8955 11951 14776 12819 24635 16712 4588
87,2001 6446 16577 23468 3812 16793 19852 13081 13593 679
88,9851 9438 10269 8811 22554 23711 18293 19401 7202 20582
89,11785 9496 8164 4683 11297 23340 9086 3646 10526 6709
90,4620 5717 921 3337 9851 19480 18190 5487 1447 2868
91,18949 25044 15468 11848 8529 4649 6510 16758 19315 19005
92,12409 19480 16630 20146 7494 19709 17723 2665 23481 8894
93,10269 25675 9438 12061 13018 19864 16223 9851 6835 11945
94,13030 14373 23127 24561 10788 11451 22483 21854 6876 20750
95,14413 9526 8593 2281 21264 2216 5447 229 19061 2823
96,8529 5218 17717 3812 17920 20281 2995 2715 19468 3613
97,12554 4502 19874 24355 1486 25809 20308 18419 20553 19429
98,19874 24355 4502 17668 20308 4257 5581 15234 10418 8406
99,19007 5915 7839 11623 1745 17889 20308 7541 14684 19281
100,19839 5464 4766 18886 24481 20290 6760 24355 21433 1258
101,11649 21297 16772 10340 19468 22554 16185 25407 15801 7273
102,13057 22484 19596 13912 22357 15152 24615 19495 6232 6621
103,19781 867 19704 5717 8544 3348 11796 11518 17065 11067
104,19874 14684 24355 23534 19480 5756 11550 13549 5284 20308
105,22750 7202 23485 15790 19620 18293 23424 18804 5380 22554
106,12061 22356 9851 23711 23299 8811 275 10786 3668 8544
107,1863 8786 11745 13064 19442 8560 22645 15761 4940 20629
108,22121 18544 25101 24747 23189 3539 10537 14356 19089 18317
109,484 13226 7363 20688 10162 970 16793 14356 15691 12601
110,8432 15196 5150 1095 17546 15642 9511 19973 25507 17517
111,24546 1205 5589 2005 21505 5915 11931 17823 13343 19007
112,14330 598 25950 20320 25764 1443 7683 10269 16191 16268
113,23723 15563 5574 16987 10328 24655 9241 9238 13424 3550
114,14100 11260 23033 22040 2362 3978 14268 1166 73 25092
115,24075 19792 22554 13615 25779 13831 7944 9438 2210 12923
116,11820 5044 15196 14356 15903 964 24577 15691 19750 16045
117,17803 25331 25863 1250 8773 15821 22321 21477 4688 17332
118,23086 12162 25484 11527 10311 16246 2835 19823 15183 8675
119,4502 20308 19874 18419 14104 10073 12202 1714 14684 21085
120,18987 10996 21035 10940 1258 24014 24355 9934 24481 20139
121,25675 12851 18576 25858 18995 22554 5942 19205 24075 13941
122,15739 14412 5178 13225 18656 14626 8675 12886 23004 16006
123,21061 4147 8337 13887 1869 25407 681 13294 3630 19769
124,2333 13541 5717 2868 23536 22646 23711 4620 18190 2090
125,23221 828 4257 21948 9516 17668 7753 25 4502 6502
126,22140 14437 2581 1652 18355 20599 3906 1899 10597 15262
127,7926 10085 23531 6728 25552 18329 132 23226 22821 20158
128,9851 10269 25675 10786 9438 13118 1863 8811 23711 15034
129,18708 14045 861 2165 25693 14515 411 22463 14097 22405
130,24546 25766 8805 7839 18343 3527 7818 16124 21616 24210
131,22548 25138 9981 10507 4099 10698 3037 12295 9107 21245
132,341 21567 20719 14820 7109 11701 5284 4694 5205 11039
133,23155 21631 11159 5415 22862 22965 14266 11536 6770 22880
134,10617 12702 17383 22121 21042 16577 13303 22731 19194 23651
135,16447 25440 23333 24746 72 11841 25544 14302 9529 6843
136,11550 13433 24546 19480 22429 17915 24909 8660 11084 10573
137,20963 16726 3579 23405 15733 10782 7053 8339 7016 13373
138,22523 21095 20737 15592 21264 3223 11432 6588 25028 5644
139,10391 9347 21064 4463 7012 2491 8472 22102 18837 23914
140,13433 21153 17180 9940 158 21602 7124 9045 8626 24546
141,5078 17637 14684 20308 6652 3916 24355 14386 17400 2304
142,19480 9851 20146 16630 10269 25675 13118 23600 8544 8894
143,11584 2939 177 9708 15187 15746 1478 1980 17123 24288
144,19089 12409 7494 17723 20146 16630 19709 2665 24128 19480
145,18119 9591 20679 22845 3943 4100 10019 9345 9573 6774
146,24075 25675 5942 22554 10786 12061 13118 15564 8538 1888
147,3497 5930 24823 14141 5469 10918 7873 588 19769 25133
148,23154 2426 10594 25407 1583 5607 9322 7333 17877 6878
149,21552 21653 23666 10786 5717 12056 21583 12734 11384 773
150,17723 19089 23600 19709 20146 20095 7494 24128 16630 8431
151,19480 23481 3169 525 10979 8158 2932 22450 25648 19089
152,8828 7175 2061 3261 13902 7635 1830 12214 16537 21619
153,9195 20210 18412 15182 15783 13609 20447 841 427 20991
154,17320 9140 9859 24098 1225 18484 19961 24660 20966 9145
155,4620 12365 13837 13363 13014 18528 12056 3599 5717 17858
156,25407 15691 10594 9555 23154 2426 1583 10834 6734 18452
157,9475 11499 3855 24687 18317 4282 19309 4204 21260 523
158,5150 15196 3261 18367 17546 17517 2370 9511 24827 1175
159,20919 22151 18687 23844 6425 20510 15064 4447 591 7030
160,12601 22731 21355 4871 2375 3913 19934 6047 679 11197
161,414 12574 17240 8026 16978 8577 19944 12571 9341 3827
162,3473 22128 12875 18293 22750 22307 21342 15915 8589 21552
163,14641 25197 11832 166 18394 25082 8072 10625 14684 19871
164,8322 25407 4878 11535 20146 17819 1577 7013 5044 14706
165,5717 7639 21552 4620 24410 11072 12061 8704 4209 8524
166,17179 20167 12273 7639 11159 4209 24349 12710 12056 24410
167,6878 2426 18392 22848 10834 17209 13711 4980 13136 25407
168,0 17322 17321 17320 17319 17318 17317 17316 17315 17314
169,25407 15691 2426 23154 7494 1583 7991 19089 10834 10594
170,22801 16402 4366 24750 5952 13663 17951 20863 2384 22426
171,4512 25675 23424 7202 12923 22554 10789 22359 19401 10786
172,19781 11731 11792 24908 19114 9243 867 12983 10514 6547
173,17209 13136 9733 2426 16854 13711 20863 5669 12050 13806
174,13294 22010 6073 13928 3264 9605 835 2426 2434 166
175,7632 16667 5756 25517 2507 23530 20626 25957 8430 13863
176,6004 24575 12061 23127 5717 10885 21854 9284 22646 2300
177,25407 10594 6734 9555 21920 1583 10834 15691 18392 22848
178,22657 8251 6599 2759 7639 13555 11328 15490 23481 23909
179,8304 24484 3820 16218 15764 13779 20356 15343 15125 20894
180,2579 23832 3423 20074 20664 2597 4338 14876 21498 12808
181,19480 19089 8251 10269 19709 21552 9591 14895 23481 20108
182,15903 17517 5150 18367 3261 14554 19973 17569 22075 5641
183,23600 19709 12409 23481 7494 17723 20146 20095 5522 18984
184,15749 9683 10073 15873 16231 16394 15844 10491 2023 4629
185,5250 6363 5673 3185 25453 25102 15072 9464 21255 25204
186,7583 16394 7553 17877 24577 12759 6831 7013 3264 8089
187,10747 7243 19518 23879 2825 1254 22609 12271 21139 2584
188,11748 8649 9017 24577 17247 10747 1095 24280 11823 3901
189,16772 25407 8097 5044 15691 17229 23141 12466 10834 9555
190,23154 5108 25171 5 25407 10594 24994 8316 10345 10834
191,6282 9167 13690 1040 5036 11613 9950 8373 21490 6242
192,15764 24093 8304 17820 5412 3997 24109 4803 57 14865
193,3656 484 11848 14185 18404 18305 13760 21747 6319 17013
194,13348 18259 11367 24566 6686 1538 24075 10846 638 22296
195,10020 19761 22140 14437 18503 1899 3906 18355 1652 10597
196,19985 24383 681 16836 5387 6900 10021 22564 4048 6663
197,5150 22075 16266 17586 15903 4118 592 12271 7426 15644
198,22646 6088 23536 2868 5717 2333 2090 3983 15459 18190
199,8249 7133 6446 9041 22121 11121 23991 8990 9250 14684
200,13415 7494 1432 19666 7341 20083 11802 5491 19089 388
201,20146 19480 19089 23263 1634 24355 16630 23600 17257 19525
202,868 24586 4341 24164 17407 25575 9614 10175 8902 2757
203,13686 4289 4444 8987 9112 1097 3968 9679 25409 8244
204,12061 9851 24075 25675 9591 8560 9438 1863 11384 3574
205,23536 18190 2333 5717 21854 15459 18528 6088 18872 23711
206,17858 23666 2333 9851 3668 11987 7992 921 23358 12056
207,6239 8158 23628 10948 7174 25740 14609 18300 6760 15006
208,25698 13415 11540 11802 20083 372 5491 388 6865 11367
209,19874 4502 24355 17668 18419 10418 4257 20553 15234 5581
210,25034 7016 17908 24333 12953 8339 6760 2798 9451 22100
211,6380 15655 6901 14100 13026 1341 2448 7836 9934 25969
212,2448 4728 7720 19089 3070 6827 21437 16948 7836 12409
213,1866 16862 1050 2352 4987 18463 14480 19231 22873 10895
214,24075 10269 5942 10220 773 9005 23799 8531 9438 10803
215,7709 25663 8676 15925 15371 8667 12033 1442 3650 7017
216,6510 23398 14396 16758 4723 9304 16443 7012 19504 6014
217,3348 3469 562 11987 9497 4779 14593 11716 17162 16878
218,10766 21493 19010 15196 5150 17546 12142 16879 25837 14972
219,497 18793 8709 9769 9662 9716 15559 12048 13424 24971
220,24075 9438 22554 10269 12061 15564 18293 10786 9851 24894
221,7939 21825 17958 7279 8352 13733 2691 4284 5872 19826
222,14684 4502 20308 18419 10418 5581 7883 4257 20146 17668
223,7233 2894 15387 16308 7639 18523 23714 20411 12590 24206
224,2485 19340 3788 15645 22949 15795 8216 23902 19621 4873
225,25407 16772 16431 17625 7011 24143 15954 8990 14362 9460
226,13019 16399 14044 4756 24861 24329 24536 13622 17960 14070
227,15363 4502 11832 7883 19874 11737 14684 19970 14534 23404
228,4296 17917 18574 7539 17651 1573 4203 12630 18462 17668
229,8079 20637 8100 20613 16177 1778 14374 891 17248 4384
230,6097 711 19823 17109 22217 7946 21373 13795 18514 19150
231,24075 22554 9438 18293 10786 20988 13306 9851 19928 14811
232,11792 18684 14129 11524 3164 20706 13635 18790 20726 4126
233,5862 13625 10443 21024 195 10569 25938 11497 10414 9859
234,16577 11197 5930 306 12601 12943 625 17318 11822 2183
235,23659 25416 21042 24202 21449 16942 22731 13619 10151 19551
236,6088 15459 13541 22646 22359 14418 2333 9591 12061 22003
237,91 8959 14838 21473 19063 23647 22981 11896 17857 7898
238,6139 18330 21872 20820 5497 16871 5475 4215 20265 20045
239,10513 21802 6616 11597 13756 15330 20911 15905 18799 3689
240,10730 21920 588 9300 18551 11991 24391 6274 14759 1283
241,11369 6121 10002 10996 3782 21780 25973 14344 11925 19123
242,1397 10592 7487 15275 18499 17680 1188 9060 19044 14551
243,11832 4411 16362 23020 615 1393 10249 14395 24210 6952
244,5078 25675 14684 24075 9438 4502 8395 20308 18293 5581
245,5487 23536 9284 1785 18190 7885 999 3835 2868 11647
246,2426 1583 10594 7991 6734 12818 18392 5044 10981 17156
247,23004 24230 24216 13752 1366 22750 23847 6489 15124 18462
248,281 1771 15929 656 13522 7728 0 17323 17322 17321
249,19089 7494 17723 18984 20146 12409 8894 16630 11658 23600
250,23335 12719 5152 9159 11067 19653 1645 9857 14738 20147
251,6320 3613 18501 9190 19526 11480 17717 20281 701 3181
252,24546 2281 25766 10347 16124 175 12777 6096 377 2931
253,9438 16011 19007 19482 13552 341 24546 15793 3716 5284
254,9438 25675 25407 5942 12061 22554 9851 10786 23799 19089
255,3667 4559 25486 23838 21757 14006 12937 3181 6127 12845
256,13290 10108 14462 19960 13072 13164 648 23043 7861 1513
257,2426 14684 4502 9555 23154 12818 10594 7883 10418 10834
258,23600 16630 12409 19709 7494 19480 20146 2832 23481 2665
259,17637 2459 3916 8395 14386 22864 11350 13305 24649 6652
260,25407 6734 9555 10834 18392 1583 12050 6878 10792 22010
261,11855 16301 7030 15914 979 9293 18687 3281 19577 1750
262,8492 7932 6222 19792 16018 2441 11430 21495 468 20554
263,14396 19857 11645 18949 25711 8446 16227 13020 7312 13649
264,24355 18419 20308 10418 5581 17668 7883 4257 5078 11737
265,4543 12061 10269 24075 0 17320 17319 17318 17317 17316
266,5475 13490 8545 15394 24696 8099 23922 19621 23298 15645
267,3127 16460 18486 25623 11604 4564 13126 20434 692 20073
268,2426 15691 9555 23154 23141 10834 1583 10594 12818 6734
269,5646 5044 1711 11295 19089 9263 18375 10451 10842 14724
270,21854 23536 11792 2333 13541 4254 15459 15327 6088 1192
271,773 991 11050 637 8538 9851 23568 18268 10327 3768
272,25675 7202 4512 24075 18293 19401 9438 25260 19564 15564
273,2426 23154 9555 6734 23141 7991 16906 13711 18392 17156
274,17517 8318 2756 19828 24589 22601 25167 20311 15105 5118
275,7487 12453 17860 3506 604 22410 12171 6319 16647 4296
276,15898 18727 21705 6042 20819 16979 2088 9871 704 21843
277,5717 12341 18190 13541 18114 23536 9284 2333 23711 19114
278,24420 11979 15379 22021 7540 14339 388 23741 9134 22899
279,2278 23985 18745 13513 14516 10604 9698 16645 3670 21502
280,15231 23403 4502 19874 24355 20308 4257 18419 16214 1727
281,2333 12061 13541 23711 18190 23536 21854 12341 6088 2300
282,16711 6727 8397 25400 24484 6246 24093 8064 23427 23071
283,18190 4620 5717 23536 15327 2333 6088 2868 21854 23711
284,9819 4502 19874 14684 25407 6003 14317 1999 12214 18419
285,6743 25886 7109 13865 12789 22609 22846 15196 6587 5420
286,1863 12061 13628 18122 6923 773 637 11317 10184 991
287,17369 24200 10328 13652 16811 8797 8537 6280 5933 17512
288,7920 8742 8220 9234 19363 3086 11875 18878 25855 18695
289,5915 13433 158 3527 25494 14104 24546 18427 17889 19007
290,471 21704 6279 3418 11854 12876 22327 14248 11504 16178
291,10865 4787 22847 13885 6464 18193 3296 1211 4444 22161
292,7333 17546 23689 7207 19914 17581 3971 6712 22370 2873
293,23711 12061 18246 4796 9508 2910 23127 25028 6662 15592
294,23450 9876 17319 17318 17317 17316 17315 17314 17313 17312
295,13708 8784 1808 9477 20766 5770 20406 15656 2936 19429
296,25407 19089 15691 9555 7494 16630 11295 10594 23154 8894
297,11702 25766 3527 16011 21505 12087 17323 14104 18547 13319
298,18512 9829 14684 10820 8395 15827 8769 20981 23109 6612
