user_id,item_list
0,1447 4927 12543 5161 20761 649 20869 13219 15830 25878
1,19089 23600 12409 20095 19709 3165 8431 16630 17257 23244
2,4842 17339 575 11548 20323 9549 14792 16249 2824 17336
3,22487 12473 20905 3942 6649 19572 11679 14446 18569 17578
4,9243 14271 1611 10997 9578 433 11796 18692 9295 19843
5,8097 14706 7013 4257 12214 8322 7494 1240 16172 11527
6,25044 24383 23906 4824 10745 14020 1282 4774 7049 1246
7,4209 21582 22862 11159 1358 23155 14266 19189 23267 16257
8,25407 1583 13711 2426 15691 6734 10834 6878 18392 3957
9,10132 9609 25358 20666 14038 5416 811 23608 16375 19792
10,3556 12906 11361 22923 23361 12375 23919 16921 15195 23026
11,22956 7856 3220 12788 12951 17482 20334 6015 17797 20876
12,2823 2281 1592 20211 10380 24546 8544 8593 15276 19291
13,20969 11533 11924 9992 4213 1770 16535 6446 23154 23880
14,18500 18499 16999 20918 244 18859 7115 20644 23309 19103
15,24546 25766 12643 17130 12903 5076 6 17323 12230 13433
16,7913 21416 886 8400 17514 921 12684 4502 17305 14137
17,19089 20146 9438 17723 19480 12409 8894 12061 25675 20404
18,18793 5032 12048 7267 20300 15778 18649 22385 9769 13990
19,2426 9555 15691 23154 10834 7095 12818 1583 16928 10981
20,23465 15398 5925 5078 13616 25957 8606 24785 15234 14279
21,3875 18901 16803 18788 23778 13138 6298 24366 21786 18237
22,6616 11597 17899 10005 3689 10235 7331 23206 1418 1668
23,988 6200 11293 17836 16496 23562 6454 14835 16577 15457
24,14291 19480 14895 12918 6551 24964 1185 5778 13216 4209
25,12844 7115 983 10640 823 25674 18574 23430 18684 139
26,867 23056 21552 21975 23711 19781 2437 5470 13707 8112
27,5044 57 8158 17820 5562 19357 4476 16188 23628 8064
28,13424 23020 615 1393 6551 4411 21327 23056 23127 18246
29,16688 21428 25957 5193 14684 5765 9336 16100 8667 22500
30,8544 21552 24621 22511 3835 9243 4966 6812 11384 8920
31,2001 13226 23651 23468 16793 13593 13081 17013 19340 10162
32,1573 18574 9620 10640 5966 983 7115 823 2643 290
33,10269 25675 9438 12061 5942 22554 4475 14152 23780 10953
34,23324 1803 1959 9520 14413 3477 21677 8593 17400 9526
35,9620 23430 14826 8914 11784 6709 23340 24579 25373 13514
36,25407 2426 6734 1583 15691 23141 22848 9701 16928 12818
37,10528 19480 8439 10182 24075 4766 21932 17759 271 17474
38,1863 8560 21062 13628 25736 4940 15434 19822 12061 180
39,2178 2220 6139 7321 16648 21872 5497 20820 16871 24524
40,5044 8097 24075 15691 22445 20095 22554 10834 8894 25407
41,14266 8524 11408 17322 1017 14023 24410 22100 11317 21213
42,20553 6612 20544 722 13663 16626 18512 4502 13870 16904
43,610 3469 21468 780 7507 5466 21153 16901 4320 16957
44,17470 5093 8475 6085 5876 19886 4628 3214 12236 7836
45,11658 17723 19525 24128 19089 8431 18930 2665 25873 7494
46,23536 6088 11792 23711 13541 15459 18190 4620 3983 9029
47,18852 21912 4032 19326 4738 6369 7993 1700 19281 16124
48,24985 5284 13552 4781 13433 10626 14684 19874 11388 4115
49,18549 25253 5787 12585 24746 25440 72 23333 9529 2019
50,2426 9555 1583 10594 10834 12818 23141 6734 13711 7991
51,24075 25675 17923 10848 7964 7115 10325 5543 7494 561
52,2919 20375 22056 13194 14279 25009 2072 11449 14767 8268
53,19166 14396 14086 12323 20622 8529 18499 4147 23398 13624
54,3803 25675 7202 19401 20439 19564 18293 16420 15564 12923
55,15562 3058 16562 10910 10601 1868 4064 675 16218 3093
56,10384 20401 11741 20933 4638 20661 4083 13764 6506 12742
57,25656 2390 75 6049 11378 24791 2436 16413 12922 12421
58,5930 11197 16577 625 22324 306 17994 12943 23996 6047
59,8841 9005 10803 19668 11223 8531 23950 23042 12026 6544
60,6096 3527 2237 175 11774 10638 9379 3214 8002 12454
61,8826 6446 14378 6397 22081 16932 4390 18499 12552 23682
62,16394 12214 11527 8675 10311 3775 19948 8097 11812 12321
63,13231 3456 13424 14488 8654 21051 7940 5905 13789 14315
64,23741 20458 17723 12104 14401 2427 25877 339 12886 24300
65,16850 2182 3840 17148 16416 8081 4156 11873 18959 25255
66,19089 10269 2533 2720 24075 3165 17858 19480 8431 7650
67,22057 19796 18574 9822 5966 4203 7329 18882 18462 4457
68,2333 6088 18190 5717 23711 4620 3983 11792 2090 9284
69,25932 2317 15124 7583 10919 6530 8630 7539 9787 2645
70,4390 14356 10653 16802 10162 12254 3812 9992 19176 8990
71,1621 17668 21085 14684 17400 1959 21033 12986 20857 13421
72,1863 2996 22645 24340 19094 21552 4940 8920 13541 15906
73,18419 15915 4502 18462 16394 18139 10073 23521 22128 19874
74,14104 24546 11710 22622 11576 21505 644 13552 24945 8687
75,9339 20108 8251 19910 8704 11072 7639 11730 22511 15830
76,17877 25407 15903 16577 2426 15196 11748 25585 17070 6146
77,25387 15377 15379 7117 11323 7540 4081 4272 18980 6865
78,2868 20431 3337 6088 15327 8077 13450 644 9029 21784
79,10269 9438 5284 25675 5942 24985 22554 341 13433 12061
80,4257 4314 15541 6361 25637 11546 17480 19303 24092 7902
81,24075 9851 12061 25068 23711 6254 10786 23799 5934 22554
82,19502 10785 8311 12110 1535 14915 23427 22524 5686 6626
83,9555 2426 23154 16928 1583 10594 10834 23141 13711 16906
84,20496 24410 10191 20148 9851 23711 4620 7639 141 23127
85,3580 11533 6708 8984 5952 25596 2478 23774 13953 13503
86,6446 16779 15161 8955 11951 25661 14776 19176 12819 24635
87,2001 6446 23468 16577 16793 13081 13593 3812 2888 18798
88,9851 10269 8811 9438 22554 23711 16268 20582 18293 7202
89,11785 9496 8164 14835 14193 4683 8037 301 7816 17866
90,5717 921 4620 3337 1447 25226 19480 9851 8920 5487
91,18949 15468 25044 16758 11848 4649 24383 14973 8529 24361
92,19480 12409 20146 16630 7494 19709 17723 23481 18317 2665
93,10269 9438 25675 13018 19864 17923 6835 16223 11945 7583
94,13030 14373 10788 24561 11451 18545 19180 23127 22483 20750
95,14413 9526 8593 2216 2281 21264 2823 5447 11339 229
96,8529 5218 17717 20281 19468 6698 17229 2715 17920 2995
97,12554 4502 19874 1486 24355 19429 25809 20308 18419 359
98,19874 24355 4502 17668 20308 5581 19655 11083 15234 24733
99,19007 11623 9135 17889 25209 5915 1745 7541 19281 20308
100,5464 18886 19839 4766 24481 6760 20290 1258 15207 13702
101,11649 21297 16772 10340 16185 7511 18324 25407 7273 15801
102,22484 19596 13057 24615 16395 22357 19495 20695 15152 17373
103,19781 867 19704 3348 8544 11518 21365 6547 11796 17858
104,19874 14684 24355 11550 23534 5284 5756 9574 728 19480
105,23485 22750 7202 23424 22554 15790 19620 12923 17858 18804
106,8811 22356 12061 275 23711 23299 10786 3668 9851 8544
107,1863 11745 8786 2840 19442 13064 20629 15761 20212 25868
108,18544 22121 25101 24747 14356 3539 23189 10537 22335 173
109,484 13226 7363 20688 10162 16793 970 14356 19194 2888
110,8432 15196 1095 5150 17546 9511 19973 15642 17218 25083
111,1205 5589 24546 2005 8854 17374 13343 5915 2237 17823
112,14330 10269 6083 2526 17205 16790 25950 598 20320 16268
113,23723 5574 15563 16987 10328 24655 9241 3550 13424 1928
114,14100 22040 11260 10151 23033 9125 14268 19813 23796 3978
115,13831 19792 13615 25779 7944 24075 2210 22554 18322 9609
116,11820 5044 15196 19750 14356 15903 24577 964 9090 4525
117,8773 1250 25331 25863 17803 15821 2017 3900 24623 11247
118,12162 23086 25484 10311 11527 19823 2835 15183 16246 10698
119,4502 20308 14104 21085 18419 19874 12202 12841 10073 341
120,18987 10996 24481 21035 1258 9934 24014 2040 15562 3556
121,25675 12851 18576 18995 22554 25858 25199 5942 8358 19205
122,15739 14626 17130 14412 18656 2400 23004 13225 8675 5178
123,21061 4147 8337 3630 13887 1869 681 7260 13294 19769
124,2333 13541 5717 22646 2868 23711 2090 23536 1863 18190
125,4257 828 23221 21948 6502 9516 7753 25 17668 19165
126,22140 2581 14437 15262 21039 3024 9898 5786 4473 25875
127,10085 132 7926 23531 18329 23226 25552 22821 6728 9073
128,9851 10269 25675 10786 9438 13118 8811 15034 1863 23711
129,18708 861 14045 25693 2165 22410 604 13099 20926 24316
130,24546 25766 8805 3527 7839 7818 14104 18343 10347 175
131,22548 3037 25138 9769 22464 14385 919 11738 4099 10698
132,341 21567 1816 5284 24985 7109 20719 14820 20235 24928
133,23155 21631 11159 22862 5415 22965 14266 22880 11536 6770
134,16577 19194 23651 13303 22731 10617 12601 21042 17383 12702
135,16447 25440 24746 23333 72 9529 14302 25544 11841 2019
136,13433 11550 19480 24909 17236 8660 25801 17915 13797 20276
137,16726 20963 3579 23405 15733 13373 7053 10782 8339 7016
138,21095 15592 11432 5489 22523 25028 14343 5644 24087 4796
139,10391 9347 21064 4463 7012 2491 8472 22102 18837 23914
140,9940 13433 21153 8800 17180 21602 7124 19709 158 9045
141,5078 17637 14684 20308 6652 17400 3916 1205 14386 2304
142,19480 9851 20146 13118 16630 10269 23600 25675 8544 17525
143,11584 2939 177 11814 15187 9708 16381 14889 15746 16748
144,19089 12409 7494 20146 17723 19709 16630 19480 24128 2665
145,18119 9591 9345 18122 4100 22845 20679 10019 3943 9573
146,24075 5942 25675 22554 13118 10786 12061 1888 15564 19308
