,alpha,MAP
29,[0.58],[0.0647331583560823]
33,[0.66],[0.06464539178434]
27,[0.54],[0.06463548568000921]
26,[0.52],[0.06461317551821205]
31,[0.62],[0.06456512650431685]
25,[0.5],[0.0644961180889119]
28,[0.56],[0.0644488286741248]
30,[0.6],[0.06444136796784587]
32,[0.64],[0.06443477405857033]
35,[0.7],[0.06441340777270975]
37,[0.74],[0.06429135340719282]
38,[0.76],[0.06426549647317535]
34,[0.68],[0.06426455073220143]
36,[0.72],[0.06423543527166727]
39,[0.78],[0.06419842199019596]
40,[0.8],[0.06416210829259983]
20,[0.4],[0.06416209033813536]
21,[0.42],[0.06415028963418223]
22,[0.44],[0.06411401045369602]
41,[0.82],[0.06407194840467048]
24,[0.48],[0.06406995398379334]
23,[0.46],[0.06402530139783606]
17,[0.34],[0.0637554104734621]
19,[0.38],[0.06355733785209072]
16,[0.32],[0.06351734822147595]
18,[0.36],[0.06346740658434141]
42,[0.84],[0.063452210009178]
44,[0.88],[0.06344239025329457]
15,[0.3],[0.06334515137935055]
43,[0.86],[0.06332662390308522]
14,[0.28],[0.06326849093823439]
45,[0.9],[0.06326076470073685]
13,[0.26],[0.06273475712737132]
46,[0.92],[0.06271310170504268]
47,[0.94],[0.06252938026800685]
49,[0.98],[0.0624599617113948]
48,[0.96],[0.06242573407203506]
12,[0.24],[0.0621341144321471]
50,[1.0],[0.06210672852934433]
11,[0.22],[0.061941183607508346]
10,[0.2],[0.06167591263127128]
9,[0.18],[0.06136759224964832]
8,[0.16],[0.06116307453228311]
7,[0.14],[0.06065879698274142]
6,[0.12],[0.060452147611150996]
5,[0.1],[0.06013170907950977]
4,[0.08],[0.059575879085094284]
3,[0.06],[0.059253429987476264]
2,[0.04],[0.05853611826394703]
1,[0.02],[0.057942161310212424]
0,[0.0],[0.05765672866741284]
