user_id,item_list
0,25878 1447 13219 5161 8046 1256 4518 6915 6548 12543
1,19089 23600 12409 19709 3165 20095 16630 8431 6198 19480
2,2824 5566 3164 5451 19515 11764 21300 14353 991 16901
3,22487 12473 3942 20905 6649 16857 17820 11341 2074 1651
4,9243 1611 13427 19704 11384 25804 9295 14715 9578 10997
5,8097 14706 16172 21538 17819 7013 18495 23086 9301 8089
6,24383 25044 23906 14020 4824 3382 16617 17252 15176 11578
7,14682 3850 9723 13840 8499 12435 17332 12181 7646 4830
8,25407 2426 6878 15691 23154 10594 6734 10834 1583 13629
9,9609 19792 25779 10132 14978 13390 3699 13051 11905 9139
10,3556 12906 12375 23361 22923 16921 23919 17557 15195 11361
11,3220 7856 22956 12951 20876 3935 4661 20334 12788 15586
12,2823 19291 2281 1592 20211 5447 10380 24546 6235 8593
13,20969 9992 3382 11533 6446 10594 17732 23880 4213 19522
14,3641 20644 18499 18500 11848 16999 19103 21541 20918 244
15,24546 12643 19563 6 5076 5709 17130 4025 22817 175
16,7913 886 21416 17514 8400 12684 4502 921 8175 17305
17,19089 17723 9438 20146 12409 19480 16630 2665 5942 25675
18,18793 5032 12048 7267 20300 4936 15778 18649 22385 7448
19,2426 9555 15691 23154 10834 12818 10594 10981 1583 7095
20,8606 23465 15398 25957 19907 5078 24785 6893 25517 13616
21,23778 18788 3875 16803 24366 18901 4224 2646 13138 21786
22,9487 6616 1668 11597 17899 23206 7331 9824 14583 10005
23,988 6200 11293 17836 16496 6454 14835 23562 16577 17143
24,13797 14291 19480 9069 11179 5778 1275 11730 8935 10484
25,12844 7115 10640 983 7405 25674 18574 290 823 12385
26,16245 23056 21975 19781 23711 10997 20496 10530 10514 867
27,57 8158 5562 17820 6760 21527 5044 23628 16188 24484
28,23835 6551 4411 3123 2233 3687 13424 1673 615 23020
29,5193 14684 23770 5765 5078 16688 25957 13485 7852 12356
30,8544 21552 24621 3835 11384 9243 4966 19781 25662 6812
31,2001 13226 23651 19340 16793 13593 23593 23468 13081 22226
