user_id,item_list
0,1447 4927 12543 13219 25878 5161 20869 5085 9851 649
1,19089 23600 12409 20095 19709 16630 3165 19480 8894 8431
2,4842 2824 575 9549 11548 20323 17336 16249 14792 22230
3,22487 12473 20905 3942 5412 18569 6649 14446 11679 19572
4,9243 1611 4927 14271 11384 18692 11796 9578 9295 19843
5,8097 7494 12214 4257 25407 7013 8322 17819 19709 11535
6,25044 24383 23906 4824 10745 1282 4774 17252 1246 16443
7,4209 22862 16257 1358 23155 21582 341 23267 11159 20955
8,25407 1583 2426 23154 15691 6734 10594 10834 6878 13711
9,10132 9609 19792 20666 8877 11905 25358 13944 14038 11029
10,3556 12906 22923 23361 11361 23919 16921 12375 23026 297
11,22956 7856 3220 12788 12951 20876 20334 17482 6015 17797
12,2823 2281 1592 20211 24546 10380 9526 8593 19291 9277
13,20969 25407 11924 23154 1770 11533 9992 6446 4213 6734
14,18500 18499 11848 16999 20644 20918 18859 244 13887 13169
15,24546 25766 17130 12643 12903 7839 1745 12230 4025 17323
16,7913 886 21416 4502 17514 8400 12684 921 17305 19874
17,19089 9438 17723 20146 5942 25675 19480 8894 12061 12409
18,18793 5032 12048 7267 20300 15778 22385 9769 18649 22548
19,2426 9555 15691 23154 10834 1583 12818 10594 7095 10981
20,15398 23465 13616 25957 5078 15234 8606 24785 5852 5925
21,3875 16803 23778 18788 18901 13138 6298 24366 2646 21139
22,6616 11597 17899 10005 3689 10235 23206 7331 4217 14583
23,988 6200 11293 17836 16496 16577 6454 23562 14835 15457
24,14291 19480 11730 14895 20108 19089 19709 19910 13310 16630
25,7115 12844 983 823 10640 25674 18574 23430 9446 8131
26,867 23056 21975 5717 19781 11792 18692 13707 10530 11067
27,57 5044 8158 17820 5562 14609 19357 3572 24484 8064
28,13424 6551 4411 615 23020 21327 1393 23127 23056 19221
29,14684 19874 25957 5078 16688 21428 17668 5193 5765 8667
30,8544 21552 24621 11384 9243 3835 4966 1863 25662 2868
31,2001 13226 23651 16793 13593 23468 19340 6446 13081 10162
32,1573 9620 18574 10640 23154 7115 290 983 2643 20087
33,10269 25675 9438 5942 22554 12061 9851 10786 25260 4475
34,1959 1803 23324 9520 21677 3477 24546 14413 17808 5446
35,9620 5474 21236 8914 23340 3742 14826 16366 11297 11784
36,25407 2426 15691 1583 6734 23141 22848 9701 16928 16906
37,24075 10528 19480 8439 10182 2932 23725 14163 21932 17474
38,1863 8560 21062 12061 14385 13628 2996 24075 19822 180
39,2178 6139 7321 21872 2220 16648 20820 16871 5497 21326
40,24075 25407 5044 8097 22554 15691 9438 10834 20095 20146
41,8524 14023 17322 11317 8544 24410 11408 14266 19189 1017
42,20553 6612 20544 7494 13663 722 16626 20095 13870 24209
43,3469 610 780 4320 16957 7507 5466 21468 21153 3835
44,5093 17470 8475 14678 6085 3214 23324 24839 1205 25209
45,19089 11658 7494 19525 24128 8894 17723 2665 8431 23244
46,23536 13541 6088 4620 11792 15459 18190 23711 19114 12061
