,topK,alpha,MAP
320,[450],[0.65],[0.06279666470520404]
200,[450],[0.4],[0.06276351502961808]
374,[750],[0.75],[0.0627211374830738]
199,[400],[0.4],[0.06271768429675922]
403,[1000],[0.8],[0.06270619224257572]
406,[1150],[0.8],[0.06270619224257572]
405,[1100],[0.8],[0.06270619224257572]
404,[1050],[0.8],[0.06270619224257572]
407,[1200],[0.8],[0.06270619224257572]
402,[950],[0.8],[0.06270619224257572]
401,[900],[0.8],[0.06270619224257572]
277,[700],[0.55],[0.06270144914629837]
400,[850],[0.8],[0.06269882673671277]
399,[800],[0.8],[0.0626958805343676]
207,[800],[0.4],[0.06269078079840351]
212,[1050],[0.4],[0.06268961167048875]
208,[850],[0.4],[0.06268961167048875]
209,[900],[0.4],[0.06268961167048875]
210,[950],[0.4],[0.06268961167048875]
211,[1000],[0.4],[0.06268961167048875]
215,[1200],[0.4],[0.06268961167048875]
214,[1150],[0.4],[0.06268961167048875]
213,[1100],[0.4],[0.06268961167048875]
278,[750],[0.55],[0.06268953520395587]
344,[450],[0.7],[0.0626882104985192]
273,[500],[0.55],[0.06267819867162126]
253,[700],[0.5],[0.06266986251122535]
259,[1000],[0.5],[0.06265997998430746]
260,[1050],[0.5],[0.06265997998430746]
261,[1100],[0.5],[0.06265997998430746]
262,[1150],[0.5],[0.06265997998430746]
258,[950],[0.5],[0.06265997998430746]
257,[900],[0.5],[0.06265997998430746]
263,[1200],[0.5],[0.06265997998430746]
256,[850],[0.5],[0.06265997998430746]
255,[800],[0.5],[0.06263404405064658]
272,[450],[0.55],[0.06262974333010295]
349,[700],[0.7],[0.06262970978726638]
274,[550],[0.55],[0.06261705047020544]
443,[600],[0.9],[0.06261061868000065]
322,[550],[0.65],[0.06261050221259125]
298,[550],[0.6],[0.06260928236679417]
276,[650],[0.55],[0.06260472207201714]
247,[400],[0.5],[0.06257894146535065]
294,[350],[0.6],[0.06257834404098613]
250,[550],[0.5],[0.0625768973565372]
270,[350],[0.55],[0.06257500439926122]
224,[450],[0.45],[0.06257405709945017]
325,[700],[0.65],[0.06256750873049055]
297,[500],[0.6],[0.06255907522627743]
202,[550],[0.4],[0.06255222644711643]
470,[750],[0.95],[0.06253948598701081]
335,[1200],[0.65],[0.06253218753898482]
334,[1150],[0.65],[0.06253218753898482]
333,[1100],[0.65],[0.06253218753898482]
332,[1050],[0.65],[0.06253218753898482]
331,[1000],[0.65],[0.06253218753898482]
330,[950],[0.65],[0.06253218753898482]
329,[900],[0.65],[0.06253218753898482]
421,[700],[0.85],[0.06253027671075366]
301,[700],[0.6],[0.0625302204812683]
327,[800],[0.65],[0.06252708078825317]
226,[550],[0.45],[0.06252576691116803]
328,[850],[0.65],[0.06252482203312187]
296,[450],[0.6],[0.06251926998383664]
249,[500],[0.5],[0.06250449187295763]
233,[900],[0.45],[0.06250380119672386]
239,[1200],[0.45],[0.06250380119672386]
234,[950],[0.45],[0.06250380119672386]
232,[850],[0.45],[0.06250380119672386]
238,[1150],[0.45],[0.06250380119672386]
237,[1100],[0.45],[0.06250380119672386]
236,[1050],[0.45],[0.06250380119672386]
235,[1000],[0.45],[0.06250380119672386]
246,[350],[0.5],[0.0625006262071802]
205,[700],[0.4],[0.06249983746338348]
223,[400],[0.45],[0.06249624918712202]
391,[400],[0.8],[0.06249513002550738]
251,[600],[0.5],[0.06249296043029787]
343,[400],[0.7],[0.062492569635374084]
319,[400],[0.65],[0.062486046291319076]
323,[600],[0.65],[0.062482802740774314]
281,[900],[0.55],[0.062480274028440246]
284,[1050],[0.55],[0.062480274028440246]
285,[1100],[0.55],[0.062480274028440246]
286,[1150],[0.55],[0.062480274028440246]
287,[1200],[0.55],[0.062480274028440246]
283,[1000],[0.55],[0.062480274028440246]
280,[850],[0.55],[0.062480274028440246]
282,[950],[0.55],[0.062480274028440246]
271,[400],[0.55],[0.062478409881816535]
231,[800],[0.45],[0.062478253413530666]
248,[450],[0.5],[0.06247744290168553]
279,[800],[0.55],[0.06247375029467593]
393,[500],[0.8],[0.06246914860720343]
221,[300],[0.45],[0.062463678452544934]
398,[750],[0.8],[0.06245519996474352]
198,[350],[0.4],[0.062454774123818696]
299,[600],[0.6],[0.06245239439178473]
225,[500],[0.45],[0.06244964031612681]
392,[450],[0.8],[0.062439276386871835]
201,[500],[0.4],[0.0624379031347904]
175,[400],[0.35],[0.062436312536262376]
469,[700],[0.95],[0.062428860013878845]
229,[700],[0.45],[0.06242811191119544]
464,[450],[0.95],[0.06242704725321061]
