user_id,item_list
0,1447 25878 13219 5161 4927 1256 15708 8046 5085 4518
1,19089 23600 12409 19709 16630 20095 3165 8431 6198 19480
2,2824 5566 3164 5451 19515 4842 11764 21300 16901 11548
3,22487 12473 3942 16857 20905 5412 6649 17793 18569 17820
4,9243 1611 13427 9295 19704 11384 25804 21975 14715 9578
5,8097 14706 16172 7013 21538 17819 18495 23086 11527 21373
6,25044 24383 23906 14020 4824 3382 17252 16617 13167 13020
7,14682 13840 3850 12181 17332 9723 8499 12435 25803 19532
8,25407 2426 1583 10594 10834 6878 15691 23154 6734 21123
9,9609 19792 10132 25779 13390 3699 14978 11905 13051 16375
10,3556 12906 12375 22923 23361 16921 11361 15195 23919 17557
11,3220 7856 22956 20876 12951 3935 23403 21266 11726 4661
12,2823 2281 19291 1592 20211 24546 10380 5447 20600 6235
13,20969 11533 9992 6446 3382 23154 4213 10594 15304 17732
14,3641 18499 20644 18500 11848 16999 18859 16728 19103 13169
15,24546 6 12643 5076 19563 175 17130 12230 5709 8805
16,7913 21416 886 17305 17514 8400 12684 4502 921 18992
17,19089 17723 20146 9438 12409 19480 5942 16630 2665 25675
18,18793 5032 12048 7267 20300 15778 4936 22385 18649 7448
19,2426 9555 15691 23154 10834 10594 12818 10981 1583 16928
20,8606 23465 15398 5078 19907 25957 25517 5925 24785 13616
21,23778 18788 3875 16803 24366 18901 4224 13138 2646 21786
22,6616 9487 1668 11597 17899 23206 7331 10005 14583 1418
23,988 6200 17836 11293 16496 6454 23562 14835 16577 17143
24,13797 14291 19480 11730 9069 11179 8935 5778 13310 6982
25,12844 7115 983 10640 7405 25674 18574 290 17884 823
26,21975 16245 23056 19781 23711 20496 10530 4055 867 10514
27,57 5044 8158 5562 17820 21527 6760 23628 19357 14609
28,23835 6551 3687 4411 3123 2233 24479 615 23020 13424
29,5193 23770 14684 5765 13485 25957 16688 5078 19874 7852
30,8544 21552 24621 11384 3835 9243 22511 21975 19781 20496
31,2001 13226 23651 19340 16793 13593 23593 23468 22226 17013
32,1573 18574 9620 290 10640 983 7115 20656 2643 20087
33,10269 25675 9438 5942 12061 22554 4475 9851 23799 17409
34,1959 23324 1803 19007 21624 3966 377 17808 24546 363
35,9620 8914 9782 14826 13514 5474 3742 24445 873 21236
36,25407 2426 6734 15691 1583 16928 22848 17156 23141 16906
37,10528 19480 1008 2932 8439 23725 3620 1639 4542 10009
38,1863 8560 13628 21062 12061 19822 8811 4940 180 6088
39,2220 2178 6139 21872 7321 20820 16648 24524 15187 21326
40,8097 24075 25407 5044 22554 16630 22445 20146 15691 10834
41,1682 14266 22100 17225 17322 1041 790 9723 1695 25803
42,20553 6612 24070 4502 722 13663 20544 13870 11533 18512
43,23854 15536 1184 17365 7615 12696 703 12770 8256 8134
44,17470 5093 23324 19886 8475 11576 17374 16473 1413 3214
45,19089 11658 19525 17723 24128 25873 16948 7494 16630 8431
46,23536 11792 13541 15459 19114 18190 4620 6088 23711 9029
47,19326 21912 4032 18852 16124 4738 6369 7993 19281 11194
48,4781 16893 13552 13178 24985 14867 10626 5284 10749 303
49,18549 25253 12585 5787 4302 23846 24940 13970 24141 9646
50,2426 9555 10594 1583 10834 6734 12818 7991 23141 17156
51,24075 561 25675 942 4957 7494 22554 24850 5543 5942
52,13194 20199 14767 25009 20375 22056 11449 5609 2919 9211
53,11115 16758 17874 14396 6014 17697 18721 21008 20622 11969
54,3803 25675 7202 20439 19401 19564 15564 22554 18293 25260
55,15562 4064 11361 2122 14236 14009 25182 3058 16218 10910
56,11741 11987 10384 5413 3668 3348 20933 2910 21717 14593
57,25656 75 2390 11378 6049 24791 2436 12922 18076 17091
58,5930 1259 10524 306 22324 625 11197 6047 10951 6412
59,8841 11223 9005 23950 8531 19668 10803 6544 23042 12026
60,3527 175 6096 2237 13810 762 16843 11774 25526 12483
61,14378 8826 24747 9782 6446 3742 10653 9090 24579 1282
62,11527 12759 10311 23895 3775 7350 21542 4481 16394 13795
63,21051 13231 8654 3456 7940 13424 5905 24797 13729 25327
64,23741 20458 5810 21106 14401 12886 6865 388 22532 24300
65,16850 2182 8081 16416 18959 4682 4981 22140 3906 7552
66,2533 19089 7650 24075 17858 10269 25873 12061 11091 19480
67,22057 9615 4203 17451 19796 18462 10480 9822 18844 17668
68,18190 2333 6088 11792 3983 4620 14373 9315 23457 5717
69,7583 25932 2317 1005 12509 25133 23774 12897 8860 7371
70,4390 10162 14356 10653 4588 3812 6913 8990 3382 12254
71,17565 11064 21349 1621 17400 24070 24568 5094 20857 2940
72,1863 2996 21552 13541 24075 22645 8920 23536 19094 24340
73,22750 22128 15915 18139 4502 16439 18419 10556 11923 23302
74,24546 14104 3927 8854 24945 1608 3834 22622 8622 8805
75,20108 8251 9339 19910 14593 11072 8704 22511 11730 19922
76,17877 25407 2426 16577 3396 15196 15903 15691 10834 6146
77,18980 4272 15377 25387 7117 12187 3941 4081 15379 21108
78,20431 2868 15327 19114 18190 5717 18872 3337 772 2333
79,10269 9438 25675 5284 24985 5942 341 22554 12061 13433
80,21652 1001 4093 21517 24092 12035 11863 24978 4257 7047
81,24075 12061 9851 11792 10786 25068 19393 20532 10269 19114
82,10785 19502 10959 12110 20023 9087 1535 6626 23427 21092
83,2426 9555 23154 10594 16928 10834 1583 17156 16906 23141
84,20496 24410 4620 7639 13219 9851 10191 9029 23127 141
85,3580 23774 11533 2478 8984 5952 24278 13503 8860 20863
86,6446 16779 15161 8955 11951 12819 24635 4588 19498 14776
87,2001 6446 23468 2888 21021 18798 16577 23651 3812 13081
88,9851 8811 10269 9438 22554 16268 18293 23711 19401 25071
89,11785 21236 8070 3701 9782 13514 9407 3742 8914 14826
90,4620 5717 921 18190 3337 3348 9851 11716 12341 12550
91,13020 25419 4649 8529 11848 14973 8331 18949 3382 16758
92,12409 16630 2665 19480 17723 19709 20146 7494 23481 8894
93,10269 9438 19152 25675 19864 6835 13018 19890 22020 12061
94,13030 24561 14373 22483 6876 772 3983 23127 21854 22602
95,14413 9526 11339 5447 21264 8593 10380 229 2823 19291
96,8529 2995 3613 5218 19891 17920 18305 23331 6698 10294
97,12554 4502 19874 24355 18419 1486 19429 25809 20308 18512
98,19874 24355 4502 17668 5581 15234 8406 20308 10418 19879
99,7839 11623 21248 9135 377 25209 17130 1959 5877 24546
100,15207 25479 14287 18523 2169 16241 1185 1552 7558 8063
101,9297 4201 21297 20325 1994 15801 16903 7564 11649 22554
102,13057 19193 22484 19596 6621 16395 15842 16024 10956 9015
103,19781 867 19704 11067 17065 8544 6547 11796 5717 3668
104,14684 19874 24355 10581 22653 19480 23534 5756 11550 12409
105,22750 19620 22554 942 15790 5380 7202 18293 4297 103
106,275 23299 22356 12061 23711 9851 13672 3668 22244 8811
107,1863 8786 7266 11745 19442 4940 8560 20629 15761 17064
108,18544 22121 24747 3539 18317 25101 19089 173 23189 14356
109,484 7363 13226 10162 7049 2679 4664 20688 2888 970
110,15196 8432 1095 5150 14554 17546 15642 3848 17517 17218
111,24546 1205 2005 21248 6 5589 5421 24545 16693 11931
112,17418 10028 14330 5292 25764 7683 18679 16191 598 1443
113,23723 15563 16987 5574 10328 24655 13424 9241 6365 9238
114,14100 11260 23033 7455 20499 18770 9125 11011 3442 3292
115,13615 13831 24075 25779 22554 19792 7944 10688 23505 12923
116,11820 6297 5044 15196 25639 19602 4232 14356 24090 15364
117,17803 25863 25331 1250 8773 15821 2017 3073 2259 23625
118,23086 11527 12162 10311 16246 19150 25484 19823 24378 1151
119,4502 6450 4417 1714 18541 14415 15124 10749 8712 14879
120,10996 18987 16241 1258 24014 2040 19879 15207 24481 15421
121,25675 25858 12851 18576 5942 18340 18995 24127 22554 24075
122,16203 15739 23802 22024 9175 11737 5950 16257 933 9650
