,topK,weights,MAP
108,[800],"[array([0.4, 0.4, 0.2])]",[0.07486255562432244]
42,[700],"[array([0.4, 0.4, 0.2])]",[0.0747140499902616]
100,[800],"[array([0.3, 0.4, 0.3])]",[0.07462655368192228]
34,[700],"[array([0.3, 0.4, 0.3])]",[0.07455781071422672]
116,[800],"[array([0.5, 0.5, 0. ])]",[0.07447506187247611]
50,[700],"[array([0.5, 0.5, 0. ])]",[0.07443127115648306]
43,[700],"[array([0.4, 0.5, 0.1])]",[0.0743702933415425]
109,[800],"[array([0.4, 0.5, 0.1])]",[0.07418338850837664]
24,[700],"[array([0.2, 0.3, 0.5])]",[0.0740305543452298]
35,[700],"[array([0.3, 0.5, 0.2])]",[0.07384360942767809]
90,[800],"[array([0.2, 0.3, 0.5])]",[0.0738218950478993]
25,[700],"[array([0.2, 0.4, 0.4])]",[0.07364779558927446]
44,[700],"[array([0.4, 0.6, 0. ])]",[0.07361501622103726]
91,[800],"[array([0.2, 0.4, 0.4])]",[0.07352074002857459]
115,[800],"[array([0.5, 0.4, 0.1])]",[0.07350687236214112]
49,[700],"[array([0.5, 0.4, 0.1])]",[0.07350364128229413]
101,[800],"[array([0.3, 0.5, 0.2])]",[0.07347892483255737]
110,[800],"[array([0.4, 0.6, 0. ])]",[0.0734715335780439]
33,[700],"[array([0.3, 0.3, 0.4])]",[0.07337869775117237]
99,[800],"[array([0.3, 0.3, 0.4])]",[0.07318956589634713]
55,[700],"[array([0.6, 0.4, 0. ])]",[0.07239761662919435]
121,[800],"[array([0.6, 0.4, 0. ])]",[0.07227646599955555]
14,[700],"[array([0.1, 0.3, 0.6])]",[0.07215889526742797]
41,[700],"[array([0.4, 0.3, 0.3])]",[0.07205215717350377]
107,[800],"[array([0.4, 0.3, 0.3])]",[0.07193706861128488]
80,[800],"[array([0.1, 0.3, 0.6])]",[0.07182502248177292]
13,[700],"[array([0.1, 0.2, 0.7])]",[0.0716572076145812]
79,[800],"[array([0.1, 0.2, 0.7])]",[0.07159151122721313]
114,[800],"[array([0.5, 0.3, 0.2])]",[0.07158128141363193]
26,[700],"[array([0.2, 0.5, 0.3])]",[0.07156244269881393]
23,[700],"[array([0.2, 0.2, 0.6])]",[0.07151014582565866]
48,[700],"[array([0.5, 0.3, 0.2])]",[0.0714842118683808]
89,[800],"[array([0.2, 0.2, 0.6])]",[0.07145542732671921]
36,[700],"[array([0.3, 0.6, 0.1])]",[0.07135243046995865]
120,[800],"[array([0.6, 0.3, 0.1])]",[0.07118840374422902]
102,[800],"[array([0.3, 0.6, 0.1])]",[0.07109674962731526]
92,[800],"[array([0.2, 0.5, 0.3])]",[0.07106170267981478]
54,[700],"[array([0.6, 0.3, 0.1])]",[0.07103921790041277]
98,[800],"[array([0.3, 0.2, 0.5])]",[0.07071639999861033]
125,[800],"[array([0.7, 0.3, 0. ])]",[0.07059672817660181]
32,[700],"[array([0.3, 0.2, 0.5])]",[0.07050468187294541]
59,[700],"[array([0.7, 0.3, 0. ])]",[0.07040432398841598]
106,[800],"[array([0.4, 0.2, 0.4])]",[0.07024687023900494]
40,[700],"[array([0.4, 0.2, 0.4])]",[0.07007305340313533]
37,[700],"[array([0.3, 0.7, 0. ])]",[0.06959084472965821]
47,[700],"[array([0.5, 0.2, 0.3])]",[0.06958434123294133]
113,[800],"[array([0.5, 0.2, 0.3])]",[0.06949144514030933]
15,[700],"[array([0.1, 0.4, 0.5])]",[0.0694205896419809]
81,[800],"[array([0.1, 0.4, 0.5])]",[0.06938477271240295]
103,[800],"[array([0.3, 0.7, 0. ])]",[0.0690959978112589]
53,[700],"[array([0.6, 0.2, 0.2])]",[0.06900628653441225]
119,[800],"[array([0.6, 0.2, 0.2])]",[0.06893531570996594]
124,[800],"[array([0.7, 0.2, 0.1])]",[0.06844436638567061]
58,[700],"[array([0.7, 0.2, 0.1])]",[0.0683180460115747]
128,[800],"[array([0.8, 0.2, 0. ])]",[0.06827261010991449]
62,[700],"[array([0.8, 0.2, 0. ])]",[0.06820647251594056]
27,[700],"[array([0.2, 0.6, 0.2])]",[0.06819228787666021]
93,[800],"[array([0.2, 0.6, 0.2])]",[0.0681358908997443]
12,[700],"[array([0.1, 0.1, 0.8])]",[0.0670812723835105]
88,[800],"[array([0.2, 0.1, 0.7])]",[0.06704281369806368]
22,[700],"[array([0.2, 0.1, 0.7])]",[0.06703842356707096]
78,[800],"[array([0.1, 0.1, 0.8])]",[0.0669553888457089]
97,[800],"[array([0.3, 0.1, 0.6])]",[0.06672033528873862]
39,[700],"[array([0.4, 0.1, 0.5])]",[0.06671027026652063]
123,[800],"[array([0.7, 0.1, 0.2])]",[0.06670999115114916]
105,[800],"[array([0.4, 0.1, 0.5])]",[0.06669090026657445]
46,[700],"[array([0.5, 0.1, 0.4])]",[0.06668067404388599]
112,[800],"[array([0.5, 0.1, 0.4])]",[0.06662727738323607]
118,[800],"[array([0.6, 0.1, 0.3])]",[0.0666244688874574]
31,[700],"[array([0.3, 0.1, 0.6])]",[0.0665963703176816]
52,[700],"[array([0.6, 0.1, 0.3])]",[0.06657389931728719]
57,[700],"[array([0.7, 0.1, 0.2])]",[0.06647470613468806]
127,[800],"[array([0.8, 0.1, 0.1])]",[0.06633444332564471]
61,[700],"[array([0.8, 0.1, 0.1])]",[0.06629584865948684]
64,[700],"[array([0.9, 0.1, 0. ])]",[0.06626921536886116]
68,[800],"[array([0. , 0.2, 0.8])]",[0.06621715173672485]
130,[800],"[array([0.9, 0.1, 0. ])]",[0.06619465690839023]
2,[700],"[array([0. , 0.2, 0.8])]",[0.06593912437797365]
28,[700],"[array([0.2, 0.7, 0.1])]",[0.06422637096727134]
