,Unnamed: 0,topK,weights,MAP
0,108.0,[800],"[array([0.4, 0.4, 0.2])]",[0.07486255562432244]
1,42.0,[700],"[array([0.4, 0.4, 0.2])]",[0.0747140499902616]
2,100.0,[800],"[array([0.3, 0.4, 0.3])]",[0.07462655368192228]
3,34.0,[700],"[array([0.3, 0.4, 0.3])]",[0.07455781071422672]
4,116.0,[800],"[array([0.5, 0.5, 0. ])]",[0.07447506187247611]
5,50.0,[700],"[array([0.5, 0.5, 0. ])]",[0.07443127115648306]
6,43.0,[700],"[array([0.4, 0.5, 0.1])]",[0.0743702933415425]
7,109.0,[800],"[array([0.4, 0.5, 0.1])]",[0.07418338850837664]
8,24.0,[700],"[array([0.2, 0.3, 0.5])]",[0.0740305543452298]
9,35.0,[700],"[array([0.3, 0.5, 0.2])]",[0.07384360942767809]
10,90.0,[800],"[array([0.2, 0.3, 0.5])]",[0.0738218950478993]
11,25.0,[700],"[array([0.2, 0.4, 0.4])]",[0.07364779558927446]
12,44.0,[700],"[array([0.4, 0.6, 0. ])]",[0.07361501622103726]
13,91.0,[800],"[array([0.2, 0.4, 0.4])]",[0.07352074002857459]
14,115.0,[800],"[array([0.5, 0.4, 0.1])]",[0.07350687236214112]
15,49.0,[700],"[array([0.5, 0.4, 0.1])]",[0.07350364128229413]
16,101.0,[800],"[array([0.3, 0.5, 0.2])]",[0.07347892483255737]
17,110.0,[800],"[array([0.4, 0.6, 0. ])]",[0.0734715335780439]
18,33.0,[700],"[array([0.3, 0.3, 0.4])]",[0.07337869775117237]
19,99.0,[800],"[array([0.3, 0.3, 0.4])]",[0.07318956589634713]
20,55.0,[700],"[array([0.6, 0.4, 0. ])]",[0.07239761662919435]
21,121.0,[800],"[array([0.6, 0.4, 0. ])]",[0.07227646599955555]
22,14.0,[700],"[array([0.1, 0.3, 0.6])]",[0.07215889526742797]
23,41.0,[700],"[array([0.4, 0.3, 0.3])]",[0.07205215717350377]
24,107.0,[800],"[array([0.4, 0.3, 0.3])]",[0.07193706861128488]
25,80.0,[800],"[array([0.1, 0.3, 0.6])]",[0.07182502248177292]
26,13.0,[700],"[array([0.1, 0.2, 0.7])]",[0.0716572076145812]
27,79.0,[800],"[array([0.1, 0.2, 0.7])]",[0.07159151122721313]
28,114.0,[800],"[array([0.5, 0.3, 0.2])]",[0.07158128141363193]
29,26.0,[700],"[array([0.2, 0.5, 0.3])]",[0.07156244269881393]
30,23.0,[700],"[array([0.2, 0.2, 0.6])]",[0.07151014582565866]
31,48.0,[700],"[array([0.5, 0.3, 0.2])]",[0.0714842118683808]
32,89.0,[800],"[array([0.2, 0.2, 0.6])]",[0.07145542732671921]
33,36.0,[700],"[array([0.3, 0.6, 0.1])]",[0.07135243046995865]
34,120.0,[800],"[array([0.6, 0.3, 0.1])]",[0.07118840374422902]
35,102.0,[800],"[array([0.3, 0.6, 0.1])]",[0.07109674962731526]
36,92.0,[800],"[array([0.2, 0.5, 0.3])]",[0.07106170267981478]
37,54.0,[700],"[array([0.6, 0.3, 0.1])]",[0.07103921790041277]
38,98.0,[800],"[array([0.3, 0.2, 0.5])]",[0.07071639999861033]
39,125.0,[800],"[array([0.7, 0.3, 0. ])]",[0.07059672817660181]
40,32.0,[700],"[array([0.3, 0.2, 0.5])]",[0.07050468187294541]
41,59.0,[700],"[array([0.7, 0.3, 0. ])]",[0.07040432398841598]
42,106.0,[800],"[array([0.4, 0.2, 0.4])]",[0.07024687023900494]
43,40.0,[700],"[array([0.4, 0.2, 0.4])]",[0.07007305340313533]
44,37.0,[700],"[array([0.3, 0.7, 0. ])]",[0.06959084472965821]
45,47.0,[700],"[array([0.5, 0.2, 0.3])]",[0.06958434123294133]
46,113.0,[800],"[array([0.5, 0.2, 0.3])]",[0.06949144514030933]
47,15.0,[700],"[array([0.1, 0.4, 0.5])]",[0.0694205896419809]
48,81.0,[800],"[array([0.1, 0.4, 0.5])]",[0.06938477271240295]
49,103.0,[800],"[array([0.3, 0.7, 0. ])]",[0.0690959978112589]
50,53.0,[700],"[array([0.6, 0.2, 0.2])]",[0.06900628653441225]
51,119.0,[800],"[array([0.6, 0.2, 0.2])]",[0.06893531570996594]
52,124.0,[800],"[array([0.7, 0.2, 0.1])]",[0.06844436638567061]
53,58.0,[700],"[array([0.7, 0.2, 0.1])]",[0.0683180460115747]
54,128.0,[800],"[array([0.8, 0.2, 0. ])]",[0.06827261010991449]
55,62.0,[700],"[array([0.8, 0.2, 0. ])]",[0.06820647251594056]
56,27.0,[700],"[array([0.2, 0.6, 0.2])]",[0.06819228787666021]
57,93.0,[800],"[array([0.2, 0.6, 0.2])]",[0.0681358908997443]
58,12.0,[700],"[array([0.1, 0.1, 0.8])]",[0.0670812723835105]
59,88.0,[800],"[array([0.2, 0.1, 0.7])]",[0.06704281369806368]
60,22.0,[700],"[array([0.2, 0.1, 0.7])]",[0.06703842356707096]
61,78.0,[800],"[array([0.1, 0.1, 0.8])]",[0.0669553888457089]
62,97.0,[800],"[array([0.3, 0.1, 0.6])]",[0.06672033528873862]
63,39.0,[700],"[array([0.4, 0.1, 0.5])]",[0.06671027026652063]
64,123.0,[800],"[array([0.7, 0.1, 0.2])]",[0.06670999115114916]
65,105.0,[800],"[array([0.4, 0.1, 0.5])]",[0.06669090026657445]
66,46.0,[700],"[array([0.5, 0.1, 0.4])]",[0.06668067404388599]
67,112.0,[800],"[array([0.5, 0.1, 0.4])]",[0.06662727738323607]
68,118.0,[800],"[array([0.6, 0.1, 0.3])]",[0.0666244688874574]
69,31.0,[700],"[array([0.3, 0.1, 0.6])]",[0.0665963703176816]
70,52.0,[700],"[array([0.6, 0.1, 0.3])]",[0.06657389931728719]
71,57.0,[700],"[array([0.7, 0.1, 0.2])]",[0.06647470613468806]
72,127.0,[800],"[array([0.8, 0.1, 0.1])]",[0.06633444332564471]
73,61.0,[700],"[array([0.8, 0.1, 0.1])]",[0.06629584865948684]
74,64.0,[700],"[array([0.9, 0.1, 0. ])]",[0.06626921536886116]
75,68.0,[800],"[array([0. , 0.2, 0.8])]",[0.06621715173672485]
76,130.0,[800],"[array([0.9, 0.1, 0. ])]",[0.06619465690839023]
77,2.0,[700],"[array([0. , 0.2, 0.8])]",[0.06593912437797365]
78,28.0,[700],"[array([0.2, 0.7, 0.1])]",[0.06422637096727134]
79,16.0,[700],"[array([0.1, 0.5, 0.4])]",[0.06410307028356091]
80,94.0,[800],"[array([0.2, 0.7, 0.1])]",[0.06374463556790858]
81,82.0,[800],"[array([0.1, 0.5, 0.4])]",[0.06361612455430062]
82,67.0,[800],"[array([0. , 0.1, 0.9])]",[0.0635824761343135]
83,1.0,[700],"[array([0. , 0.1, 0.9])]",[0.0635296219211796]
84,122.0,[800],"[array([0.7, 0. , 0.3])]",[0.062467641183775555]
85,126.0,[800],"[array([0.8, 0. , 0.2])]",[0.06243490109266908]
86,51.0,[700],"[array([0.6, 0. , 0.4])]",[0.06237389043080144]
87,117.0,[800],"[array([0.6, 0. , 0.4])]",[0.062296502875631425]
88,45.0,[700],"[array([0.5, 0. , 0.5])]",[0.06225594351784925]
89,60.0,[700],"[array([0.8, 0. , 0.2])]",[0.062238468757762025]
90,65.0,[700],"[array([1., 0., 0.])]",[0.06220845782875435]
91,56.0,[700],"[array([0.7, 0. , 0.3])]",[0.06216381387207447]
92,111.0,[800],"[array([0.5, 0. , 0.5])]",[0.06215499566910476]
93,131.0,[800],"[array([1., 0., 0.])]",[0.06203203400465323]
94,129.0,[800],"[array([0.9, 0. , 0.1])]",[0.06194045073132395]
95,63.0,[700],"[array([0.9, 0. , 0.1])]",[0.061927064996118664]
96,38.0,[700],"[array([0.4, 0. , 0.6])]",[0.061731182374022496]
97,104.0,[800],"[array([0.4, 0. , 0.6])]",[0.06149391176081654]
98,3.0,[700],"[array([0. , 0.3, 0.7])]",[0.06132959272527186]
99,69.0,[800],"[array([0. , 0.3, 0.7])]",[0.06097082845472948]
100,30.0,[700],"[array([0.3, 0. , 0.7])]",[0.060572664796150956]
101,96.0,[800],"[array([0.3, 0. , 0.7])]",[0.060115715019926456]
102,29.0,[700],"[array([0.2, 0.8, 0. ])]",[0.05992465293491402]
103,21.0,[700],"[array([0.2, 0. , 0.8])]",[0.05990639984183586]
104,87.0,[800],"[array([0.2, 0. , 0.8])]",[0.05984903151447751]
105,95.0,[800],"[array([0.2, 0.8, 0. ])]",[0.05964311462936208]
106,17.0,[700],"[array([0.1, 0.6, 0.3])]",[0.05894398702036404]
107,83.0,[800],"[array([0.1, 0.6, 0.3])]",[0.05855314811518974]
108,11.0,[700],"[array([0.1, 0. , 0.9])]",[0.05758214253758112]
109,77.0,[800],"[array([0.1, 0. , 0.9])]",[0.05737987739567102]
110,4.0,[700],"[array([0. , 0.4, 0.6])]",[0.05560612565461697]
111,70.0,[800],"[array([0. , 0.4, 0.6])]",[0.05532539602370907]
112,18.0,[700],"[array([0.1, 0.7, 0.2])]",[0.05347849473266672]
113,84.0,[800],"[array([0.1, 0.7, 0.2])]",[0.05288923603080316]
114,0.0,[700],"[array([0., 0., 1.])]",[0.05112844092717319]
115,132.0,[900],"[array([0., 0., 1.])]",[0.051072956092721895]
116,66.0,[800],"[array([0., 0., 1.])]",[0.051060027486531274]
117,5.0,[700],"[array([0. , 0.5, 0.5])]",[0.0494521037632868]
118,71.0,[800],"[array([0. , 0.5, 0.5])]",[0.049299625627426354]
119,19.0,[700],"[array([0.1, 0.8, 0.1])]",[0.04861447316112093]
120,85.0,[800],"[array([0.1, 0.8, 0.1])]",[0.04818478833863264]
121,20.0,[700],"[array([0.1, 0.9, 0. ])]",[0.04517003395548302]
122,86.0,[800],"[array([0.1, 0.9, 0. ])]",[0.04515688032000514]
123,6.0,[700],"[array([0. , 0.6, 0.4])]",[0.04420582808149932]
124,72.0,[800],"[array([0. , 0.6, 0.4])]",[0.04407606340089371]
125,7.0,[700],"[array([0. , 0.7, 0.3])]",[0.04083108549006245]
126,73.0,[800],"[array([0. , 0.7, 0.3])]",[0.04075214458143945]
127,8.0,[700],"[array([0. , 0.8, 0.2])]",[0.03807472889148449]
128,74.0,[800],"[array([0. , 0.8, 0.2])]",[0.038018425138601694]
129,9.0,[700],"[array([0. , 0.9, 0.1])]",[0.03624273464942833]
130,75.0,[800],"[array([0. , 0.9, 0.1])]",[0.03613739140861557]
131,10.0,[700],"[array([0., 1., 0.])]",[0.03491542495261016]
132,76.0,[800],"[array([0., 1., 0.])]",[0.034758391504684495]
133,,[900],"[array([0., 0., 1.])]",[0.051072956092721895]
134,,[900],"[array([0. , 0.1, 0.9])]",[0.06355298889110235]
135,,[900],"[array([0. , 0.2, 0.8])]",[0.06625674172044747]
136,,[900],"[array([0. , 0.3, 0.7])]",[0.06133188619236765]
137,,[900],"[array([0. , 0.4, 0.6])]",[0.055198453924089785]
138,,[900],"[array([0. , 0.5, 0.5])]",[0.04916118740951222]
139,,[900],"[array([0. , 0.6, 0.4])]",[0.0438897675720259]
140,,[900],"[array([0. , 0.7, 0.3])]",[0.04077504136708591]
141,,[900],"[array([0. , 0.8, 0.2])]",[0.03791401038020787]
142,,[900],"[array([0. , 0.9, 0.1])]",[0.03601598273574412]
143,,[900],"[array([0., 1., 0.])]",[0.03481569850850002]
144,,[900],"[array([0.1, 0. , 0.9])]",[0.057219200583290046]
145,,[900],"[array([0.1, 0.1, 0.8])]",[0.06704973039798924]
146,,[900],"[array([0.1, 0.2, 0.7])]",[0.0712552862675392]
147,,[900],"[array([0.1, 0.3, 0.6])]",[0.07174028069447333]
148,,[900],"[array([0.1, 0.4, 0.5])]",[0.06954378964150874]
149,,[900],"[array([0.1, 0.5, 0.4])]",[0.06374458983273812]
