user_id,item_list
0,25878 1447 13219 5161 1560 2607 13884 1256 6915 4518
1,19089 23600 12409 19709 6198 20095 12119 3165 16630 8431
2,14353 19515 2824 5566 5451 25653 11764 19881 3164 975
3,22487 12473 16857 16086 3942 1651 20905 9087 12462 2074
4,1611 9243 11384 13427 17733 19704 9295 20799 14715 25804
5,8097 16172 17819 14706 19152 9301 8322 21538 15150 7013
6,25044 24383 23906 14020 4824 4774 10745 3382 1282 1246
7,14682 17332 3850 12181 13840 8499 4314 8104 11300 24134
8,25407 2426 6878 15691 10834 14059 10594 6734 13629 15499
9,19792 17092 15782 9609 3699 25779 5741 10132 10263 20959
10,3556 12906 12375 23361 22923 17557 20168 18751 16921 23919
11,3220 22956 4661 7856 15586 12951 20876 3935 16175 21262
12,19291 2823 2281 5447 1592 6235 10380 20211 16212 7820
13,20969 11533 4213 23154 10594 25133 13293 11924 23880 3382
14,3641 20644 18499 21541 18500 11848 16999 25649 19103 20918
15,12643 24546 22817 5709 5076 25766 12903 4025 9976 13810
16,7913 21416 886 25585 17514 8400 12684 4502 921 17305
17,19089 17723 20146 9438 16630 19480 12409 2665 25675 5942
18,18793 5032 20300 12048 7267 13609 18649 4936 10847 7448
19,2426 6327 9555 15691 23154 10834 10981 10594 12818 1583
20,8606 23465 15398 6893 25517 14132 24785 13616 1630 7197
21,23778 18788 3875 16803 24366 18901 19198 4224 4919 2646
22,9487 1668 6616 11597 17899 23206 1418 7331 9824 14583
23,988 6200 17836 11293 16496 6454 23562 16577 17143 21806
24,13797 4095 8935 14291 9069 11179 19480 9025 3368 11730
25,7405 12844 7115 983 10640 12385 18574 290 25674 16295
26,16245 23056 5633 20496 4055 23711 21975 15463 867 12983
27,57 17820 8158 21527 11706 5562 5044 22270 23628 24484
28,23835 6551 8742 2233 9220 3687 8678 8673 4411 3123
29,5193 23770 14684 16538 12356 5765 7852 13485 5078 24914
30,8544 21552 24621 3835 11384 9243 4966 19781 20109 22511
31,2001 13226 23651 16793 19340 13593 23468 23593 13081 22226
