,topK,weights,MAP
314,[1100],"[array([0.5, 0.5, 0. ])]",[0.07462100121509127]
380,[1150],"[array([0.5, 0.5, 0. ])]",[0.07461995217331518]
446,[1200],"[array([0.5, 0.5, 0. ])]",[0.07461995217331518]
182,[1000],"[array([0.5, 0.5, 0. ])]",[0.07448375289103056]
34,[900],"[array([0.3, 0.4, 0.3])]",[0.07448234411972954]
306,[1100],"[array([0.4, 0.4, 0.2])]",[0.07447408141953774]
372,[1150],"[array([0.4, 0.4, 0.2])]",[0.07446393773171278]
438,[1200],"[array([0.4, 0.4, 0.2])]",[0.0744609915293676]
240,[1050],"[array([0.4, 0.4, 0.2])]",[0.07444552196283612]
248,[1050],"[array([0.5, 0.5, 0. ])]",[0.07444108979891126]
364,[1150],"[array([0.3, 0.4, 0.3])]",[0.07439320460210595]
430,[1200],"[array([0.3, 0.4, 0.3])]",[0.07438753666997525]
42,[900],"[array([0.4, 0.4, 0.2])]",[0.07437213296431637]
298,[1100],"[array([0.3, 0.4, 0.3])]",[0.07436471668489822]
166,[1000],"[array([0.3, 0.4, 0.3])]",[0.07434701439024974]
232,[1050],"[array([0.3, 0.4, 0.3])]",[0.07434422827491974]
50,[900],"[array([0.5, 0.5, 0. ])]",[0.0743352611194864]
100,[950],"[array([0.3, 0.4, 0.3])]",[0.07432403651723143]
174,[1000],"[array([0.4, 0.4, 0.2])]",[0.07432127339475059]
108,[950],"[array([0.4, 0.4, 0.2])]",[0.07431899643462744]
116,[950],"[array([0.5, 0.5, 0. ])]",[0.07429851801790903]
373,[1150],"[array([0.4, 0.5, 0.1])]",[0.07402748034606893]
439,[1200],"[array([0.4, 0.5, 0.1])]",[0.07402748034606893]
43,[900],"[array([0.4, 0.5, 0.1])]",[0.0740201428714395]
307,[1100],"[array([0.4, 0.5, 0.1])]",[0.07398544117854676]
109,[950],"[array([0.4, 0.5, 0.1])]",[0.07395657630109563]
241,[1050],"[array([0.4, 0.5, 0.1])]",[0.07388921777570574]
24,[900],"[array([0.2, 0.3, 0.5])]",[0.07386756110074029]
175,[1000],"[array([0.4, 0.5, 0.1])]",[0.07386665616789782]
90,[950],"[array([0.2, 0.3, 0.5])]",[0.07382200099315735]
156,[1000],"[array([0.2, 0.3, 0.5])]",[0.07373019814647117]
354,[1150],"[array([0.2, 0.3, 0.5])]",[0.07372967947122273]
420,[1200],"[array([0.2, 0.3, 0.5])]",[0.07371684244671874]
379,[1150],"[array([0.5, 0.4, 0.1])]",[0.07370330113399162]
445,[1200],"[array([0.5, 0.4, 0.1])]",[0.07370330113399162]
222,[1050],"[array([0.2, 0.3, 0.5])]",[0.07369370097930156]
288,[1100],"[array([0.2, 0.3, 0.5])]",[0.07369331500007138]
313,[1100],"[array([0.5, 0.4, 0.1])]",[0.07368037420154674]
421,[1200],"[array([0.2, 0.4, 0.4])]",[0.07360248436675541]
247,[1050],"[array([0.5, 0.4, 0.1])]",[0.07359931881374436]
355,[1150],"[array([0.2, 0.4, 0.4])]",[0.07358788989246813]
181,[1000],"[array([0.5, 0.4, 0.1])]",[0.07357016343584283]
289,[1100],"[array([0.2, 0.4, 0.4])]",[0.07356169140608125]
365,[1150],"[array([0.3, 0.5, 0.2])]",[0.0735001512962867]
431,[1200],"[array([0.3, 0.5, 0.2])]",[0.07349242102251437]
429,[1200],"[array([0.3, 0.3, 0.4])]",[0.07349162721249655]
363,[1150],"[array([0.3, 0.3, 0.4])]",[0.07349014409022754]
223,[1050],"[array([0.2, 0.4, 0.4])]",[0.07348135703616572]
299,[1100],"[array([0.3, 0.5, 0.2])]",[0.07347653641557315]
374,[1150],"[array([0.4, 0.6, 0. ])]",[0.0734640488768064]
440,[1200],"[array([0.4, 0.6, 0. ])]",[0.07345968969986712]
99,[950],"[array([0.3, 0.3, 0.4])]",[0.07343176883753441]
297,[1100],"[array([0.3, 0.3, 0.4])]",[0.07342887894818385]
308,[1100],"[array([0.4, 0.6, 0. ])]",[0.07341941658356936]
242,[1050],"[array([0.4, 0.6, 0. ])]",[0.07340414315216379]
44,[900],"[array([0.4, 0.6, 0. ])]",[0.07340410949798172]
233,[1050],"[array([0.3, 0.5, 0.2])]",[0.07339475992637472]
33,[900],"[array([0.3, 0.3, 0.4])]",[0.07339368594320302]
157,[1000],"[array([0.2, 0.4, 0.4])]",[0.07339049494774161]
91,[950],"[array([0.2, 0.4, 0.4])]",[0.07338174811724735]
165,[1000],"[array([0.3, 0.3, 0.4])]",[0.07336965947379079]
231,[1050],"[array([0.3, 0.3, 0.4])]",[0.07336008556880601]
35,[900],"[array([0.3, 0.5, 0.2])]",[0.07335303926270025]
49,[900],"[array([0.5, 0.4, 0.1])]",[0.07334539709106713]
167,[1000],"[array([0.3, 0.5, 0.2])]",[0.07334459818699206]
176,[1000],"[array([0.4, 0.6, 0. ])]",[0.07333821327324944]
115,[950],"[array([0.5, 0.4, 0.1])]",[0.07332293733656972]
25,[900],"[array([0.2, 0.4, 0.4])]",[0.07330339152205427]
110,[950],"[array([0.4, 0.6, 0. ])]",[0.07326528524516467]
101,[950],"[array([0.3, 0.5, 0.2])]",[0.0731930154639324]
253,[1050],"[array([0.6, 0.4, 0. ])]",[0.07262542111987483]
385,[1150],"[array([0.6, 0.4, 0. ])]",[0.07261301366637041]
451,[1200],"[array([0.6, 0.4, 0. ])]",[0.07261301366637041]
319,[1100],"[array([0.6, 0.4, 0. ])]",[0.07258963444844084]
187,[1000],"[array([0.6, 0.4, 0. ])]",[0.072547227924226]
121,[950],"[array([0.6, 0.4, 0. ])]",[0.07241226154300026]
55,[900],"[array([0.6, 0.4, 0. ])]",[0.07239510475786956]
305,[1100],"[array([0.4, 0.3, 0.3])]",[0.07232322927894456]
41,[900],"[array([0.4, 0.3, 0.3])]",[0.07231303328656363]
239,[1050],"[array([0.4, 0.3, 0.3])]",[0.07230912258152516]
371,[1150],"[array([0.4, 0.3, 0.3])]",[0.07226701215287298]
437,[1200],"[array([0.4, 0.3, 0.3])]",[0.072266696488336]
173,[1000],"[array([0.4, 0.3, 0.3])]",[0.07225611972212782]
