,topK,weights,MAP
847,[1300],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
979,[1400],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
1111,[1500],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
781,[1250],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
649,[1150],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
583,[1100],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
913,[1350],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
1045,[1450],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
517,[1050],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
451,[1000],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
715,[1200],"[array([0.6, 0.4, 0. ])]",[0.07520484562990885]
385,[950],"[array([0.6, 0.4, 0. ])]",[0.07518622609873848]
907,[1350],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
577,[1100],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
511,[1050],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
841,[1300],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
775,[1250],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
973,[1400],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
1105,[1500],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
1039,[1450],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
709,[1200],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
643,[1150],"[array([0.5, 0.4, 0.1])]",[0.07514634102156285]
445,[1000],"[array([0.5, 0.4, 0.1])]",[0.07514516254062478]
379,[950],"[array([0.5, 0.4, 0.1])]",[0.07510858236537318]
115,[750],"[array([0.5, 0.4, 0.1])]",[0.07507845616592033]
313,[900],"[array([0.5, 0.4, 0.1])]",[0.07505005690757943]
319,[900],"[array([0.6, 0.4, 0. ])]",[0.07503471689155551]
181,[800],"[array([0.5, 0.4, 0.1])]",[0.07498201138035775]
247,[850],"[array([0.5, 0.4, 0.1])]",[0.07493302261031018]
49,[700],"[array([0.5, 0.4, 0.1])]",[0.07490761851850493]
253,[850],"[array([0.6, 0.4, 0. ])]",[0.07489796088169241]
55,[700],"[array([0.6, 0.4, 0. ])]",[0.07487371347494072]
1031,[1450],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
833,[1300],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
899,[1350],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
701,[1200],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
569,[1100],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
767,[1250],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
503,[1050],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
1097,[1500],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
635,[1150],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
965,[1400],"[array([0.4, 0.3, 0.3])]",[0.07486690246974596]
187,[800],"[array([0.6, 0.4, 0. ])]",[0.0748657407184715]
437,[1000],"[array([0.4, 0.3, 0.3])]",[0.07486367918408499]
371,[950],"[array([0.4, 0.3, 0.3])]",[0.07483905183859729]
834,[1300],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
900,[1350],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
1032,[1450],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
1098,[1500],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
768,[1250],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
702,[1200],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
570,[1100],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
966,[1400],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
636,[1150],"[array([0.4, 0.4, 0.2])]",[0.07483069524629919]
504,[1050],"[array([0.4, 0.4, 0.2])]",[0.0748295167653611]
438,[1000],"[array([0.4, 0.4, 0.2])]",[0.07482576386475476]
121,[750],"[array([0.6, 0.4, 0. ])]",[0.07482383755949679]
41,[700],"[array([0.4, 0.3, 0.3])]",[0.07481882033055984]
48,[700],"[array([0.5, 0.3, 0.2])]",[0.07480211755676933]
173,[800],"[array([0.4, 0.3, 0.3])]",[0.07476241909467811]
305,[900],"[array([0.4, 0.3, 0.3])]",[0.0747585307700883]
372,[950],"[array([0.4, 0.4, 0.2])]",[0.07475150628770355]
906,[1350],"[array([0.5, 0.3, 0.2])]",[0.07473596612811499]
972,[1400],"[array([0.5, 0.3, 0.2])]",[0.07473596612811499]
1038,[1450],"[array([0.5, 0.3, 0.2])]",[0.07473596612811499]
444,[1000],"[array([0.5, 0.3, 0.2])]",[0.07473596612811499]
708,[1200],"[array([0.5, 0.3, 0.2])]",[0.07473596612811499]
576,[1100],"[array([0.5, 0.3, 0.2])]",[0.07473596612811499]
