,topK,alpha,MAP
404,[1100],[50],[0.07462100121509127]
409,[1350],[50],[0.07461995217331518]
405,[1150],[50],[0.07461995217331518]
406,[1200],[50],[0.07461995217331518]
408,[1300],[50],[0.07461995217331518]
407,[1250],[50],[0.07461995217331518]
412,[1500],[50],[0.07461995217331518]
411,[1450],[50],[0.07461995217331518]
410,[1400],[50],[0.07461995217331518]
402,[1000],[50],[0.07448375289103056]
403,[1050],[50],[0.07444108979891126]
204,[750],[50],[0.07436217561321196]
207,[900],[50],[0.0743352611194864]
205,[800],[50],[0.07432679078774405]
208,[950],[50],[0.07429851801790903]
203,[700],[50],[0.07429770360897091]
206,[850],[50],[0.07423855322447025]
396,[1250],[45],[0.07411321394354937]
401,[1500],[45],[0.07411321394354937]
400,[1450],[45],[0.07411321394354937]
398,[1350],[45],[0.07411321394354937]
397,[1300],[45],[0.07411321394354937]
395,[1200],[45],[0.07411321394354937]
394,[1150],[45],[0.07411321394354937]
399,[1400],[45],[0.07411321394354937]
393,[1100],[45],[0.07410041232691937]
200,[550],[50],[0.0740943270161231]
201,[600],[50],[0.07403390169763156]
416,[1150],[55],[0.07402711752670607]
417,[1200],[55],[0.07402711752670607]
418,[1250],[55],[0.07402711752670607]
419,[1300],[55],[0.07402711752670607]
420,[1350],[55],[0.07402711752670607]
421,[1400],[55],[0.07402711752670607]
422,[1450],[55],[0.07402711752670607]
423,[1500],[55],[0.07402711752670607]
391,[1000],[45],[0.07402516842345376]
392,[1050],[45],[0.07401635002562935]
415,[1100],[55],[0.07396636295952458]
188,[900],[45],[0.07396257665526339]
199,[500],[50],[0.07395785374036079]
202,[650],[50],[0.07395581277705814]
187,[850],[45],[0.07395417349270332]
414,[1050],[55],[0.07394299699171135]
185,[750],[45],[0.07391259755036282]
189,[950],[45],[0.07390967912872388]
186,[800],[45],[0.07390901164019362]
197,[400],[50],[0.07384728956398996]
184,[700],[45],[0.0738266433217429]
413,[1000],[55],[0.07380914103147722]
196,[350],[50],[0.07380847432236551]
198,[450],[50],[0.07380826953012587]
227,[950],[55],[0.07374725575058386]
226,[900],[55],[0.07370940197748739]
183,[650],[45],[0.07368860146602824]
195,[300],[50],[0.07368704627537442]
222,[700],[55],[0.07365911678376423]
225,[850],[55],[0.07359154330585627]
224,[800],[55],[0.07359080079828488]
220,[600],[55],[0.07358465956420342]
383,[1150],[40],[0.0734640488768064]
390,[1500],[40],[0.07345968969986712]
385,[1250],[40],[0.07345968969986712]
386,[1300],[40],[0.07345968969986712]
387,[1350],[40],[0.07345968969986712]
384,[1200],[40],[0.07345968969986712]
388,[1400],[40],[0.07345968969986712]
389,[1450],[40],[0.07345968969986712]
223,[750],[55],[0.07345260921068801]
219,[550],[55],[0.07343122538790883]
382,[1100],[40],[0.07341941658356936]
221,[650],[55],[0.07341823200646443]
381,[1050],[40],[0.07340414315216379]
169,[900],[40],[0.07340410949798172]
217,[450],[55],[0.07339783673700978]
166,[750],[40],[0.07339372101704056]
214,[300],[55],[0.07338840070560966]
167,[800],[40],[0.07338328591016471]
194,[250],[50],[0.07338127161411309]
168,[850],[40],[0.07337832248894802]
218,[500],[55],[0.07337633224352787]
182,[600],[45],[0.07334629523183299]
380,[1000],[40],[0.07333821327324944]
181,[550],[45],[0.07330766229065418]
216,[400],[55],[0.07329276103163478]
170,[950],[40],[0.07326528524516467]
215,[350],[55],[0.07325844281269808]
180,[500],[45],[0.0731757543480534]
193,[200],[50],[0.07311055344823009]
179,[450],[45],[0.07310452651032044]
165,[700],[40],[0.07301149805570682]
178,[400],[45],[0.07278520828158525]
192,[150],[50],[0.07266981585745426]
164,[650],[40],[0.07266638583100689]
425,[1050],[60],[0.07262542111987483]
432,[1400],[60],[0.07261301366637041]
431,[1350],[60],[0.07261301366637041]
429,[1250],[60],[0.07261301366637041]
428,[1200],[60],[0.07261301366637041]
