user_id,item_list
0,15830 11765 23568 19910 20108 11441 1045 5119 1017 23038
1,7103 6198 13 12119 23645 13571 9438 1628 19089 3823
2,2646 3248 5392 8877 16889 3344 17322 21749 2824 18165
3,24093 519 17820 24109 57 4803 24484 3825 1529 12157
4,1447 14271 15830 22588 14715 18317 13344 9162 21552 9243
5,8322 16172 16394 11233 14706 17819 16562 23086 4502 19152
6,4824 3382 6446 25044 25694 11295 22121 7063 11578 681
7,17225 6344 11567 17332 23198 21582 23810 17963 4093 429
8,9421 21596 2216 10834 11021 4878 1435 19237 23637 21701
9,14223 3236 25358 677 10269 4300 11674 5728 13477 13206
10,12563 3556 12906 13244 15562 4194 14951 24093 24567 10269
11,3220 21262 9010 11726 24559 22956 3980 1035 16099 12133
12,6235 6161 2281 14343 19007 10341 1551 21414 24199 3150
13,20969 681 11533 3737 6446 7564 19522 7095 1685 8990
14,20644 18499 3641 21541 895 6319 10592 15275 18404 44
15,16365 12643 22817 13810 19281 8703 7839 1760 5700 11702
16,25585 10834 18481 23647 23154 16772 10269 194 23282 17208
17,8812 24577 3432 9301 14333 24285 5549 17904 21799 4403
18,19190 18793 13783 23697 12316 20300 17385 7472 20221 5032
19,6327 10981 10834 23154 18392 10594 16772 1583 9555 2426
20,22617 2835 2078 20341 5078 25957 6441 14064 3038 10110
21,24366 18788 25189 3875 14223 2646 7601 5259 4224 23778
22,17368 17899 6616 22739 20231 11646 8369 256 9487 1668
23,10247 6734 21413 24068 2094 25675 6122 18368 6125 23444
24,13797 6781 6217 5717 11384 5279 2996 24495 11452 24748
25,12844 12385 2736 7405 983 7115 290 5998 10271 6496
26,25675 23473 4055 19131 15333 17705 18949 13764 12762 2046
27,20948 18987 24075 12119 13954 15778 12158 11003 21003 11519
28,17914 6869 13753 1443 24794 6083 8742 24705 616 22881
29,21286 6065 773 16538 6163 5078 8167 12339 3314 24566
30,22511 4966 14593 9243 8544 8277 14311 11553 17322 21552
31,21749 11240 5567 23568 14582 10269 13964 3731 6650 14945
32,7260 11533 21084 290 983 8990 25407 18454 2643 23154
33,17409 23138 15791 7763 35 10269 25675 13409 11256 8667
34,3966 20212 6418 10573 19007 19281 20889 9526 22313 13552
35,17806 24075 3701 11121 18404 13514 14517 22025 17013 18469
36,16928 20410 8886 6734 12818 7095 2426 11997 12578 16772
37,773 7053 6766 4545 20341 10789 25709 21551 21998 19524
38,25675 1151 1863 7266 7060 16975 17916 25846 8560 4209
39,7170 24075 4728 9546 1114 23816 11770 2220 15569 10269
40,267 8785 22468 3002 22445 7908 20209 14158 21943 20611
41,17225 9047 230 11089 6599 19616 141 14773 25803 9576
42,24070 18512 12182 17674 20553 5768 18930 18589 15736 23064
43,23854 17365 9970 8818 12696 13233 703 4720 3348 966
44,23324 17470 16473 5545 8622 15406 14413 12656 16480 8077
45,16948 6819 19487 3556 21049 15562 19089 18930 6827 16630
46,13730 4966 24908 25515 20150 1726 22280 13299 9012 4804
47,18852 16124 4032 21912 19281 7993 1586 574 4346 7839
48,13178 4781 11737 303 6450 1918 13369 1847 9650 21052
49,4302 9646 5787 12585 21369 748 12933 25707 11234 385
50,7727 7991 6327 8097 7494 23001 10908 12818 6523 4604
51,6628 8538 12923 19401 2471 7501 19114 6632 18340 24850
52,20626 13194 1646 19854 5010 13114 6253 19090 2259 19635
53,14396 11969 11115 23841 13703 16732 20045 8975 24383 14630
54,24075 17525 25675 5942 8538 9438 15081 22500 3803 18293
55,15562 23005 18131 16197 17668 24733 21260 10258 9435 17973
56,24075 25064 23711 462 8277 18295 5413 4625 10269 8645
57,21688 25656 11378 24075 14330 14517 10656 8097 18076 23136
58,5930 1259 10524 6412 14319 18022 18636 20404 25642 10951
59,8531 13673 2846 838 9005 8841 19668 10282 6544 19028
60,3572 15896 24199 8229 21952 17093 15644 7426 22891 5551
61,9090 14378 22378 10762 24075 24735 8204 3153 19756 16965
62,3118 20077 5530 8089 1355 1151 5803 12914 4481 22010
63,557 2760 14315 8654 14488 5905 13424 5032 974 3456
64,14996 17820 12898 18915 13159 1110 8064 14333 8587 17821
65,6325 3840 17761 10020 24794 2848 23069 1628 20998 3820
66,2533 21799 23711 7650 16444 5906 22558 16630 22807 13118
67,836 3630 15844 4465 12630 20866 5160 17668 4203 19874
68,6088 4502 13987 8819 20308 4249 9218 10142 10781 24863
69,13503 18020 3737 2118 3580 11533 8860 16455 2655 18397
70,15196 19653 420 19026 8893 14631 4128 13149 12367 5986
71,17565 11659 1638 17400 11280 25251 2459 19049 24320 16346
72,6781 1863 2996 4940 22645 21552 21464 14433 21859 7354
73,14940 11923 10857 15289 9008 1807 21052 5678 8712 23940
74,24855 5078 11697 4127 15099 9934 4927 9838 1205 16481
75,9512 9162 10530 22353 1398 1923 9749 19785 4940 15830
76,15196 25407 6327 15903 15820 13081 11820 10834 7035 3753
77,2680 23731 392 7408 21108 851 11951 22904 3489 14027
78,2996 20431 7343 19114 22509 21998 23927 24075 23711 10789
79,4113 3150 11268 10626 24985 8475 14104 5284 19007 2209
80,21652 25924 10754 1449 19175 17322 19571 22845 1689 10908
81,23955 12550 25693 207 5676 24877 20378 20856 6846 20122
82,11153 24290 2462 8988 5934 4601 24484 23427 5412 10785
83,12923 9446 18392 22010 19564 7727 6327 14677 20765 10792
84,20818 13219 1719 7639 6636 17322 2706 1876 9412 6480
85,3737 6708 13503 4541 11533 19875 25596 25769 23774 20863
86,17188 5576 15196 21724 13964 11823 7105 9768 18985 14068
87,23468 7049 23007 23651 24630 18469 6168 19033 13183 17144
88,8811 25848 16975 9851 934 16101 15772 10789 11280 13363
89,4576 10157 5096 20239 12691 5833 19897 13892 10269 18469
90,23850 2805 2533 12004 525 25332 2665 11363 16552 13628
91,24561 21268 7885 10269 12874 10450 3861 18528 12494 16248
92,2665 24858 12158 20982 5942 10269 13134 20095 19346 12409
93,19152 13453 16751 22464 20366 20799 15857 7384 18793 22012
