,hparams,epochs,auc,precision
59,"{'no_components': 118, 'learning_schedule': 'adagrad', 'learning_rate': 0.016199876132986884, 'loss': 'warp-kos', 'item_alpha': 1.0674646675533409e-05, 'user_alpha': 1.2928116159917677e-05, 'k': 10}",149.0,0.8589370250701904,0.01841965690255165
106,"{'no_components': 234, 'learning_schedule': 'adagrad', 'learning_rate': 0.01174260110846853, 'loss': 'warp-kos', 'item_alpha': 5.214446027436988e-06, 'user_alpha': 1.1930331117838028e-06, 'k': 10}",187.0,0.8598958253860474,0.01827823929488659
14,"{'no_components': 107, 'learning_schedule': 'adagrad', 'learning_rate': 0.02482505204020832, 'loss': 'warp-kos', 'item_alpha': 3.8471817581531125e-06, 'user_alpha': 5.694337841035877e-06, 'k': 10}",55.0,0.8551143407821655,0.017659537494182587
86,"{'no_components': 102, 'learning_schedule': 'adagrad', 'learning_rate': 0.00896562974060017, 'loss': 'warp-kos', 'item_alpha': 3.5331613548645594e-06, 'user_alpha': 8.246861400994819e-07, 'k': 10}",190.0,0.8710228204727173,0.01757115125656128
34,"{'no_components': 66, 'learning_schedule': 'adagrad', 'learning_rate': 0.01417429394107262, 'loss': 'warp-kos', 'item_alpha': 1.802745742401718e-05, 'user_alpha': 6.518748744650917e-06, 'k': 10}",164.0,0.8668569326400757,0.017553474754095078
68,"{'no_components': 138, 'learning_schedule': 'adagrad', 'learning_rate': 0.016497916859182293, 'loss': 'warp-kos', 'item_alpha': 2.0301404087818254e-05, 'user_alpha': 3.041425997629268e-07, 'k': 10}",67.0,0.8646909594535828,0.017518119886517525
114,"{'no_components': 91, 'learning_schedule': 'adagrad', 'learning_rate': 0.026744507415017257, 'loss': 'warp-kos', 'item_alpha': 2.969541007757819e-05, 'user_alpha': 3.5976873534197993e-07, 'k': 10}",93.0,0.8467459082603455,0.017270639538764954
84,"{'no_components': 197, 'learning_schedule': 'adagrad', 'learning_rate': 0.014629517063224238, 'loss': 'warp-kos', 'item_alpha': 2.2372515628948696e-06, 'user_alpha': 4.732432409505258e-06, 'k': 10}",174.0,0.8574523329734802,0.01711154356598854
130,"{'no_components': 124, 'learning_schedule': 'adagrad', 'learning_rate': 0.024205340103211914, 'loss': 'warp-kos', 'item_alpha': 1.641104825190659e-06, 'user_alpha': 6.291497498113317e-06, 'k': 10}",80.0,0.8492339253425598,0.016598904505372047
102,"{'no_components': 102, 'learning_schedule': 'adagrad', 'learning_rate': 0.02522882942942466, 'loss': 'warp-kos', 'item_alpha': 1.0952494079010843e-05, 'user_alpha': 1.2810740097783714e-06, 'k': 10}",28.0,0.8576624989509583,0.016351422294974327
