user_id,item_list
0,22171 16241 19616 9146 6337 1000 23319 16991 6915 14666
1,20095 19709 19089 16630 17787 19525 24209 8894 14648 5044
2,9555 1240 4535 8894 25133 21384 191 11452 22848 5701
3,21552 23799 22487 3942 12462 20905 12473 10269 2533 11681
4,9243 8544 23568 4927 364 13427 1611 24410 22059 1825
5,8097 19678 24355 18263 8709 7658 21277 16172 10730 5593
6,25044 23906 24383 15137 4824 24423 14020 20366 9056 25759
7,23568 22001 4620 23258 4134 24621 5942 2049 18359 5543
8,7727 8316 18392 12818 25407 13136 3230 6734 15691 25138
9,10132 2665 23791 14462 811 10035 23608 13608 22619 19908
10,11384 11361 8649 7494 660 3556 4996 22941 15195 16534
11,15542 16001 21697 14684 7856 979 18987 21085 15562 12788
12,2016 5942 180 7964 18528 13118 25314 24199 23799 2300
13,9992 20969 8990 20851 10467 4213 7156 5218 2643 1131
14,18499 18500 6446 23309 20918 7312 21099 244 4476 22121
15,24546 17323 24985 23563 22622 20374 1745 20146 8805 6
16,21909 7913 24577 2159 21943 9018 13118 21416 9769 2011
17,9438 21092 12158 20146 17087 17257 16630 8488 15234 1459
18,22903 7267 18793 5032 20300 18649 22356 22385 13990 10544
19,2426 7095 10834 23154 15691 1583 8097 12818 8990 9438
20,25446 9018 5078 20428 23687 11475 18399 24711 23465 7115
21,16803 18901 3875 23778 20651 3496 11383 21139 4237 17233
22,20163 21859 13241 4742 21152 6616 14562 25281 19350 12018
23,6200 988 16577 15729 14835 21355 21894 11293 14272 6454
24,9018 1185 9591 21381 11295 20308 17070 14291 16218 12918
25,7115 983 6764 12844 20141 4907 24235 25463 1635 25674
26,25675 867 11067 10514 17858 18692 24075 23056 22730 13707
27,57 22511 5044 17198 7474 11295 17820 15196 24355 207
28,18945 1393 11190 8704 21552 25459 6747 615 4411 20654
29,15562 14684 24355 25013 24586 5942 10396 16100 22500 14048
30,4966 8544 18293 14978 16972 21552 6781 4927 2910 13797
31,2001 23651 13226 13593 17013 12601 16793 23468 13081 2722
32,5671 1573 24958 7115 21966 25407 3826 7313 19427 21973
33,9438 25675 12061 10327 8097 6217 22554 17860 2014 19089
34,6198 6239 23324 15240 17808 1959 15354 14895 22502 16011
35,9620 23430 10859 24295 6985 25903 22286 22294 18545 6815
36,3812 1583 8097 4878 6734 2426 7095 8990 8886 25407
37,6088 525 7902 14163 8538 10009 20113 21812 20290 18456
38,4940 8560 21552 8811 25736 1863 13541 21062 4966 25338
39,20191 2178 15187 6539 7765 16381 1068 22699 6329 21872
40,9555 22445 25631 20146 25187 7095 5044 21973 15691 25407
41,24410 14023 14456 6755 3803 4620 22788 3826 9657 3017
42,20553 13663 20345 5078 13870 19655 22282 22653 2761 8395
43,6548 2815 14685 16735 8419 1773 10979 15562 3098 11712
44,17470 5093 11726 6085 11576 25209 23044 11729 19886 15856
45,19525 8894 17968 18930 16630 6198 11658 23189 8375 11687
46,9243 21975 18814 5722 12474 21365 12983 13707 14560 14609
47,16005 18852 25209 6369 19326 4738 16124 21912 24309 9135
48,5284 1816 16893 24985 13433 22653 14684 10626 9018 7585
49,24577 25253 5787 12585 18549 19874 8322 17621 19175 13801
50,9555 2426 1583 10834 7095 23141 5044 8097 10594 12818
51,24075 25675 3826 22554 10786 6636 12061 6650 25013 23799
52,8268 5651 20308 19826 10710 130 17760 7030 3037 7354
53,10780 14396 1022 20622 9060 16758 1892 1398 13608 6791
54,3803 4241 7202 16420 15245 25675 1888 19401 18804 12923
55,15562 3058 6114 3236 17233 11114 6612 732 9934 17464
56,3348 12742 20401 4779 13764 11741 24328 2751 20831 20661
57,75 23799 10269 2436 2390 24075 22631 25514 25643 1307
58,4512 16577 12943 5930 9673 4017 12601 6446 4390 3812
59,8841 12026 8538 2808 919 2184 11223 5854 19668 2209
60,6096 762 12454 23563 3527 10475 11533 25494 8384 10638
61,10586 14378 46 1397 22121 23463 12567 15098 23898 2509
62,16394 12214 22010 11533 5952 25596 12914 15234 10753 11991
63,13231 13424 3456 14488 2760 14315 16939 15493 22554 8558
64,17723 3397 23244 20458 4410 18419 23024 8431 13995 23741
