user_id,item_list
0,12194 3959 11524 194 25142 23338 4169 23216 926 19620
1,19709 12409 23600 16630 5744 6198 13615 8431 1240 19089
2,8003 557 3166 1869 13078 4967 4622 8841 768 12268
3,18872 6517 772 18132 20231 14447 19114 9146 19881 6767
4,14271 19453 17068 13427 22018 6196 23495 11865 1241 11818
5,20656 24573 4502 6450 9769 24355 11812 1846 12782 19976
6,19398 10745 19114 12684 5673 1246 2888 4620 11803 6767
7,10932 7646 14266 4209 12165 1617 10652 18512 3932 11242
8,6734 21061 23154 13711 12118 8909 10594 19384 7736 18227
9,11067 13311 13196 7179 6392 11919 9609 15830 8877 4602
10,14481 12906 14432 10662 3556 24010 17288 18360 15195 9271
11,25951 25732 16250 9585 5862 21497 13953 17092 10780 2634
12,11114 5156 17647 12843 10554 10223 20122 2939 17017 19152
13,6010 11924 20969 20851 11089 7175 654 9992 10514 18882
14,8143 15795 2004 19203 18500 7512 23309 5631 8695 21003
15,13798 12260 18716 4565 6125 7907 12211 4067 10799 24255
16,1578 21909 15722 19258 2267 6632 9526 10887 1888 14413
17,5942 13118 51 23865 17723 9435 17105 13433 7013 15564
18,18793 7267 10544 12048 5032 4936 18649 6689 22548 15182
19,9555 12818 7095 15691 2426 23154 16928 10834 10981 7991
20,25 19385 16241 6672 4257 18462 10112 9417 10418 158
21,16803 20562 25458 22438 25239 15985 18788 3045 11956 10762
22,10005 20911 6616 22730 17899 18822 14433 1183 14430 2126
23,11293 17836 988 6200 9103 16496 21355 22151 13838 8677
24,12550 13101 12639 18766 8304 4209 5768 17471 6554 22359
25,20478 24320 24172 983 5092 17867 10370 15644 9819 16951
26,24591 9778 10817 18619 141 17746 13427 15145 12208 19718
27,20212 16241 17462 10073 20146 19874 6198 18419 9018 25068
28,8941 25600 14513 13316 17372 10075 23448 3370 8436 24474
29,19874 20 24822 11812 5047 17662 19189 18495 3525 21064
30,24621 8544 18126 25662 9243 962 24410 7639 21552 25319
31,2001 2722 13593 5930 13081 13226 6901 23468 23651 1770
32,9789 18574 20731 5671 14886 1745 15912 9514 17156 7027
33,5942 10786 24894 12061 3803 25260 23799 17858 13118 25675
34,22413 16263 9135 17522 10209 7629 3966 24985 6892 12087
35,9620 20656 3264 14838 1895 21466 14257 22045 22070 4147
36,2426 15691 25407 16928 6734 1583 17877 20410 22848 9592
37,15518 5562 18374 3599 19707 14433 24015 19899 433 6315
38,6876 18176 22003 6610 14220 16420 18902 18126 17071 477
39,25894 20611 8772 25712 6662 19669 14253 13407 7321 508
40,4512 3803 12923 24894 23600 8894 18984 7494 16630 6904
41,6823 1865 13987 14978 12710 14266 8622 16901 7609 7539
42,17994 16535 5899 2761 18822 10919 4541 4280 18469 24209
43,16538 13233 7365 72 12768 25268 4224 22413 17283 6957
44,17470 5093 24300 20335 17808 916 7836 5723 11287 4662
45,20178 2354 21437 17968 18544 11658 19338 9142 19923 22406
46,2996 19114 6088 11792 13541 15335 25878 23711 9591 16805
47,19326 18852 22322 15358 25938 21912 5218 18364 17190 6985
48,24985 5284 13552 20368 18419 14137 158 21697 23871 13433
49,5787 17509 18549 4361 12585 12321 6380 22044 5870 15098
50,2426 9555 10594 1583 10834 8316 23141 6734 5607 16906
51,25693 15650 14731 14155 22731 5942 11137 11504 685 19401
52,23428 1258 11114 19241 23962 11717 15662 10934 5129 1362
53,23750 10112 17257 19999 5763 3132 2537 2155 21177 19911
54,4241 11923 7202 6822 6810 3396 14595 15121 22788 19564
55,22749 11361 7129 16562 3249 9513 20623 4996 10601 59
56,22280 23583 6460 13427 695 9582 21387 16212 20108 20982
57,24791 5540 421 6049 25656 75 15092 7409 10459 3789
58,625 21161 11197 5003 25337 5930 23996 12943 12601 20555
59,12713 23950 14125 24189 10932 19668 10626 24994 9005 4781
60,19732 25410 10099 23826 4387 21973 13170 24199 7468 4218
61,1282 10134 17390 24546 9731 11362 3842 22964 1032 19508
62,6691 19948 10311 7642 3775 18495 15196 1345 7946 18845
63,17970 19469 4270 23330 4658 1972 15816 15493 3456 8654
64,3910 7699 20878 22853 24156 919 14907 2819 23156 25855
65,12597 17523 22527 1085 1959 15999 8716 358 22306 24189
66,19781 20496 1960 6076 3553 6517 15158 23310 12983 22917
67,13954 22798 11362 6717 11421 21943 18419 17709 11533 4911
68,23711 22356 6088 2090 6767 5717 15592 10786 20864 2333
69,22473 15468 5784 20656 4884 5806 8323 3157 14066 18303
70,12742 4390 8565 16802 23886 8990 16732 15583 20974 6509
71,8622 15083 14163 5446 773 23696 17067 24040 4720 8181
72,13628 2996 16552 1863 21552 15034 15906 24340 18176 9339
73,16271 11348 24573 11295 19010 5185 12982 12843 11186 10394
74,12288 7805 19445 10066 644 17374 5284 9450 16201 19669
75,8251 11072 9339 4927 8704 7639 8877 11452 1447 15830
76,17877 17542 22557 18263 22801 740 4629 5032 8097 14866
77,14684 1055 24014 7883 18256 6691 11089 20178 23189 7494
78,20518 16682 19549 6662 16675 2382 11689 3267 11919 13030
79,1888 10269 24894 5543 9438 2243 9851 5942 19308 15564
80,3508 14408 13489 14626 5449 18831 6749 12732 3650 11645
81,15034 2109 2196 5942 16878 17858 6704 18331 12755 15434
82,22524 23173 20305 19502 351 14080 5686 8169 1188 14513
83,9555 8316 2426 16928 16906 10594 23141 10834 23154 6734
84,21552 141 24410 11452 20496 24621 1876 17322 22511 6599
85,8984 25133 7583 12214 25596 13870 5952 13025 13586 10760
86,23917 21973 1840 10901 8249 14564 8820 10653 6446 9322
87,2001 16793 13081 21021 13183 1583 6446 7869 7095 22098
88,9851 7202 8811 16552 561 7964 1209 8693 13363 17858
89,20994 9211 11785 1294 16172 23690 14866 7839 22347 12957
90,5522 10979 18893 19766 16966 3337 20095 19709 6076 23850
91,2275 1458 17674 10949 15468 3172 24383 15341 3933 4826
92,19709 24128 12409 17723 8894 16630 5744 3165 7494 20146
93,12061 10269 24216 1888 3803 14313 15034 5942 9438 25071
94,2333 16805 20750 20726 18114 15335 1703 13837 23700 1214
95,9526 6674 14413 19577 15368 21416 20600 16031 7691 8875
96,13182 13736 2166 23002 23917 20745 24183 6889 6409 1358
97,19189 22927 10231 24355 19874 18419 12554 6250 5581 8712
98,5581 19874 7883 4502 24355 9018 19189 2840 2139 4888
99,11623 21677 6329 6672 16195 1912 5912 20363 6198 4193
100,2835 23034 3162 11459 20626 19839 2220 17739 13845 19879
101,17201 11450 18149 18671 11649 16172 13309 8383 8921 13097
102,9573 19190 9292 15327 25609 3580 13915 14373 4394 18246
103,21583 3348 20341 11914 23258 11452 8920 17202 21854 19114
104,7883 10073 5942 14137 21697 4888 10418 19874 16295 9658
105,16972 8445 15612 10145 13025 22836 3289 11603 2505 11949
106,18404 18344 3891 1639 1855 18202 19524 13427 10996 19910
107,364 21472 13661 21123 8251 1947 8920 15790 7742 22645
108,18544 12329 18981 10061 8296 8131 22910 17688 17717 6829
109,13226 10162 14356 484 20688 16793 16577 7363 19340 12943
110,7568 5641 10766 5150 14554 22647 25941 21897 17546 11953
111,7450 22622 23295 5003 935 19879 21792 11464 23141 1454
112,24328 11356 22910 14336 2304 4149 14909 17990 9573 8886
113,15563 23723 5574 5003 4477 25770 16987 23046 13370 12308
114,7630 16749 22235 25811 18868 24405 15196 9125 2001 3752
115,9438 17860 11089 942 25260 12923 18293 1583 19564 17156
116,19166 9752 16219 15535 1092 1076 24274 5912 7699 6904
117,7817 5824 8428 7018 18174 993 25173 22277 127 20711
118,4629 7583 16394 6401 10753 16465 855 1538 18495 4257
119,1714 14904 8145 6940 20133 22686 11234 24258 13444 12483
120,18987 18256 20992 9774 16864 11767 6208 15774 11114 6536
121,8358 1011 16151 18399 15729 23561 1303 24746 19295 13873
122,10046 23505 24839 22209 13955 25446 11279 25631 16685 16770
123,16880 1071 1846 13887 4147 16761 21061 3630 15 12992
124,4620 10142 6662 2333 2868 23711 13918 10450 21849 20472
125,24943 15183 22444 1634 14188 4502 19135 15341 1658 10875
126,7150 13797 6416 10122 19468 23039 6506 8089 13233 19346
127,13845 2895 6901 14248 23060 4888 19620 787 3622 19970
128,9851 10786 867 11792 8811 15034 24928 23711 24178 13118
129,12321 18632 17474 16875 23004 4543 23937 7284 10121 6699
130,7541 12230 11623 25766 12455 7818 10573 25209 17651 1959
131,25387 14538 3408 1745 25013 19281 10311 16356 19968 12759
132,22760 5092 16626 10165 19527 9615 3508 2532 25700 16301
133,17525 14820 24900 25615 21717 7557 5248 9384 6600 6325
134,23881 20839 2922 16820 2174 3161 11197 18088 4147 3199
135,16447 12321 25440 6901 2275 4616 7079 14258 4361 4968
136,14573 5265 24909 17351 24473 14193 5783 14272 24877 1158
137,10782 16726 14310 15733 3579 20963 2789 19406 3901 23269
138,16538 4569 25489 8382 23032 6655 12160 14363 4796 10061
139,18871 22445 5469 21064 8529 9637 4147 25596 22464 20834
140,5095 13463 3873 15188 11912 5218 10618 10717 23077 21334
141,5078 25957 17400 17637 16124 6369 9435 3916 17547 22499
142,19480 8538 13118 8251 5522 10269 11687 23799 25675 17525
143,2174 23086 4100 24056 17547 20178 51 21061 19033 24041
144,24128 19524 17723 16630 153 7494 11900 18317 14895 19089
145,17668 379 9049 12603 20970 1816 13294 21027 1634 1714
146,24075 25675 19308 8538 13118 5942 1888 15564 9345 10786
147,13025 14529 22009 3792 12210 23414 11778 15386 20733 23461
148,10908 12619 2426 23154 10594 25675 9322 25138 8316 9592
149,11452 8251 24928 18406 10191 13427 21998 6599 5119 773
150,1876 3014 9402 17723 13516 12979 14562 25459 20290 2868
151,13352 2533 19480 16630 14291 10935 8372 23309 17257 14895
152,7144 16489 3261 8661 21619 15724 20330 2061 12094 21276
153,8479 9146 13573 6075 22979 1855 9126 22201 17674 14269
154,3498 1811 4659 10838 17320 19009 3206 13731 18893 2232
155,7964 5593 25289 454 23457 25028 23417 2447 4620 15592
156,10908 4547 9555 10594 1583 23154 13136 16928 2426 9733
157,16734 22845 3913 22235 3572 18444 22277 25710 17134 16770
158,25873 5641 13626 1070 5020 14206 7992 7997 8769 25819
159,21973 106 18365 7728 20255 23321 1131 14227 3812 2033
160,12601 3913 306 17385 8077 11197 11924 21355 625 14328
161,8432 14155 13081 1454 4055 18993 1492 10671 20990 14923
162,22413 23004 10722 3473 15169 13107 22128 9034 10491 14225
163,21327 3753 14534 11266 23962 9502 627 24672 18495 21373
164,4878 22464 21123 3901 8322 8089 16974 25204 17674 16610
165,6662 21552 18176 15327 5717 19114 2333 8251 20108 141
166,13319 21738 6010 68 15929 25309 5399 18550 23427 3416
167,5108 8316 11991 22848 6878 9091 13711 21355 10345 15691
168,3764 9870 3161 4787 3277 3368 25961 22352 23753 20499
169,25407 2426 5044 23141 23154 16906 22121 16751 15691 7494
170,2526 7412 19894 10544 20514 20684 16858 5756 3871 24143
171,7202 16201 23080 2573 8514 4535 3234 5301 23424 19524
172,19078 13707 14927 4927 21614 14012 11384 23258 12610 5701
173,17209 8820 4980 5 5669 11501 22651 25570 5326 13136
174,10625 5680 22196 12165 23086 13294 25444 17547 10086 7150
175,22332 23291 16327 18566 16116 7710 4538 20761 23117 11654
176,867 23666 9851 20496 17933 1167 12061 21854 18528 1051
177,1583 9592 18392 21920 10594 5607 6734 16906 10834 8316
178,9546 10932 1072 5905 3805 22657 15490 19663 17478 24059
179,11855 9822 24533 22262 16011 11800 1158 3298 20844 20957
180,2705 10668 7338 22226 14354 109 8361 22917 14422 10528
181,20496 9851 364 11452 19766 19480 10786 16189 21583 21653
182,18367 17819 17517 1420 5150 23424 17682 1068 16535 14303
183,19709 23481 23600 12409 5522 9664 7494 24128 8894 17723
184,15635 15890 7426 6629 13310 1547 901 22760 4952 18351
185,16492 6357 10569 9718 17300 17655 12016 2400 3913 20010
186,21680 13025 17456 24278 4837 19092 17523 7742 9733 10908
187,10747 15663 4625 22684 24577 8649 22548 4856 13284 23879
188,12268 19480 11452 22402 23481 8430 11279 1463 7832 20146
189,16772 17070 9649 12914 17156 21577 20410 15691 7095 8097
190,11362 4040 18465 7958 14808 13338 19797 3447 11533 17730
191,4087 1373 25404 10279 2324 19708 14810 24945 19445 23844
192,8304 15764 17820 24093 14865 5412 7008 4979 3997 2903
193,13820 10959 11217 11129 8545 13722 25222 7388 16189 21022
194,6686 12644 1688 1538 23204 10404 6162 3804 2948 10887
195,11356 7283 4603 9601 14165 4160 23255 22332 18969 998
196,25815 15520 17400 16800 10916 9657 25755 1634 23646 16124
197,20934 15094 22075 15644 17586 7426 9511 7856 8738 1639
198,14385 18190 2996 17705 9591 13196 21552 4324 2707 12801
