user_id,item_list
0,15277 62 13268 11761 12935 12908 1419 12301 7285 7610
1,15277 62 13268 11761 1419 23315 12301 22960 19000 21392
2,15277 13268 62 11761 12301 24505 23315 20117 7610 1419
3,15277 62 13268 11761 20117 12935 7610 23315 12301 7285
4,15277 62 13268 11761 23315 12301 24505 20117 21392 7610
5,15277 62 13268 11761 19000 12908 23315 12935 22960 1419
6,15277 62 13268 11761 7610 12908 12301 23315 24505 7285
7,15277 62 13268 11761 12908 563 7610 22960 21392 12935
8,15277 62 13268 11761 1419 20117 12301 563 12908 21392
9,15277 62 13268 11761 12935 19000 22960 12908 7285 20117
10,15277 62 13268 11761 12935 20117 23315 12908 1419 22960
11,62 15277 13268 12935 12908 7610 24505 19000 21392 563
12,15277 62 13268 11761 22960 7610 12935 21392 20117 1419
13,15277 62 13268 11761 24505 563 12935 22960 20117 12301
14,15277 62 13268 11761 24505 12301 7285 19000 22960 12935
15,15277 62 13268 11761 24505 12908 22960 19000 12301 12935
16,15277 62 13268 12301 23315 7610 563 21392 1419 20117
17,15277 62 13268 23315 11761 7285 22960 24505 19000 21392
18,15277 62 13268 11761 23315 7610 12908 7285 22960 20117
19,15277 62 13268 11761 7285 21392 19000 1419 24505 23315
20,15277 62 13268 11761 19000 21392 22960 563 1419 12935
21,15277 13268 62 24505 11761 20117 22960 19000 12935 1419
22,15277 62 13268 11761 24505 7610 12301 23315 12908 7285
23,15277 62 13268 11761 19000 1419 12301 563 24505 7610
24,15277 62 13268 11761 7610 12908 7285 23315 20117 19000
25,15277 62 13268 11761 7610 1419 12908 12935 23315 20117
26,15277 62 13268 11761 563 21392 24505 23315 12908 7610
27,15277 62 13268 11761 7285 24505 563 12301 12908 7610
28,15277 62 13268 11761 7285 24505 23315 1419 20117 12301
29,15277 62 13268 20117 22960 1419 11761 21392 12935 7610
30,15277 62 13268 11761 7610 23315 22960 24505 12301 563
31,15277 62 13268 11761 7610 22960 19000 12935 1419 7285
32,15277 62 13268 11761 12301 12908 7285 19000 7610 22960
