user_id,item_list
0,4927 24075 1447 12543 6915 20711 15830 18360 2173 5161
1,23600 19089 11900 12409 8431 25679 20095 23244 17257 3165
2,13251 17339 16249 4842 17336 25491 2533 14792 5451 17959
3,3942 12473 22487 20905 11681 15440 17578 19572 14446 45
4,9243 433 3891 10997 14271 9445 4927 13427 20897 22730
5,8097 12214 7742 8322 14706 7013 13018 11527 4257 8148
6,25044 24383 4824 23906 14020 11578 10745 1282 7049 16443
7,14266 4209 25632 18359 5092 7398 21582 23267 1358 20148
8,25407 24577 13711 3921 21123 15691 1583 2426 25138 23154
9,25358 9609 13944 10132 17760 14038 20666 2235 19480 23608
10,3556 11361 12906 23265 11404 9934 25868 23026 15195 25036
11,7856 3220 22956 16099 21630 4293 21262 12788 15542 13168
12,2281 9526 1592 20211 2823 2016 21617 24043 16189 14413
13,20969 9992 4213 823 1770 10467 11924 11533 19319 2643
14,18499 18500 23309 16999 13508 18060 20918 16641 7965 7115
15,13433 12643 12903 5076 25766 9520 11623 11702 24985 17323
16,7913 8400 4502 921 14137 12684 17514 18419 22282 21416
17,24958 12407 3055 19480 926 15001 19240 24858 3037 16503
18,5032 13990 7267 20300 18649 12048 740 18793 22760 14674
19,7095 15691 2426 9555 12818 10834 1583 16928 10981 23154
20,5925 14279 13863 2507 6612 814 15234 20626 25446 826
21,13138 18901 3875 18788 6298 23778 16803 24366 18510 18237
22,20911 13494 10005 17899 6616 11597 17145 20163 23289 25281
23,6200 16496 14835 11293 17836 988 6454 16577 21355 23562
24,14291 19480 12918 1258 14895 1185 24964 5562 6551 525
25,7115 12844 823 983 10640 18574 2643 10848 25674 20656
26,867 23056 15592 13236 21975 14602 5257 4188 10530 8112
27,5044 4476 19346 8785 16188 57 8249 14951 16521 8064
28,1393 13424 6551 23020 615 16630 21327 9445 6782 4620
29,8667 16688 21428 9336 2665 5765 25957 19874 16100 4662
30,22511 21552 8544 24621 8920 4966 9243 14715 6812 3835
31,2001 13226 23468 23651 10162 17013 21021 16793 6446 13593
32,1573 5966 18574 9620 7115 823 983 10640 2643 20656
33,22554 10269 25675 18392 23424 25260 14152 4475 10953 23780
34,23324 14413 9520 8593 9526 1803 1959 3477 17400 14300
35,9620 5966 13078 823 3701 22023 23430 11785 10014 1290
36,6734 16772 3812 4878 9701 8886 1583 22848 20969 23141
37,10528 20290 2333 20553 6794 10182 17474 9284 15401 21932
38,8560 21062 1863 13628 2996 5965 14385 25736 4940 180
39,2220 16648 5497 11743 7321 16871 2178 4533 15666 21872
40,22554 20095 21085 2236 22731 13928 5044 306 3570 8894
41,14266 8524 17322 14023 9657 11089 22100 1017 1682 7883
42,20553 13663 18512 6612 4913 22652 20544 16904 17819 13870
43,8097 23258 21468 16112 3469 10586 12352 13743 4564 20230
44,17470 5093 11726 24839 4628 7836 19886 12236 916 14602
45,18930 25873 7494 17723 2665 24128 11658 12466 19487 18984
46,3983 23056 8811 22730 22588 8877 10789 23536 12550 6217
47,18852 21912 6369 4738 4032 7993 19326 18364 1205 24985
48,24985 5284 13552 13433 11388 10626 13170 4781 16893 303
49,12585 25253 5787 18549 25440 24746 72 23333 23242 11841
50,2426 1583 9555 12818 10594 10834 10981 23141 13711 7991
51,452 19089 24075 17923 4957 5676 10848 11133 3215 1516
52,2919 15736 20375 22056 14279 23621 11449 2072 25009 8268
53,19166 20622 12323 8529 14086 5295 12713 13118 13624 1783
54,3803 19401 19564 7202 12923 20439 25675 16420 23485 23424
55,15562 16218 13138 3058 16562 16241 24014 10910 2638 10601
56,20933 11741 10384 4083 4638 4779 20401 20661 462 13764
57,6049 11378 2436 24791 25656 2390 75 12923 2038 12421
58,5930 11197 16577 625 306 6047 2375 22731 21161 22324
59,8841 20301 2808 12026 19668 10803 6544 21793 9005 11223
60,6096 11774 175 1912 3527 20212 6672 8295 16011 17759
61,8826 6446 22081 16932 6397 14378 11295 5986 9090 12552
62,10311 21542 11527 3775 19150 19948 8675 20508 11812 16394
63,13231 13424 3456 14488 14315 2760 13502 10540 13182 13789
64,23741 17723 20458 12104 11323 6865 21470 18915 10894 25407
65,11674 16850 15448 3216 24163 20998 3840 19584 17463 19525
66,2720 17858 2109 25531 11653 24873 12742 19480 9315 3165
