user_id,item_list
0,1447 4927 25878 15830 9851 5085 23207 454 24459 13797
1,3165 23600 23244 20982 20173 3397 12409 19709 1240 22853
2,3164 20928 19899 2300 991 18790 6662 525 1876 13144
3,24093 15764 9591 21552 8304 5412 57 857 17820 24484
4,9243 11384 1611 4927 20729 22653 13427 20095 11796 23056
5,8097 7494 14706 17819 4257 18392 18419 11295 11535 8089
6,25044 13102 1848 18173 19119 2426 18880 19113 25121 18798
7,4209 16257 17305 9018 17322 341 17168 22862 19189 20955
8,6878 18392 1583 17156 24670 21123 10834 8316 22848 2551
9,7995 19792 16034 19524 14978 13615 9637 6239 3856 8538
10,19792 11384 1984 660 3556 10673 13463 25779 685 7395
11,9658 19010 21085 16264 2501 8488 22233 8296 11502 9690
12,8593 2281 23711 7796 24007 20211 11174 9526 10554 18790
13,6446 20969 17229 11533 6734 2665 19468 16772 12601 7095
14,5469 3497 13887 10834 4512 11848 3744 18859 22554 6164
15,12643 13433 16124 24546 9135 25766 23324 1205 21671 20857
16,4502 17156 12214 10792 5362 10418 21943 20695 9018 4417
17,17723 20146 7030 2665 681 18296 13797 13118 22500 18293
18,18793 5032 7267 20300 15182 15778 22548 12048 9769 4936
19,16928 12818 4878 9555 13711 7991 8990 10834 25596 9701
20,15234 5078 13541 17787 12710 24355 18399 15605 9018 11979
21,20807 24038 2811 25224 612 10132 21030 2922 233 6955
22,15330 13756 3689 18799 1855 9884 21563 3280 21258 23151
23,16577 6734 19655 2570 18263 16772 17143 8097 9555 25738
24,14291 13310 16630 19524 8704 11284 16179 19910 23850 14978
25,7115 823 8131 22010 9637 14356 21920 12844 3921 8114
26,4927 23056 22588 18293 11518 6108 21975 10530 13427 1611
27,8158 6208 5044 23628 3572 14978 23799 5562 15374 3934
28,6782 4940 4620 6551 11076 17065 14507 433 10789 13707
29,5078 17668 19874 2835 6329 4382 21697 7030 22653 24197
30,24621 2868 11384 21552 5717 4502 21975 4209 22511 8544
31,6446 13226 2001 10162 15196 9555 19340 16793 11121 23468
32,23154 9620 14684 6878 7115 10675 24577 1573 5671 823
33,13424 5942 15592 23799 5032 10269 10544 21954 16219 9769
34,16124 19007 13433 5283 304 18852 17323 3177 22400 158
35,9620 823 5497 24948 8131 5966 24577 11830 22010 10590
36,22848 1583 23141 9701 7095 20410 6734 11533 8990 4878
37,19524 19480 19709 6239 5562 6250 13118 3934 2109 18538
38,1863 8560 4940 13628 20711 14385 19822 11549 1960 15434
39,22554 13118 8990 5942 10269 13552 5746 9438 12601 68
40,10834 5044 12914 20146 8894 8097 7991 7908 7013 18984
41,7883 17305 16218 14023 21998 17322 8524 3228 8544 17168
42,13663 6612 10035 16630 17787 24209 18512 15169 2761 20095
43,11987 18293 6329 10766 5581 25030 780 3469 12352 5122
44,10834 10594 19480 13433 23324 15691 8667 7964 6198 14356
45,11658 19524 19525 25873 8894 7094 19792 7494 24128 5522
46,22588 23583 13196 22730 21975 6196 2267 1578 22479 24410
47,19007 18852 7839 16124 7993 21912 23217 25200 4738 4032
48,5284 13552 24985 18419 4781 12268 7913 13433 11091 16083
49,23799 24839 13552 10786 5284 17374 6239 7836 22359 24985
50,9555 12818 23141 7494 1583 19709 7095 6734 3002 17156
51,561 16195 24653 7094 7964 13661 25071 3176 4512 5284
52,6329 25013 15562 20553 6691 24355 18512 1230 20544 3556
53,8529 14155 19005 18499 7012 13887 4147 19315 2995 23398
54,3803 7202 15564 19401 19564 9050 12755 12409 23481 18293
