user_id,item_list
0,12543 1447 10817 4927 17394 19578 20869 20133 20711 6140
1,19089 20095 23600 12409 3165 19709 19480 19525 17257 16630
2,20323 9549 2824 4842 11548 17336 16249 22230 17959 14792
3,22487 3942 12473 24075 14446 20905 19572 6649 17578 11679
4,14271 1611 17024 9243 10997 4927 24472 21632 9295 24175
5,8097 7494 8322 25407 19874 19089 4878 2459 20095 1240
6,25044 23906 4824 24383 1282 25759 10745 9056 14020 1246
7,2049 4209 14266 17336 18359 22001 20222 2436 24919 11076
8,25407 6734 13711 23154 10594 24069 2426 1583 21073 15691
9,10132 5416 14038 9609 23608 4795 22619 18599 14456 13944
10,13280 11361 12906 3556 15195 10151 16921 20168 13016 11404
11,7856 22956 2957 21630 15542 16099 12788 4661 2940 8296
12,2016 11764 2823 20211 1592 2281 24546 5546 19291 12494
13,11924 20969 20851 4213 9992 16535 20255 6692 418 23880
14,18500 16999 20918 244 22617 18499 3641 19103 12254 23309
15,9520 12903 24546 11737 13747 13433 5709 5076 20374 8805
16,7913 886 17514 4502 21526 21416 12684 20223 921 8400
17,25675 9438 19089 17723 5942 12061 20146 19480 13118 9851
18,5032 18793 18649 12048 15778 7267 20300 10544 9769 740
19,2426 15691 9555 23154 7095 10834 12818 10981 13711 1583
20,5925 13303 15234 25 15398 13616 5852 8606 25446 23465
21,16803 23778 3875 18788 18901 13138 21139 6298 7196 18510
22,23206 20163 20911 6616 17899 11597 17368 3689 14583 2404
23,17836 988 6200 15457 11293 16496 16577 6454 23562 14835
24,20405 14291 3576 19480 5957 13555 7895 11730 14895 6760
25,19600 983 7115 18574 10640 9446 1573 12844 1635 11776
26,23056 10715 10155 13305 4067 16176 9278 15518 867 10796
27,14609 57 8158 5044 5562 17820 6208 23628 15903 6760
28,13424 6551 17043 18998 23056 4411 615 23020 12511 21327
29,14684 21428 17276 25957 16100 16171 5765 19874 21159 17668
30,8544 24621 21552 19893 25662 4966 17850 1258 23830 8920
31,2001 13226 23651 13593 9312 13081 17317 23468 11569 9550
32,18574 1573 5671 9789 14711 20087 21966 20731 17972 9620
33,10269 25675 9438 12061 5942 22554 25260 10786 9851 24894
34,22997 1959 15240 14413 12547 23324 14300 1803 9520 3477
35,9620 1895 12719 18882 23430 712 9863 9085 19610 22294
36,25407 2426 1583 6734 15691 22848 9701 23141 16928 6878
37,24075 18456 10528 21660 20274 19480 9001 14508 2235 7819
38,1863 21062 8560 4940 25736 4511 1947 19822 7971 1960
39,2178 7321 15187 16381 21326 13934 2220 3908 24524 15666
40,24075 22554 12923 9438 5942 18293 22445 25407 8097 10834
41,14266 14023 8544 24410 1865 10545 21342 4625 17322 25632
42,6612 24209 23274 20553 13663 13870 8037 588 5178 2761
43,3469 1639 11987 610 780 5466 7507 17162 23865 3668
44,5093 17470 14678 8475 7836 12236 3214 1205 23044 25209
45,17968 11658 10633 19089 12466 8431 25698 19525 7494 24300
46,6088 23536 4620 13541 23711 24075 15459 11792 9029 3983
47,18852 4032 21912 6369 19326 19281 4738 23975 17340 1700
48,24985 13552 19874 5284 13433 14684 18419 10626 4781 24355
49,18549 5787 25253 12585 0 17321 17320 17319 17318 17317
50,2426 9555 10834 1583 10594 12818 23141 6734 13711 7095
51,24075 25675 5942 22554 6374 10848 10269 23799 23035 21140
52,19826 16029 24355 1633 875 14279 6464 25006 20553 5467
53,14354 12730 14396 3398 23816 18499 5763 4337 14086 22745
54,3803 25675 22788 7202 20439 20818 19401 15245 23424 16420
55,15562 3058 10601 10910 17801 4809 16218 11361 7853 13730
56,18351 13466 6460 57 20401 4779 23258 4083 11741 10384
57,24791 75 11378 6049 25656 2436 2390 12421 12922 16413
58,11197 625 5930 306 16577 12943 21161 17994 11316 22324
59,8841 12026 19668 23950 9005 11223 8531 6544 10803 17362
60,3527 6096 11774 10638 5746 175 20341 3214 2237 12454
61,14378 8826 20571 6446 16932 12552 6397 22081 9364 18026
62,16394 10753 10311 12759 8097 12214 12914 3775 24874 11527
63,13231 3456 15493 8654 8709 21051 10931 13424 13729 16221
64,23741 12104 20458 17723 17951 4410 654 20863 14401 339
65,3216 17463 11674 15448 24163 3840 16850 2182 19584 18959
66,19089 19480 24075 18528 10269 20095 18331 9851 2533 8431
67,4457 22057 9615 13018 9822 19796 4203 10480 2267 18871
68,6088 2333 18190 5717 4620 3983 23711 15327 21464 9029
69,2317 25932 24552 7539 25888 6450 17819 1865 6530 2645
70,4390 16802 6913 4588 21355 19176 10653 7105 12254 7002
71,1621 14684 17668 20291 12986 22185 11800 21033 7799 20507
72,1863 24075 2996 22645 21552 24340 4940 25675 9337 19094
73,4502 18419 19874 23521 10073 16394 10779 15915 25600 14584
74,14104 24546 22622 25964 3722 439 20146 24415 13433 13552
75,8251 11072 7639 17348 20108 4927 8704 6239 16972 21590
76,17877 25407 15691 15903 10834 2426 9555 15196 23154 7583
77,24075 2972 14684 25675 6865 10269 5942 15377 25387 18980
78,20431 19418 14607 6088 16767 2868 4779 21376 772 19114
79,10269 25675 9438 12061 22554 5942 1888 5284 10786 9851
80,15847 24978 9181 11863 6990 4093 11546 551 22435 1001
81,24075 22554 5942 9851 12061 10269 10786 18293 23799 24894
82,22524 10785 24075 8311 5686 19502 20023 12180 1535 14915
83,2426 9555 23154 23141 16928 10834 13711 7095 10594 1583
84,24410 20148 22511 20496 24621 4620 2333 141 9851 23711
85,3580 8984 25596 11533 4878 5952 4366 25631 2888 2478
86,6446 16779 15161 4588 8955 3141 16712 24635 12819 7564
87,2001 6446 23468 18798 21021 13081 2888 16577 23651 16793
88,10269 9438 9851 22554 8811 18293 19401 24894 23711 23799
89,11785 17866 8164 4683 9496 14835 8037 14193 301 7816
90,4620 19480 19089 5717 1863 921 3337 20095 20146 25226
91,18949 15468 24361 4824 25044 4649 22592 11189 9056 24383
92,20146 19709 16630 19480 12409 20095 7494 20173 14291 24128
93,10269 25675 9438 12061 22554 5942 10786 9851 11945 1888
94,10788 21407 19180 14198 14108 18380 3983 9860 5194 13030
95,14413 9526 23324 16644 13219 2216 6493 23021 7061 5447
96,19237 17717 5218 2995 17920 8529 20281 3812 10294 21064
97,12554 24355 4502 19874 18419 19429 22927 359 13240 25809
98,19874 4502 24355 20308 17668 15234 7883 19655 20553 22927
99,14684 20308 19089 18512 24075 4502 11623 14314 6718 1745
100,19839 5464 18886 24481 4766 20290 3895 24794 10353 14820
101,11649 21343 2426 16772 1338 4878 19468 21446 7728 25407
102,13057 22484 19596 24615 20695 19495 22357 24355 16395 15152
103,20532 19781 867 21552 19704 14715 9615 3348 11796 20867
104,19874 14684 24355 19060 11550 23534 19879 20308 17668 20490
105,17858 3267 21615 23485 22750 22554 5669 7202 22078 16046
106,275 22356 16271 25868 13642 2429 6240 5203 4254 8811
107,1863 8560 22645 1947 4940 8285 13555 25338 20645 13541
108,18544 22121 16201 84 17548 25101 14356 173 20274 24747
109,7363 484 13226 20688 970 19194 14356 5044 7728 4390
110,17546 5150 5641 8432 8537 15196 1095 15234 23927 9511
111,17420 1205 17374 19007 14506 10656 8854 24545 5589 19445
112,14330 10269 7683 17134 6320 1443 3181 15374 16268 14369
113,9241 23723 16987 5574 15563 10328 1928 24655 3550 13424
114,14100 23033 22040 10151 11260 9125 15899 17169 18931 11772
115,24075 22554 12923 9438 5942 18293 22611 10269 13831 25260
116,11820 15903 14356 19750 15196 15374 5044 18067 3722 25365
117,25331 17803 25863 1250 15821 8773 24972 5455 2163 6221
118,12162 4511 2835 21199 23086 25484 10311 15183 11527 21020
119,19874 4502 18419 20308 18541 1714 5868 11682 10073 8251
120,16503 17125 16271 18987 9253 3556 21347 12162 10940 6366
121,25675 2056 20023 20889 13441 22554 13941 809 12139 19205
122,17130 18656 14626 5178 22024 14412 19894 22221 2400 5594
123,21061 8337 13887 4147 681 13294 3630 1846 16880 25407
124,2333 5717 2868 23711 13541 22646 4620 18190 9029 23536
125,6502 17668 16171 19165 4257 4502 14684 21159 23221 1399
126,2581 12704 10538 10597 18959 14437 1652 17027 11873 18503
127,132 10085 22881 22821 18329 2007 10420 23531 7926 23226
128,10269 25675 9851 9438 10786 1863 22554 13118 23799 15034
129,18708 861 14045 25693 1454 7944 21437 8491 2165 4884
130,23799 24546 9520 8387 3527 5709 8805 16944 13433 10347
131,22548 25138 308 22804 21552 160 7508 5297 12295 22339
132,6010 18541 21567 14820 23404 20139 6291 341 1816 22629
133,3525 21631 4381 23155 22862 846 22965 4510 5415 22880
134,7271 21042 21446 3497 20362 6272 13805 16942 13930 10730
135,16447 25440 23333 24746 72 11841 2019 6843 23242 25544
136,24909 11550 13433 1894 25801 19976 8430 4502 24294 7890
137,16726 3579 20963 23405 8339 2798 15733 10782 7016 15948
