user_id,item_list
0,1447 4927 9851 15830 25878 23481 12543 13219 20869 10817
1,23600 3397 12409 3165 8431 22402 15878 23070 4257 14648
2,25693 18790 3164 16901 2824 19899 4842 1007 13144 21626
3,22487 12473 5412 3942 18569 20905 17820 24075 6649 11679
4,1611 11076 9243 16767 19118 19843 3891 10979 19525 20979
5,8097 7494 18399 4257 2459 12158 24573 7013 16172 12214
6,23906 25044 4824 10745 681 24383 13928 1282 24994 17252
7,19189 4209 23568 23923 24919 20148 18359 11076 7398 21278
8,6878 13629 13143 15499 3957 19056 10560 14059 1583 21123
9,9609 10132 9591 20666 8877 14291 17628 1834 23600 17760
10,3556 12906 11361 19792 15195 11404 23265 22923 23361 25868
11,22956 7856 2957 16099 21630 4293 3220 8296 12788 19290
12,2823 1592 2281 20211 24546 8544 21151 24401 22098 10469
13,1770 20969 11533 10834 23880 19092 11924 2643 9425 1810
14,18500 7115 16999 20918 244 25407 18499 22617 19103 20644
15,12903 5284 25766 17323 24075 12643 22622 5302 17130 5076
16,7913 21416 886 8400 921 17514 12684 4502 17305 9018
17,17723 20404 20146 19480 15182 22616 14895 9319 7030 24858
18,12048 5032 18793 15778 18649 22385 9769 20300 9750 5914
19,9555 2426 7095 10981 9701 10834 15691 4878 2551 25738
20,15234 13616 15398 23465 25957 5078 5925 9018 15988 19907
21,3875 18901 23778 18788 13138 16803 6298 2646 24366 24038
22,10005 17899 10235 11597 6616 3689 17368 16347 2126 20911
23,16496 17836 11293 988 6200 16577 23562 6454 14835 21355
24,14291 6551 24728 24078 18904 16120 11117 18440 7830 6982
25,7115 18574 25674 823 983 12844 8131 17671 16818 139
26,1825 5257 5470 2437 13516 5366 8112 6799 18212 15592
27,57 5044 17820 8158 19357 8064 16188 17462 3711 4476
28,6551 13424 19922 4411 23127 1393 21327 21904 13030 4710
29,5078 16688 8667 25957 5765 9336 5193 22500 23154 13894
30,8544 24621 3835 1480 23258 11384 6812 8920 17850 25662
31,2001 13226 13593 23651 16793 17317 23593 13314 9312 11569
32,1573 9620 10640 18574 7115 290 11130 24958 20656 23154
33,10269 2426 20204 4475 14152 23780 10953 7763 18596 9362
34,23324 1803 3477 1959 9520 16462 3966 12547 5446 18612
35,9620 7355 823 23430 22121 12719 13078 9863 12844 14643
36,8886 2426 25407 15691 6734 8990 4878 1583 2118 3812
37,10528 8439 24075 19480 13899 1504 2932 17759 17474 271
38,1863 21062 25736 8560 14385 180 19822 17133 21373 13628
