,threshold,weights1,weights2,MAP
377,[15],"[(50, 20, 30)]","[[100, 0, 0]]",[0.07579198339455312]
181,[12],"[(50, 40, 10)]","[[100, 0, 0]]",[0.07577702554417544]
179,[12],"[(50, 20, 30)]","[[100, 0, 0]]",[0.07575875728027069]
370,[15],"[(40, 20, 40)]","[[100, 0, 0]]",[0.07575737773716766]
369,[15],"[(40, 10, 50)]","[[100, 0, 0]]",[0.07573724248732867]
187,[12],"[(60, 40, 0)]","[[100, 0, 0]]",[0.07572695366062396]
362,[15],"[(30, 20, 50)]","[[100, 0, 0]]",[0.07572613360090087]
178,[12],"[(50, 10, 40)]","[[100, 0, 0]]",[0.07572332507728588]
185,[12],"[(60, 20, 20)]","[[100, 0, 0]]",[0.07571105173945518]
172,[12],"[(40, 20, 40)]","[[100, 0, 0]]",[0.0757059705146829]
171,[12],"[(40, 10, 50)]","[[100, 0, 0]]",[0.07569295692402749]
311,[14],"[(50, 20, 30)]","[[100, 0, 0]]",[0.07567610060477074]
376,[15],"[(50, 10, 40)]","[[100, 0, 0]]",[0.07567489437096289]
186,[12],"[(60, 30, 10)]","[[100, 0, 0]]",[0.07566259678764611]
112,[11],"[(50, 10, 40)]","[[100, 0, 0]]",[0.07565867230360004]
194,[12],"[(80, 20, 0)]","[[100, 0, 0]]",[0.07565595605758121]
371,[15],"[(40, 30, 30)]","[[100, 0, 0]]",[0.07565124269055641]
247,[13],"[(50, 40, 10)]","[[100, 0, 0]]",[0.0756468755524128]
304,[14],"[(40, 20, 40)]","[[100, 0, 0]]",[0.07563383715954365]
191,[12],"[(70, 30, 0)]","[[100, 0, 0]]",[0.07563318531505857]
383,[15],"[(60, 20, 20)]","[[100, 0, 0]]",[0.07562860083046821]
189,[12],"[(70, 10, 20)]","[[100, 0, 0]]",[0.07561757453457668]
253,[13],"[(60, 40, 0)]","[[100, 0, 0]]",[0.07561593060154664]
190,[12],"[(70, 20, 10)]","[[100, 0, 0]]",[0.07561185585672728]
113,[11],"[(50, 20, 30)]","[[100, 0, 0]]",[0.07560602007123157]
303,[14],"[(40, 10, 50)]","[[100, 0, 0]]",[0.07559907027385154]
384,[15],"[(60, 30, 10)]","[[100, 0, 0]]",[0.07558606166590781]
310,[14],"[(50, 10, 40)]","[[100, 0, 0]]",[0.07558492296315518]
245,[13],"[(50, 20, 30)]","[[100, 0, 0]]",[0.07558389749879206]
193,[12],"[(80, 10, 10)]","[[100, 0, 0]]",[0.07558019634601418]
392,[15],"[(80, 20, 0)]","[[100, 0, 0]]",[0.07557938268865826]
382,[15],"[(60, 10, 30)]","[[100, 0, 0]]",[0.07557736919986159]
319,[14],"[(60, 40, 0)]","[[100, 0, 0]]",[0.07557722255781742]
251,[13],"[(60, 20, 20)]","[[100, 0, 0]]",[0.0755763515018483]
379,[15],"[(50, 40, 10)]","[[100, 0, 0]]",[0.07557619019003234]
105,[11],"[(40, 10, 50)]","[[100, 0, 0]]",[0.07557136762089321]
121,[11],"[(60, 40, 0)]","[[100, 0, 0]]",[0.07556794992596176]
252,[13],"[(60, 30, 10)]","[[100, 0, 0]]",[0.07556722601309153]
296,[14],"[(30, 20, 50)]","[[100, 0, 0]]",[0.07556615715181358]
385,[15],"[(60, 40, 0)]","[[100, 0, 0]]",[0.07556458428505892]
173,[12],"[(40, 30, 30)]","[[100, 0, 0]]",[0.07556171363064616]
184,[12],"[(60, 10, 30)]","[[100, 0, 0]]",[0.07555879367800636]
388,[15],"[(70, 20, 10)]","[[100, 0, 0]]",[0.07555681782399404]
313,[14],"[(50, 40, 10)]","[[100, 0, 0]]",[0.07555586072577754]
305,[14],"[(40, 30, 30)]","[[100, 0, 0]]",[0.07555558347544342]
317,[14],"[(60, 20, 20)]","[[100, 0, 0]]",[0.07555112740006921]
387,[15],"[(70, 10, 20)]","[[100, 0, 0]]",[0.07554858078894339]
238,[13],"[(40, 20, 40)]","[[100, 0, 0]]",[0.07554579497981358]
260,[13],"[(80, 20, 0)]","[[100, 0, 0]]",[0.07554396846797423]
318,[14],"[(60, 30, 10)]","[[100, 0, 0]]",[0.07554143722252962]
115,[11],"[(50, 40, 10)]","[[100, 0, 0]]",[0.07552679141795962]
326,[14],"[(80, 20, 0)]","[[100, 0, 0]]",[0.07552363165491537]
