user_id,item_list
0,25878 1447 13219 5161 1560 6915 4927 2607 12543 20869
1,19089 23600 12409 19709 6198 20095 12119 3165 16630 8431
2,14353 2824 19515 5566 5451 11764 3164 25653 19881 975
3,22487 12473 16857 3942 20905 16086 1651 12462 2074 9087
4,1611 9243 13427 11384 17733 19704 9295 20799 10997 9578
5,8097 14706 16172 17819 8322 7494 7013 4257 9301 16394
6,25044 24383 23906 14020 4824 4774 10745 1282 3382 1246
7,14682 3850 12181 13840 19189 8499 17332 8104 24134 7646
8,25407 2426 15691 6878 10834 14059 1583 6734 13711 13629
9,19792 9609 15782 17092 25779 3699 10132 5741 13390 11905
10,3556 12906 12375 23361 22923 20168 17557 18751 11361 23919
11,3220 22956 7856 4661 15586 12951 16099 21262 21630 16175
12,19291 2823 2281 1592 5447 6235 10380 20211 7820 16212
13,20969 11533 4213 11924 9992 1770 23154 10594 23880 25133
14,3641 20644 18499 21541 18500 11848 16999 20918 19103 23309
15,12643 5076 24546 25766 5709 12903 4025 11702 19563 17130
16,7913 21416 886 17514 8400 12684 4502 921 25585 17305
17,19089 20146 17723 19480 12409 20404 5942 16630 7030 23600
18,5032 18793 20300 12048 7267 18649 22385 10847 13990 740
19,2426 9555 6327 15691 23154 10834 10981 10594 12818 7095
20,8606 23465 15398 6893 25517 24785 13616 5925 14132 7197
21,23778 18788 3875 16803 24366 18901 13138 4224 2646 21786
22,9487 6616 1668 11597 17899 23206 7331 1418 9824 10005
23,988 6200 17836 11293 16496 6454 23562 16577 14835 17143
24,13797 14291 8935 4095 9069 11179 19480 3368 11730 9025
25,7405 12844 7115 983 10640 12385 18574 25674 290 17884
26,23056 16245 5633 867 23711 21975 20496 4055 15463 13707
27,57 17820 8158 21527 5562 11706 5044 6760 22270 23628
28,23835 6551 2233 8742 3687 4411 3123 9220 8678 13424
29,5193 23770 14684 5765 25957 16688 13485 7852 5078 24914
30,8544 21552 24621 3835 9243 11384 4966 22511 6812 19781
31,2001 13226 23651 16793 23468 19340 13593 23593 13081 22226
32,18574 1573 9620 290 10640 983 7115 20656 5966 2643
33,10269 25675 9438 17409 5942 12061 22554 4475 14152 23780
34,1959 1803 19007 23324 9520 3477 25839 3966 21624 21677
35,9620 8914 5474 14826 9782 11784 10526 24445 11830 22023
36,2426 25407 6734 1583 16928 15691 22848 9701 16906 3812
37,19480 10528 8439 4766 21932 20290 10182 19524 23725 24075
38,1863 8560 21062 7266 13628 4940 18080 19822 6088 8811
39,2178 2220 21872 6139 7321 16648 20820 24524 23816 16871
40,22554 24075 8097 5044 25407 20095 15691 16630 19709 10035
41,14266 17322 1682 8524 17225 11408 21526 9657 11317 1041
42,20553 20321 24070 6612 20544 722 18512 12182 13663 18930
43,23854 15536 12696 8256 966 610 12770 7615 3469 8366
44,17470 5093 23324 25185 17374 20520 1413 11576 19886 8475
45,19487 19525 17723 11658 16948 24128 19089 7494 25873 6827
46,23536 6088 3983 18190 11792 15459 13541 23711 22359 11067
47,19326 21912 4032 18852 4738 16124 7993 6369 19281 11194
48,4781 13552 24985 16893 5284 10626 13433 13170 4115 303
49,12585 25253 18549 5787 4302 23846 8904 9646 24746 24664
50,2426 9555 10594 7991 1583 7727 6734 10834 12818 6327
51,17923 24075 10848 25675 4957 7115 11133 1516 19114 21233
52,13194 20199 22056 14767 11449 2919 25009 5609 3298 23510
53,17874 11115 17697 21008 11134 22126 17627 10488 23761 1273
54,3803 25675 7202 20439 19401 19564 18293 22554 16420 12923
55,15562 4064 2122 11361 25182 14009 14236 3058 10910 16218
56,11987 11741 10384 5413 3668 6267 3348 17079 20933 2910
57,25656 75 2390 11378 6049 24791 2436 12922 12421 16413
58,5930 1259 306 11197 10524 10951 22324 17994 6047 5495
59,23950 11223 8841 8531 9005 6544 10803 19668 2846 23042
60,3527 13810 11774 25526 16843 6096 5101 762 175 12483
61,14378 8826 6446 8914 9830 9090 9333 17346 1282 3646
62,11527 10311 12759 16394 3775 19150 23895 19948 7350 21542
63,8654 21051 13231 13424 7940 5905 3456 13729 557 24797
64,23741 388 20458 6206 12886 24300 6865 12104 17723 14401
65,16850 18959 22140 8081 2182 1974 11674 4682 3840 16416
66,7650 2533 19089 19480 10269 24075 16083 20044 8431 2720
67,9615 22057 19796 4203 17451 9822 17668 10480 18844 18574
68,6088 2333 18190 3983 14373 4620 10142 5717 23711 2090
69,25932 2317 7583 25133 16993 3264 12509 7362 24874 7371
70,4390 4588 6913 14356 8990 10162 12254 10653 16802 3812
71,17565 11064 5094 1621 17400 24070 21349 24568 21085 14684
72,1863 2996 24340 19094 4940 22645 8920 13541 21859 15906
73,15915 18419 7728 16439 23521 4502 18139 17828 18462 10073
74,14104 7152 20374 8152 24945 3722 22622 11576 23624 1608
75,9339 20108 8251 11072 8704 11730 19910 12968 22511 7639
76,17877 15903 25407 15196 25585 16577 6146 11748 17070 3396
77,4272 7117 15377 25387 18980 11323 471 48 18915 15379
78,20431 15327 2868 19114 5717 25030 18190 6088 9029 10530
79,10269 9438 5284 24985 25675 341 22554 5942 12061 13433
80,21652 21517 1001 11064 11863 1449 4093 12035 24092 921
81,24075 9851 17192 12061 25068 5934 6254 20532 22617 2109
82,10785 19502 8311 14915 6626 22524 20023 23427 5686 12110
83,2426 9555 7727 23154 16928 10594 9446 1583 10834 6327
