,weights1,weights2,MAP
415,"[(95, 5)]","[(80, 20)]",[0.07480455671947253]
408,"[(95, 5)]","[(45, 55)]",[0.07480455671947253]
417,"[(95, 5)]","[(90, 10)]",[0.07480455671947253]
416,"[(95, 5)]","[(85, 15)]",[0.07480455671947253]
414,"[(95, 5)]","[(75, 25)]",[0.07480455671947253]
413,"[(95, 5)]","[(70, 30)]",[0.07480455671947253]
412,"[(95, 5)]","[(65, 35)]",[0.07480455671947253]
411,"[(95, 5)]","[(60, 40)]",[0.07480455671947253]
410,"[(95, 5)]","[(55, 45)]",[0.07480455671947253]
409,"[(95, 5)]","[(50, 50)]",[0.07480455671947253]
407,"[(95, 5)]","[(40, 60)]",[0.07480455671947253]
419,"[(95, 5)]","[(100, 0)]",[0.07480455671947253]
406,"[(95, 5)]","[(35, 65)]",[0.07480455671947253]
405,"[(95, 5)]","[(30, 70)]",[0.07480455671947253]
404,"[(95, 5)]","[(25, 75)]",[0.07480455671947253]
403,"[(95, 5)]","[(20, 80)]",[0.07480455671947253]
402,"[(95, 5)]","[(15, 85)]",[0.07480455671947253]
401,"[(95, 5)]","[(10, 90)]",[0.07480455671947253]
400,"[(95, 5)]","[(5, 95)]",[0.07480455671947253]
399,"[(95, 5)]","[(0, 100)]",[0.07480455671947253]
418,"[(95, 5)]","[(95, 5)]",[0.07480455671947253]
440,"[(100, 0)]","[(100, 0)]",[0.07462100121509127]
420,"[(100, 0)]","[(0, 100)]",[0.07462100121509127]
430,"[(100, 0)]","[(50, 50)]",[0.07462100121509127]
439,"[(100, 0)]","[(95, 5)]",[0.07462100121509127]
438,"[(100, 0)]","[(90, 10)]",[0.07462100121509127]
437,"[(100, 0)]","[(85, 15)]",[0.07462100121509127]
436,"[(100, 0)]","[(80, 20)]",[0.07462100121509127]
435,"[(100, 0)]","[(75, 25)]",[0.07462100121509127]
421,"[(100, 0)]","[(5, 95)]",[0.07462100121509127]
433,"[(100, 0)]","[(65, 35)]",[0.07462100121509127]
432,"[(100, 0)]","[(60, 40)]",[0.07462100121509127]
431,"[(100, 0)]","[(55, 45)]",[0.07462100121509127]
434,"[(100, 0)]","[(70, 30)]",[0.07462100121509127]
429,"[(100, 0)]","[(45, 55)]",[0.07462100121509127]
427,"[(100, 0)]","[(35, 65)]",[0.07462100121509127]
426,"[(100, 0)]","[(30, 70)]",[0.07462100121509127]
425,"[(100, 0)]","[(25, 75)]",[0.07462100121509127]
424,"[(100, 0)]","[(20, 80)]",[0.07462100121509127]
423,"[(100, 0)]","[(15, 85)]",[0.07462100121509127]
422,"[(100, 0)]","[(10, 90)]",[0.07462100121509127]
428,"[(100, 0)]","[(40, 60)]",[0.07462100121509127]
382,"[(90, 10)]","[(20, 80)]",[0.07446868430753752]
386,"[(90, 10)]","[(40, 60)]",[0.07446868430753752]
385,"[(90, 10)]","[(35, 65)]",[0.07446868430753752]
384,"[(90, 10)]","[(30, 70)]",[0.07446868430753752]
378,"[(90, 10)]","[(0, 100)]",[0.07446868430753752]
381,"[(90, 10)]","[(15, 85)]",[0.07446868430753752]
380,"[(90, 10)]","[(10, 90)]",[0.07446868430753752]
379,"[(90, 10)]","[(5, 95)]",[0.07446868430753752]
388,"[(90, 10)]","[(50, 50)]",[0.07446868430753752]
387,"[(90, 10)]","[(45, 55)]",[0.07446868430753752]
383,"[(90, 10)]","[(25, 75)]",[0.07446868430753752]
389,"[(90, 10)]","[(55, 45)]",[0.07446868430753752]
394,"[(90, 10)]","[(80, 20)]",[0.07446868430753752]
390,"[(90, 10)]","[(60, 40)]",[0.07446868430753752]
