,threshold,weights1,weights2,MAP
62,[10],"[[100, 0, 0]]","[(80, 20, 0)]",[0.07567445500155806]
64,[10],"[[100, 0, 0]]","[(90, 10, 0)]",[0.07556633580569361]
130,[11],"[[100, 0, 0]]","[(90, 10, 0)]",[0.0754984667611143]
328,[14],"[[100, 0, 0]]","[(90, 10, 0)]",[0.0754444305039858]
262,[13],"[[100, 0, 0]]","[(90, 10, 0)]",[0.07541404253122556]
59,[10],"[[100, 0, 0]]","[(70, 30, 0)]",[0.07540593020315242]
128,[11],"[[100, 0, 0]]","[(80, 20, 0)]",[0.0753962159193088]
196,[12],"[[100, 0, 0]]","[(90, 10, 0)]",[0.07539582835340507]
394,[15],"[[100, 0, 0]]","[(90, 10, 0)]",[0.07538155363560249]
326,[14],"[[100, 0, 0]]","[(80, 20, 0)]",[0.07535589687298586]
260,[13],"[[100, 0, 0]]","[(80, 20, 0)]",[0.07533556005992699]
392,[15],"[[100, 0, 0]]","[(80, 20, 0)]",[0.07530014583924297]
54,[10],"[[100, 0, 0]]","[(60, 30, 10)]",[0.07527593487031106]
194,[12],"[[100, 0, 0]]","[(80, 20, 0)]",[0.07522357247032001]
58,[10],"[[100, 0, 0]]","[(70, 20, 10)]",[0.07521186315319889]
61,[10],"[[100, 0, 0]]","[(80, 10, 10)]",[0.0751759441197831]
131,[11],"[[100, 0, 0]]","[(100, 0, 0)]",[0.07516190873916642]
65,[10],"[[100, 0, 0]]","[(100, 0, 0)]",[0.07516190873916642]
197,[12],"[[100, 0, 0]]","[(100, 0, 0)]",[0.07516190873916642]
263,[13],"[[100, 0, 0]]","[(100, 0, 0)]",[0.07516190873916642]
329,[14],"[[100, 0, 0]]","[(100, 0, 0)]",[0.07516190873916642]
395,[15],"[[100, 0, 0]]","[(100, 0, 0)]",[0.07516190873916642]
195,[12],"[[100, 0, 0]]","[(90, 0, 10)]",[0.07515410364120755]
327,[14],"[[100, 0, 0]]","[(90, 0, 10)]",[0.0751431021475297]
261,[13],"[[100, 0, 0]]","[(90, 0, 10)]",[0.07513432199688992]
129,[11],"[[100, 0, 0]]","[(90, 0, 10)]",[0.07513380758060745]
63,[10],"[[100, 0, 0]]","[(90, 0, 10)]",[0.0751205145962167]
393,[15],"[[100, 0, 0]]","[(90, 0, 10)]",[0.07509707825803755]
325,[14],"[[100, 0, 0]]","[(80, 10, 10)]",[0.07507328349864349]
127,[11],"[[100, 0, 0]]","[(80, 10, 10)]",[0.07505330727803718]
259,[13],"[[100, 0, 0]]","[(80, 10, 10)]",[0.07504052219621628]
125,[11],"[[100, 0, 0]]","[(70, 30, 0)]",[0.0750087382012166]
391,[15],"[[100, 0, 0]]","[(80, 10, 10)]",[0.07499582175952363]
323,[14],"[[100, 0, 0]]","[(70, 30, 0)]",[0.07498165468499829]
