user_id,item_list
0,23245 13219 25878 20133 1256 1447 20451 25582 8046 6548
1,19089 12409 12119 24128 19709 3165 6198 8431 23600 17257
2,14353 975 5566 14275 23584 19515 5451 3164 10404 11764
3,11681 14446 17578 3 24075 11679 19572 5934 3068 16857
4,11384 13427 20799 3800 9243 14715 25804 5677 17733 6537
5,14706 16172 21538 17819 8097 9301 8089 15150 23086 19152
6,4824 1685 3382 14020 17585 23906 4774 5126 7049 3656
7,13840 23885 19560 23534 17332 8104 14682 21270 4830 8499
8,25407 25138 21920 15691 16928 1583 2426 10594 8316 13711
9,10132 24038 14338 9609 5154 20666 19792 11029 11905 23505
10,12375 16921 660 3556 18751 22034 17557 20168 13426 15195
11,20876 20334 3935 7856 12890 21403 21686 17797 6015 3220
12,15276 19291 13323 2823 10347 22400 20211 1592 5447 14413
13,11533 23880 20969 10467 14580 13293 2786 11924 17732 23430
14,19103 3200 6136 3641 18500 20644 11848 13887 21541 16793
15,19563 12643 175 4025 6 24546 16742 21624 11623 12661
16,21416 8400 4502 8175 7913 21471 131 14137 14158 7585
17,926 19089 12409 23600 5942 9438 20146 17723 13118 24967
18,10847 7267 18793 20300 13609 5032 22548 22385 13567 19190
19,2426 23154 16928 15691 10594 9555 10834 6734 12818 6327
20,8606 24785 19876 23465 6893 15398 12798 14132 1983 2507
21,16803 2646 23778 4919 18901 18788 21786 24366 19198 4224
22,9487 1418 14583 17368 1668 9824 23206 10005 7331 17899
23,6454 9017 14835 988 16496 15457 17836 16927 21541 4139
24,5778 6982 22870 20608 14804 13797 11179 10484 1275 8935
25,8932 18574 7405 7115 12844 983 139 10640 12385 16844
26,21975 5470 10530 5633 5366 10514 17665 16245 867 18212
27,57 6760 17820 3711 12739 16188 19357 9404 3572 5044
28,3123 24479 24094 4159 13424 2214 23020 615 4411 21327
29,5193 23770 24076 7852 8667 19729 12356 14684 9336 13894
30,24621 21552 14715 13408 5717 8920 878 2996 15327 9243
31,2001 13593 23593 16793 13081 9123 25052 19340 6446 23651
32,18574 10640 290 1573 7115 16295 983 9789 20656 20087
33,25675 10269 9438 15564 22554 12061 10786 10953 4475 17409
34,3527 3966 12124 24154 19951 10159 17969 22400 22997 363
35,9620 8914 5474 24445 10526 873 11297 3742 6709 21236
36,2426 25407 16928 15691 6734 16906 23001 1583 22848 17156
37,4542 23725 6035 19480 8439 7819 18512 2932 21932 10182
38,1863 13628 22744 7266 16552 4940 25846 8560 4566 14385
39,15187 2178 15666 7321 13934 20820 16648 21872 6139 16871
40,24075 25407 22554 16630 22445 15691 20146 5044 8097 18317
41,1682 14266 22726 6599 6480 25803 1695 7059 21950 14846
42,12182 20553 24070 16904 13663 13355 6612 18512 20321 18930
43,12696 8256 703 7615 23854 1184 12770 17365 15536 8134
44,17470 15856 9177 19829 23324 11726 11655 8475 7164 20520
45,17723 19089 23550 11658 16948 19487 2665 9142 6827 24128
46,23536 11792 23711 6088 18190 13541 15459 3983 9218 21975
47,21912 16998 19326 18852 12230 4032 19281 16124 11514 24309
48,13552 13178 4781 2423 16893 10749 303 14867 3381 21071
49,25253 12585 24141 24940 5787 13970 4302 8904 23846 9646
50,2426 7991 6734 25138 10594 17156 1583 12818 9555 10834
51,24075 25675 11133 17923 416 6628 18432 4957 22554 19389
52,13194 22056 9211 11449 23077 3298 5609 25009 9291 14767
53,12323 13624 11969 14962 18721 19857 22745 17874 17697 11115
54,3803 19564 12923 20439 16420 19935 9680 15564 22554 8431
55,3058 15562 7853 10910 14236 25182 1868 14009 4064 13138
56,11741 5413 11987 17079 21988 8277 3668 4638 562 6460
57,2390 25656 24791 11378 6049 3086 10628 16413 23136 18076
58,1259 5930 306 5495 6047 3913 10951 18924 21390 10524
59,19668 9005 8531 23950 23042 6544 11223 12026 8841 10803
60,16309 9379 3214 14231 16843 8475 20889 318 12069 2241
61,9782 24747 23682 19254 1282 6446 10653 22081 16932 6397
62,23895 11527 3775 4481 18334 12759 10311 24378 16394 24577
63,3456 13231 13424 25327 172 5905 9223 7940 21051 8654
64,5810 21106 25193 13889 21759 12347 6865 14401 23741 12104
65,16850 22140 17148 16416 8587 15784 8081 11137 4981 3906
66,12389 7650 25873 11091 25531 19089 5522 19480 2533 8431
67,9615 18574 10480 18462 17668 22057 18263 18882 11365 24881
68,18190 14373 2333 9337 23711 3983 13030 9315 6088 11792
69,12509 20469 25932 21538 20925 7583 25133 3264 22798 24874
70,22594 16712 16991 25044 3382 4588 12254 3432 4824 4390
71,11064 14684 1621 21349 20507 16205 22033 12986 21033 17565
72,1863 22645 9337 2996 19094 24340 11792 10036 23536 8920
73,25586 14202 5185 16439 343 22750 5380 4502 11923 8590
74,8622 3927 1608 5937 8805 18502 8854 25500 23624 8152
75,19480 9339 16972 17101 19922 477 11072 8704 19910 20108
76,17877 6146 15196 25407 15903 2426 16577 7583 23154 10834
77,13446 14753 471 21902 7117 4272 11323 15022 485 19544
78,20431 2868 19114 18190 25748 25030 15327 15459 21784 8077
79,25675 24985 9438 10269 341 5284 22554 20038 21071 13433
80,1001 25832 16659 4093 24092 551 17480 21516 4314 21517
81,21005 25068 9851 19393 6254 962 1863 12061 24075 10786
82,21092 14915 19502 6626 17024 20023 10785 24472 12110 351
83,9555 2426 7991 10594 23154 1583 7727 10834 17156 16928
84,24410 23127 23711 25878 4620 20148 7639 13219 11868 21653
85,6708 8860 13953 10882 11533 23774 3580 8984 2478 20863
86,15161 16779 14776 11951 4588 25661 25330 8955 11924 6446
87,21021 2679 16577 1076 6446 23468 18798 3812 16793 2001
88,9851 3803 20582 8811 10269 7964 18293 22554 9438 23711
89,9496 19897 7183 9407 7874 11785 21236 8070 9782 3701
90,10887 5487 4620 22003 6782 12550 525 2868 921 18190
91,19315 13020 15468 25419 8331 14871 3382 20713 4824 11189
92,2665 20146 16630 19709 17723 20173 12409 19480 14291 7494
93,19152 19864 19890 3513 1030 10812 9716 10269 9438 25675
94,19180 14373 3983 11190 18545 11792 3599 772 22646 13030
95,2216 11339 10347 5447 19291 10380 14413 21264 8593 3582
96,19526 19891 5218 18305 2995 17920 8529 12662 18777 19626
97,12554 24355 19429 19874 18419 4502 13708 13850 18073 15190
98,19874 24355 17668 4502 8406 1714 18108 5581 7740 20308
99,4343 9135 19007 7839 8478 12616 5877 17130 11623 20857
100,25479 16241 19355 8063 1552 3033 14287 512 1409 1185
101,9297 17468 4201 15003 18890 25347 24818 10777 16279 16903
102,13057 19596 19193 24615 22357 16024 996 10922 10956 16395
103,867 19704 19781 14715 12196 4753 17065 22588 5746 3668
104,5284 19874 14684 22653 22701 23534 13549 15935 14158 10581
105,7260 8840 2174 103 6294 2471 13720 19620 942 22750
106,23299 25869 20436 15191 25606 2845 21238 3178 20586 22356
107,8786 7266 1863 4940 20629 11044 24513 12222 12191 19614
108,24747 18544 3539 22335 11953 9377 6860 18317 18285 25101
109,10162 13226 7363 2888 7049 484 4664 20688 19799 17087
110,8432 3417 10786 10616 10397 1095 15196 5150 17546 15642
111,2005 19007 21624 5589 24546 10576 5421 12887 16801 9444
112,14330 18679 13414 22983 18377 598 16790 10028 20587 2526
113,15563 16987 23723 5574 21017 9238 6365 19179 336 9241
114,14100 11260 2362 3442 20499 6090 23033 3292 11011 14268
115,24075 9438 22554 13615 12923 13831 5154 25260 5279 41
116,10632 6297 16800 25639 15196 4232 24090 12721 15364 16045
117,3073 3949 2017 17803 23625 25935 2259 8773 25331 15821
118,23086 12162 11527 10311 18334 15183 19823 1151 24378 16246
119,12597 24292 11903 10226 14879 1714 4502 6291 10749 20308
120,18987 10940 23542 16241 19879 6121 10996 9435 6010 2040
121,12851 3314 18340 25675 22554 18995 18576 11153 25858 8845
122,16203 16257 5950 23802 15739 13194 22024 11737 25317 22969
123,15572 8337 7260 23154 4147 21061 20422 7148 2064 3630
124,5717 2868 2090 2333 20472 23711 18190 10450 22646 23536
125,828 21948 6502 7753 20964 25 4257 19165 9516 17668
126,17027 19434 3024 1652 21039 9898 14437 22140 3820 2581
127,23956 16079 10420 16570 2448 10775 18211 10085 9073 24123
128,25675 9851 10269 9438 13118 10786 1863 15034 25071 11792
129,604 861 18708 15270 411 14515 23019 11994 481 10994
130,8805 4025 175 24546 12230 20276 16124 21248 3527 12661
131,24585 1050 5713 22079 22548 9436 14385 7538 12198 14772
132,5868 12597 11737 21927 8863 341 6291 16187 23404 9657
133,5415 22965 14571 11536 21631 22864 14682 6194 11141 23155
134,23651 15234 17383 14328 13303 19194 12702 6208 12936 22121
135,16447 24746 23333 23242 4302 9529 14302 72 11841 25544
136,3911 16532 10335 18288 8478 25801 25909 377 13319 11226
137,16726 15733 20963 3579 25709 10782 13604 4184 15224 21409
138,17162 878 999 22523 3223 22754 14343 10980 1028 11432
139,9347 18837 2491 6157 16497 5469 22102 21064 10391 7012
140,2219 17180 9277 9940 15076 20013 21153 12887 20853 5006
141,1205 21912 14386 17637 21857 13552 17565 20308 2304 5078
142,9851 12968 16630 13433 13118 23600 20146 19480 2665 25675
143,24891 177 11584 2939 1975 13996 2917 4023 14889 16748
144,12409 14895 20146 19089 2665 9132 2854 16365 19631 20191
145,6774 10019 3943 15256 21175 16123 10394 4673 21506 19298
146,25675 24075 10786 22554 19089 13118 5942 16892 15564 1888
147,625 5930 21712 9340 16880 19769 588 14141 1064 3497
148,25407 23154 2426 10594 1583 8316 17546 9555 20924 7333
149,21653 12734 21552 12710 18360 5717 25878 23666 5119 10786
150,19089 23600 17723 6198 24128 9089 20146 21016 10035 12409
151,23481 11687 6546 11284 16524 19480 10494 21205 461 18037
152,14481 13902 7635 12214 1830 21619 8828 7175 2061 3261
153,9195 15182 18412 20210 15783 16263 20447 20991 427 841
154,18484 9859 24660 18839 9145 20966 9963 24098 22766 9140
155,25878 11792 20011 13014 5717 12056 25196 1669 13363 10786
156,25407 23154 3230 10594 9555 2426 10834 18452 6878 2492
157,24687 24746 21467 523 13530 21317 19532 2638 4282 19956
158,15196 3261 5150 17546 9511 18367 1175 2388 2370 4510
159,7030 14799 16301 20991 14723 16345 23648 16871 23844 22151
160,15331 6047 21355 4871 1022 679 3913 12601 19934 11354
161,17488 16978 9758 14755 21325 15446 20779 19957 3827 414
162,22128 22750 3473 21342 18591 9684 22307 6039 22710 12875
163,14684 11832 19970 7620 15982 2184 16116 5907 7131 6291
164,1577 15150 14706 17819 9301 5028 8089 2492 8217 4549
165,7639 3559 5717 4620 8524 13219 6782 11072 8704 141
166,12710 20167 21738 11159 10990 24410 9731 19501 7277 7639
167,22651 10908 21123 22848 9696 11991 6878 18148 1056 13711
168,18138 2220 19850 15597 24025 12957 3695 13668 22092 3030
169,25407 16928 23154 16906 10594 7991 7494 10834 15691 2426
170,20863 9913 4366 13542 15976 11099 16402 5952 8147 22426
171,25675 9680 561 7202 4512 18293 15564 10786 12098 14418
172,21975 10514 2344 21365 17065 24908 19781 13236 22830 10997
173,9733 5 5669 9322 12050 17209 13711 16854 20178 3264
174,18941 17229 21920 21558 17070 17511 2492 18392 19480 22010
175,20626 2507 23530 25957 7632 12099 20066 22979 13863 18021
176,23127 19588 6004 9315 24575 10885 23711 21854 5717 13030
177,25407 6734 10594 9555 10834 19655 21920 1056 22848 17143
178,25095 3348 6782 6599 20290 23909 21998 3172 21653 7639
